date,price
2024-02-27,11.9
2024-02-26,11.75
2024-02-23,11.85
2024-02-22,12.1
2024-02-21,11.9
2024-02-20,11.85
2024-02-19,12.0
2024-02-16,11.9
2024-02-15,11.9
2024-02-07,11.65
2024-02-06,11.55
2024-02-05,11.75
2024-02-02,11.45
2024-02-01,11.6
2024-01-31,11.6
2024-01-30,12.3
2024-01-29,12.3
2024-01-26,12.35
2024-01-25,12.25
2024-01-24,12.2
2024-01-23,12.1
2024-01-22,12.15
2024-01-19,12.15
2024-01-18,12.05
2024-01-17,12.0
2024-01-16,12.2
2024-01-15,12.15
2024-01-12,12.3
2024-01-11,12.1
2024-01-10,12.0
2024-01-09,11.7
2024-01-08,11.7
2024-01-05,11.55
2024-01-04,11.45
2024-01-03,11.25
2024-01-02,10.95
2023-12-29,10.8
2023-12-28,10.8
2023-12-27,10.75
2023-12-26,10.7
2023-12-25,10.75
2023-12-22,10.7
2023-12-21,10.65
2023-12-20,10.7
2023-12-19,10.7
2023-12-18,10.7
2023-12-15,10.8
2023-12-14,10.8
2023-12-13,10.9
2023-12-12,11.1
2023-12-11,11.15
2023-12-08,11.0
2023-12-07,11.05
2023-12-06,11.0
2023-12-05,10.95
2023-12-04,11.1
2023-12-01,10.85
2023-11-30,10.8
2023-11-29,10.85
2023-11-28,10.85
2023-11-27,10.75
2023-11-24,10.95
2023-11-23,10.95
2023-11-22,11.3
2023-11-21,11.25
2023-11-20,11.2
2023-11-17,11.2
2023-11-16,11.6
2023-11-15,11.55
2023-11-14,11.45
2023-11-13,11.05
2023-11-10,11.15
2023-11-09,11.25
2023-11-08,11.35
2023-11-07,10.85
2023-11-06,11.0
2023-11-03,10.7
2023-11-02,10.9
2023-11-01,10.35
2023-10-31,10.1
2023-10-30,10.15
2023-10-27,10.3
2023-10-26,10.05
2023-10-25,10.55
2023-10-24,10.6
2023-10-23,10.3
2023-10-20,10.45
2023-10-19,10.3
2023-10-18,10.4
2023-10-17,10.6
2023-10-16,10.6
2023-10-13,10.8
2023-10-12,10.85
2023-10-11,10.9
2023-10-10,10.85
2023-10-09,10.75
2023-10-06,10.7
2023-10-05,10.5
2023-10-04,10.65
2023-10-03,10.55
2023-10-02,11.05
2023-09-29,11.1
2023-09-28,10.95
2023-09-27,11.1
2023-09-26,10.8
2023-09-25,11.0
2023-09-22,11.8
2023-09-21,12.05
2023-09-20,12.2
2023-09-19,12.05
2023-09-18,12.1
2023-09-15,12.2
2023-09-14,12.3
2023-09-13,12.35
2023-09-12,12.55
2023-09-11,12.3
2023-09-08,12.7
2023-09-07,12.75
2023-09-06,12.65
2023-09-05,12.65
2023-08-31,12.45
2023-08-30,12.25
2023-08-29,12.25
2023-08-28,12.1
2023-08-25,11.95
2023-08-24,12.1
2023-08-23,12.0
2023-08-22,12.1
2023-08-21,12.15
2023-08-18,12.0
2023-08-17,12.85
2023-08-16,12.9
2023-08-15,12.95
2023-08-14,12.95
2023-08-11,12.95
2023-08-10,12.95
2023-08-09,13.15
2023-08-08,13.25
2023-08-07,13.45
2023-08-04,13.3
2023-08-03,12.65
2023-08-02,12.65
2023-08-01,12.55
2023-07-31,12.6
2023-07-28,12.6
2023-07-27,12.5
2023-07-26,12.6
2023-07-25,12.6
2023-07-24,12.6
2023-07-21,14.4
2023-07-20,14.35
2023-07-19,14.1
2023-07-18,14.15
2023-07-17,13.7
2023-07-14,13.7
2023-07-13,13.8
2023-07-12,13.75
2023-07-11,13.6
2023-07-10,13.5
2023-07-07,13.5
2023-07-06,13.05
2023-07-05,13.15
2023-07-04,13.25
