date,price
2024-03-15,23.0
2024-03-14,22.95
2024-03-13,23.1
2024-03-12,22.95
2024-03-11,23.1
2024-03-08,23.0
2024-03-07,23.15
2024-03-06,23.45
2024-03-05,23.5
2024-03-04,23.3
2024-03-01,23.3
2024-02-29,23.3
2024-02-28,23.2
2024-02-27,22.7
2024-02-26,22.7
2024-02-23,22.5
2024-02-22,22.9
2024-02-21,23.5
2024-02-20,23.6
2024-02-19,23.35
2024-02-16,23.3
2024-02-15,23.65
2024-02-07,23.55
2024-02-06,23.0
2024-02-05,22.65
2024-02-02,22.35
2024-02-01,21.8
2024-01-31,21.8
2024-01-30,21.85
2024-01-29,21.4
2024-01-26,21.3
2024-01-25,21.05
2024-01-24,21.15
2024-01-23,21.0
2024-01-22,21.2
2024-01-19,20.95
2024-01-18,20.8
2024-01-17,20.85
2024-01-16,21.0
2024-01-15,21.0
2024-01-12,20.9
2024-01-11,20.8
2024-01-10,20.7
2024-01-09,20.55
2024-01-08,20.55
2024-01-05,20.5
2024-01-04,20.4
2024-01-03,20.0
2024-01-02,19.9
2023-12-29,20.3
2023-12-28,19.35
2023-12-27,19.3
2023-12-26,19.2
2023-12-25,19.15
2023-12-22,18.95
2023-12-21,18.75
2023-12-20,18.8
2023-12-19,18.95
2023-12-18,18.4
2023-12-15,19.0
2023-12-14,18.9
2023-12-13,18.85
2023-12-12,18.8
2023-12-11,18.75
2023-12-08,18.75
2023-12-07,18.7
2023-12-06,18.6
2023-12-05,18.45
2023-12-04,18.5
2023-12-01,18.2
2023-11-30,18.0
2023-11-29,18.05
2023-11-28,18.05
2023-11-27,18.1
2023-11-24,18.3
2023-11-23,18.05
2023-11-22,18.6
2023-11-21,18.7
2023-11-20,18.7
2023-11-17,18.5
2023-11-16,18.95
2023-11-15,18.9
2023-11-14,18.75
2023-11-13,18.8
2023-11-10,18.85
2023-11-09,18.75
2023-11-08,18.8
2023-11-07,18.0
2023-11-06,18.25
2023-11-03,18.35
2023-11-02,17.6
2023-11-01,17.25
2023-10-31,17.2
2023-10-30,17.2
2023-10-27,17.25
2023-10-26,17.0
2023-10-25,17.5
2023-10-24,17.55
2023-10-23,17.5
2023-10-20,17.75
2023-10-19,17.5
2023-10-18,17.55
2023-10-17,17.55
2023-10-16,17.4
2023-10-13,17.6
2023-10-12,17.5
2023-10-11,17.6
2023-10-10,17.4
2023-10-09,17.05
2023-10-06,17.1
2023-10-05,16.95
2023-10-04,17.1
2023-10-03,17.1
2023-10-02,17.1
2023-09-29,17.35
2023-09-28,17.3
2023-09-27,17.4
2023-09-26,17.4
2023-09-25,17.4
2023-09-22,17.55
2023-09-21,17.55
2023-09-20,17.85
2023-09-19,17.7
2023-09-18,17.6
2023-09-15,18.0
2023-09-14,17.5
2023-09-13,17.45
2023-09-12,17.4
2023-09-11,17.1
2023-09-08,17.35
2023-09-07,17.3
2023-09-06,17.2
2023-09-05,17.1
2023-08-31,16.85
2023-08-30,16.35
2023-08-29,16.2
2023-08-28,16.3
2023-08-25,16.25
2023-08-24,16.2
2023-08-23,16.1
2023-08-22,16.4
2023-08-21,16.2
2023-08-18,16.2
2023-08-17,17.15
2023-08-16,17.15
2023-08-15,17.05
2023-08-14,17.15
2023-08-11,17.05
2023-08-10,17.2
2023-08-09,17.3
2023-08-08,17.35
2023-08-07,17.35
2023-08-04,17.15
2023-08-03,17.2
2023-08-02,17.4
2023-08-01,17.55
2023-07-31,17.35
2023-07-28,17.25
2023-07-27,17.2
2023-07-26,17.2
2023-07-25,17.2
2023-07-24,17.25
2023-07-21,17.2
2023-07-20,17.0
2023-07-19,16.85
2023-07-18,18.9
2023-07-17,18.9
2023-07-14,18.9
2023-07-13,18.6
2023-07-12,18.55
2023-07-11,18.6
2023-07-10,18.35
2023-07-07,18.35
2023-07-06,18.2
2023-07-05,18.45
2023-07-04,18.55
2023-07-03,18.45
2023-06-30,18.6
2023-06-29,18.35
2023-06-28,18.75
2023-06-27,18.7
2023-06-26,18.8
2023-06-23,18.65
2023-06-22,18.7
2023-06-21,18.65
2023-06-20,18.7
2023-06-19,18.35
2023-06-16,18.6
2023-06-15,18.65
2023-06-14,18.65
2023-06-13,18.6
2023-06-12,18.4
2023-06-09,18.5
2023-06-08,18.7
2023-06-07,19.0
2023-06-06,19.2
2023-06-05,19.05
2023-06-02,19.05
2023-06-01,18.6
2023-05-31,18.4
2022-05-30,25.85
2022-05-27,25.8
2022-05-26,25.55
2022-05-25,25.65
2022-05-24,24.6
2022-05-23,24.2
2022-05-20,24.35
2022-05-19,24.3
2022-05-18,24.0
2022-05-17,24.0
2022-05-16,22.5
2022-05-13,22.2
2022-05-12,22.95
2022-05-11,24.25
2022-05-10,24.05
2022-05-09,23.0
2022-05-06,24.05
2022-05-05,25.15
2022-05-04,24.8
2022-04-29,25.3
2022-04-28,25.2
2022-04-27,25.0
2022-04-26,24.5
2022-04-25,23.55
2022-04-22,25.15
2022-04-21,24.9
2022-04-20,25.75
2022-04-19,25.9
2022-04-18,26.0
2022-04-15,26.3
2022-04-14,27.3
2022-04-13,28.0
2022-04-12,27.8
2022-04-08,28.25
2022-04-07,28.9
2022-04-06,29.0
2022-04-05,28.75
2022-04-04,29.1
2022-04-01,29.45
2022-03-31,28.35
2022-03-30,28.3
2022-03-29,27.55
2022-03-28,27.4
2022-03-25,27.95
2022-03-24,28.1
2022-03-23,28.0
2022-03-22,28.3
2022-03-21,28.3
2022-03-18,27.6
2022-03-17,27.5
2022-03-16,27.15
2022-03-15,27.2
2022-03-14,27.1
2022-03-11,27.3
2022-03-10,26.95
2022-03-09,27.0
2022-03-08,27.35
2022-03-07,27.4
2022-03-04,28.0
2022-03-03,28.25
2022-03-02,27.35
2022-03-01,28.55
2022-02-28,28.8
2022-02-25,29.25
2022-02-24,28.8
2022-02-23,29.65
2022-02-22,29.55
2022-02-21,29.6
2022-02-18,29.5
2022-02-17,29.75
2022-02-16,29.25
2022-02-15,29.5
2022-02-14,29.2
2022-02-11,31.2
2022-02-10,31.5
2022-02-09,31.6
2022-02-08,31.4
2022-02-07,31.1
2022-01-28,30.9
2022-01-27,30.8
2022-01-26,30.7
2022-01-25,30.05
2022-01-24,29.0
2022-01-21,29.2
2022-01-20,28.9
2022-01-19,28.95
2022-01-18,29.55
2022-01-17,29.0
2022-01-14,30.6
2022-01-13,30.8
2022-01-12,30.95
2022-01-11,29.3
2022-01-10,29.6
2022-01-07,30.3
2022-01-06,30.5
2022-01-05,30.5
2022-01-04,31.1
