date,price
2024-03-15,30.5
2024-03-14,30.45
2024-03-13,30.85
2024-03-12,30.25
2024-03-11,30.2
2024-03-08,30.65
2024-03-07,31.3
2024-03-06,31.55
2024-03-05,31.9
2024-03-04,31.75
2024-03-01,31.95
2024-02-29,31.55
2024-02-28,31.4
2024-02-27,30.75
2024-02-26,30.5
2024-02-23,30.65
2024-02-22,31.05
2024-02-21,31.5
2024-02-20,30.7
2024-02-19,30.7
2024-02-16,30.8
2024-02-15,31.25
2024-02-07,31.1
2024-02-06,30.8
2024-02-05,30.6
2024-02-02,29.9
2024-02-01,29.8
2024-01-31,29.9
2024-01-30,30.7
2024-01-29,30.35
2024-01-26,30.3
2024-01-25,30.5
2024-01-24,30.75
2024-01-23,30.5
2024-01-22,30.25
2024-01-19,30.3
2024-01-18,29.8
2024-01-17,29.7
2024-01-16,29.9
2024-01-15,29.8
2024-01-12,29.9
2024-01-11,29.5
2024-01-10,29.45
2024-01-09,29.2
2024-01-08,29.2
2024-01-05,29.3
2024-01-04,28.6
2024-01-03,28.5
2024-01-02,27.75
2023-12-29,27.95
2023-12-28,27.6
2023-12-27,27.4
2023-12-26,27.5
2023-12-25,27.5
2023-12-22,27.2
2023-12-21,26.6
2023-12-20,26.95
2023-12-19,26.6
2023-12-18,26.3
2023-12-15,27.1
2023-12-14,27.1
2023-12-13,27.45
2023-12-12,28.0
2023-12-11,27.85
2023-12-08,28.2
2023-12-07,28.55
2023-12-06,28.1
2023-12-05,27.8
2023-12-04,28.2
2023-12-01,27.5
2023-11-30,27.5
2023-11-29,27.8
2023-11-28,28.15
2023-11-27,27.4
2023-11-24,28.3
2023-11-23,28.2
2023-11-22,29.1
2023-11-21,29.3
2023-11-20,29.2
2023-11-17,29.35
2023-11-16,30.2
2023-11-15,30.0
2023-11-14,30.0
2023-11-13,29.25
2023-11-10,29.5
2023-11-09,29.65
2023-11-08,30.0
2023-11-07,29.0
2023-11-06,29.45
2023-11-03,28.5
2023-11-02,29.0
2023-11-01,27.65
2023-10-31,27.0
2023-10-30,27.0
2023-10-27,28.7
2023-10-26,28.1
2023-10-25,29.55
2023-10-24,30.0
2023-10-23,29.7
2023-10-20,30.1
2023-10-19,29.0
