date,price
2024-03-15,41.4
2024-03-14,41.4
2024-03-13,42.0
2024-03-12,41.2
2024-03-11,40.4
2024-03-08,41.0
2024-03-07,42.6
2024-03-06,42.75
2024-03-05,42.2
2024-03-04,41.85
2024-03-01,41.85
2024-02-29,42.2
2024-02-28,42.2
2024-02-27,41.95
2024-02-26,41.2
2024-02-23,40.1
2024-02-22,40.3
2024-02-21,39.0
2024-02-20,38.9
2024-02-19,38.9
2024-02-16,38.5
2024-02-15,38.4
2024-02-07,37.3
2024-02-06,35.65
2024-02-05,35.5
2024-02-02,34.15
2024-02-01,34.15
2024-01-31,34.55
2024-01-30,35.2
2024-01-29,35.25
2024-01-26,35.4
2024-01-25,35.0
2024-01-24,35.25
2024-01-23,35.45
2024-01-22,34.95
2024-01-19,34.95
2024-01-18,34.4
2024-01-17,34.05
2024-01-16,34.15
2024-01-15,34.3
2024-01-12,34.65
2024-01-11,34.15
2024-01-10,34.4
2024-01-09,34.5
2024-01-08,34.1
2024-01-05,33.2
2024-01-04,33.1
2024-01-03,32.6
2024-01-02,32.1
2023-12-29,31.8
2023-12-28,31.5
2023-12-27,30.85
2023-12-26,30.8
2023-12-25,30.95
2023-12-22,30.6
2023-12-21,30.65
2023-12-20,30.35
2023-12-19,30.6
2023-12-18,30.05
2023-12-15,30.6
2023-12-14,30.55
2023-12-13,30.5
2023-12-12,31.05
2023-12-11,30.85
2023-12-08,30.95
2023-12-07,30.85
2023-12-06,30.4
2023-12-05,30.05
2023-12-04,30.2
2023-12-01,29.75
2023-11-30,29.5
2023-11-29,29.9
2023-11-28,29.95
2023-11-27,29.3
2023-11-24,30.05
2023-11-23,30.4
2023-11-22,30.95
2023-11-21,30.8
2023-11-20,31.0
2023-11-17,31.15
2023-11-16,31.7
2023-11-15,31.55
2023-11-14,31.5
2023-11-13,30.9
2023-11-10,31.05
2023-11-09,31.5
2023-11-08,31.8
2023-11-07,30.6
2023-11-06,31.0
2023-11-03,31.0
2023-11-02,29.35
2023-11-01,28.2
2023-10-31,27.7
2023-10-30,28.1
2023-10-27,29.55
2023-10-26,29.8
2023-10-25,31.2
2023-10-24,31.35
2023-10-23,30.9
2023-10-20,31.1
2023-10-19,30.65
2023-10-18,31.25
2023-10-17,31.75
2023-10-16,31.8
2023-10-13,32.2
2023-10-12,32.5
2023-10-11,32.6
2023-10-10,32.5
2023-10-09,32.1
2023-10-06,32.05
2023-10-05,31.8
2023-10-04,32.25
2023-10-03,32.5
2023-10-02,33.15
2023-09-29,33.65
2023-09-28,33.65
2023-09-27,32.6
2023-09-26,32.4
2023-09-25,32.8
2023-09-22,34.0
2023-09-21,34.3
2023-09-20,34.35
2023-09-19,33.9
2023-09-18,34.1
2023-09-15,34.9
2023-09-14,34.9
2023-09-13,35.0
2023-09-12,35.3
2023-09-11,34.55
2023-09-08,35.35
2023-09-07,35.75
2023-09-06,35.2
2023-09-05,35.0
2023-08-31,34.5
2023-08-30,34.0
2023-08-29,33.9
2023-08-28,34.0
2023-08-25,33.65
2023-08-24,33.8
2023-08-23,33.2
2023-08-22,33.1
2023-08-21,32.75
2023-08-18,32.5
2023-08-17,34.7
2023-08-16,35.3
2023-08-15,34.05
2023-08-14,33.8
2023-08-11,33.65
2023-08-10,33.5
2023-08-09,34.0
2023-08-08,34.0
2023-08-07,34.35
2023-08-04,33.6
2023-08-03,33.5
2023-08-02,33.9
2023-08-01,34.0
2023-07-31,34.3
2023-07-28,33.8
2023-07-27,33.1
2023-07-26,33.45
2023-07-25,33.5
2023-07-24,32.45
2023-07-21,32.3
2023-07-20,31.9
2023-07-19,32.3
2023-07-18,32.3
2023-07-17,31.9
2023-07-14,31.95
2023-07-13,31.95
2023-07-12,31.65
2023-07-11,31.95
2023-07-10,32.0
2023-07-07,31.55
2023-07-06,31.55
2023-07-05,31.95
2023-07-04,32.0
2023-07-03,32.0
2023-06-30,32.35
2023-06-29,32.65
2023-06-28,33.3
2023-06-27,32.95
2023-06-26,33.3
2023-06-23,32.9
2023-06-22,32.6
2023-06-21,32.5
2023-06-20,32.15
2023-06-19,32.1
2023-06-16,32.55
2023-06-15,32.65
2023-06-14,32.6
2023-06-13,32.8
2023-06-12,32.7
2023-06-09,32.4
2023-06-08,31.75
2023-06-07,32.6
2023-06-06,32.7
2023-06-05,31.9
2023-06-02,32.2
2023-06-01,30.3
2023-05-31,29.95
2023-05-30,30.2
2023-05-29,30.2
2023-05-26,29.9
2023-05-25,29.8
2023-05-24,29.8
2023-05-23,30.35
2023-05-22,30.5
2023-05-19,29.65
2023-05-18,29.55
2023-05-17,29.25
2023-05-16,29.8
2023-05-15,29.9
2023-05-12,29.3
2023-05-11,29.1
2023-05-10,29.3
2023-05-09,29.3
2023-05-08,29.4
2023-05-05,28.7
2023-05-04,29.05
2023-04-28,29.5
2023-04-27,29.9
2023-04-26,30.0
2023-04-25,29.0
2023-04-24,29.5
2023-04-21,28.7
2023-04-20,28.85
2023-04-19,29.0
2023-04-18,29.15
2023-04-17,29.45
2023-04-14,28.9
2023-04-13,30.2
2023-04-12,30.7
2023-04-11,30.4
2023-04-10,30.2
2023-04-07,29.55
2023-04-06,29.6
2023-04-05,29.5
2023-04-04,29.5
2023-04-03,29.3
2023-03-31,28.35
2023-03-30,27.7
2023-03-29,28.0
2023-03-28,27.55
2023-03-27,26.5
2023-03-24,26.45
2023-03-23,26.2
2023-03-22,26.2
2023-03-21,26.35
2023-03-20,26.25
2023-03-17,26.65
2023-03-16,26.75
2023-03-15,27.2
2023-03-14,26.3
2023-03-13,26.75
2023-03-10,27.15
2023-03-09,27.8
2023-03-08,27.3
2023-03-07,27.1
2023-03-06,27.2
2023-03-03,26.8
2023-03-02,27.2
2023-03-01,27.3
