date,price
2024-03-15,18.8
2024-03-14,18.75
2024-03-13,19.0
2024-03-12,18.5
2024-03-11,18.5
2024-03-08,18.6
2024-03-07,19.25
2024-03-06,19.2
2024-03-05,19.4
2024-03-04,19.6
2024-03-01,19.85
2024-02-29,19.85
2024-02-28,20.0
2024-02-27,19.15
2024-02-26,19.15
2024-02-23,19.1
2024-02-22,19.55
2024-02-21,19.5
2024-02-20,18.75
2024-02-19,18.8
2024-02-16,18.9
2024-02-15,18.85
2024-02-07,18.5
2024-02-06,18.1
2024-02-05,18.15
2024-02-02,17.5
2024-02-01,17.85
2024-01-31,17.85
2024-01-30,18.3
2024-01-29,18.15
2024-01-26,18.3
2024-01-25,18.15
2024-01-24,18.3
2024-01-23,18.6
2024-01-22,18.65
2024-01-19,18.6
2024-01-18,18.45
2024-01-17,18.35
2024-01-16,18.6
2024-01-15,18.3
2024-01-12,18.55
2024-01-11,18.5
2024-01-10,18.5
2024-01-09,17.75
2024-01-08,17.95
2024-01-05,18.0
2024-01-04,17.9
2024-01-03,17.45
2024-01-02,17.3
2023-12-29,17.4
2023-12-28,17.3
2023-12-27,17.35
2023-12-26,17.0
2023-12-25,17.05
2023-12-22,16.9
2023-12-21,16.9
2023-12-20,16.9
2023-12-19,17.0
2023-12-18,16.9
2023-12-15,16.95
2023-12-14,16.9
2023-12-13,17.0
2023-12-12,17.35
2023-12-11,17.35
2023-12-08,17.45
2023-12-07,17.55
2023-12-06,17.45
2023-12-05,17.05
2023-12-04,17.2
2023-12-01,17.1
2023-11-30,17.0
2023-11-29,16.85
2023-11-28,16.75
2023-11-27,16.65
2023-11-24,17.0
2023-11-23,17.0
2023-11-22,17.1
2023-11-21,17.05
2023-11-20,17.2
2023-11-17,17.0
2023-11-16,17.5
2023-11-15,17.7
2023-11-14,17.4
2023-11-13,17.25
2023-11-10,17.0
2023-11-09,17.1
2023-11-08,17.25
2023-11-07,16.55
2023-11-06,16.6
2023-11-03,16.05
2023-11-02,16.4
2023-11-01,15.8
2023-10-31,15.8
2023-10-30,16.0
2023-10-27,16.2
2023-10-26,16.0
2023-10-25,16.75
2023-10-24,16.8
2023-10-23,16.45
2023-10-20,16.5
2023-10-19,16.15
2023-10-18,16.25
2023-10-17,16.5
2023-10-16,16.8
2023-10-13,17.25
2023-10-12,17.2
2023-10-11,16.75
2023-10-10,16.75
2023-10-09,16.85
2023-10-06,16.8
2023-10-05,16.55
2023-10-04,16.6
2023-10-03,16.7
2023-10-02,17.5
2023-09-29,17.85
2023-09-28,18.05
2023-09-27,17.8
2023-09-26,17.7
2023-09-25,18.0
2023-09-22,18.55
2023-09-21,19.05
2023-09-20,19.5
2023-09-19,19.05
2023-09-18,18.95
2023-09-15,19.2
2023-09-14,19.0
