date,price
2024-03-15,94.0
2024-03-14,95.0
2024-03-13,96.0
2024-03-12,94.4
2024-03-11,94.1
2024-03-08,95.1
2024-03-07,95.8
2024-03-06,95.6
2024-03-05,95.5
2024-03-04,96.0
2024-03-01,97.3
2024-02-29,97.3
2024-02-28,97.4
2024-02-27,91.1
2024-02-26,89.5
2024-02-23,88.9
2024-02-22,89.5
2024-02-21,91.2
2024-02-20,91.3
2024-02-19,90.2
2024-02-16,89.6
2024-02-15,89.9
2024-02-07,90.0
2024-02-06,89.5
2024-02-05,90.0
2024-02-02,90.3
2024-02-01,89.8
2024-01-31,88.5
2024-01-30,91.0
2024-01-29,91.2
2024-01-26,92.0
2024-01-25,91.0
2024-01-24,91.1
2024-01-23,91.5
2024-01-22,92.0
2024-01-19,92.6
2024-01-18,91.1
2024-01-17,90.9
2024-01-16,90.0
2024-01-15,90.0
2024-01-12,88.7
2024-01-11,89.3
2024-01-10,89.5
2024-01-09,87.8
2024-01-08,86.8
2024-01-05,86.2
2024-01-04,85.9
2024-01-03,84.5
2024-01-02,83.5
2023-12-29,80.3
2023-12-28,82.8
2023-12-27,82.7
2023-12-26,82.8
2023-12-25,81.8
2023-12-22,80.9
2023-12-21,80.9
2023-12-20,81.1
2023-12-19,81.2
2023-12-18,81.5
2023-12-15,82.2
2023-12-14,84.4
2023-12-13,83.7
2023-12-12,84.2
2023-12-11,84.2
2023-12-08,85.0
2023-12-07,85.2
2023-12-06,85.9
2023-12-05,85.4
2023-12-04,86.0
2023-12-01,85.0
2023-11-30,84.7
2023-11-29,85.1
2023-11-28,85.8
2023-11-27,85.8
2023-11-24,86.0
2023-11-23,85.5
2023-11-22,86.7
2023-11-21,86.6
2023-11-20,86.1
2023-11-17,85.6
2023-11-16,88.0
2023-11-15,87.7
2023-11-14,86.0
2023-11-13,85.5
2023-11-10,86.0
2023-11-09,87.9
2023-11-08,89.5
2023-11-07,88.3
2023-11-06,89.5
2023-11-03,88.9
2023-11-02,89.0
2023-11-01,87.8
2023-10-31,86.8
2023-10-30,85.9
2023-10-27,85.0
2023-10-26,84.5
2023-10-25,85.8
2023-10-24,86.0
2023-10-23,84.5
2023-10-20,84.8
2023-10-19,84.5
2023-10-18,85.9
2023-10-17,85.9
2023-10-16,86.1
2023-10-13,86.6
2023-10-12,86.0
2023-10-11,86.5
2023-10-10,86.1
2023-10-09,84.6
2023-10-06,85.4
2023-10-05,84.5
2023-10-04,86.3
2023-10-03,86.3
2023-10-02,86.5
2023-09-29,87.5
2023-09-28,88.0
2023-09-27,87.8
2023-09-26,87.0
2023-09-25,89.3
2023-09-22,89.3
2023-09-21,87.0
2023-09-20,88.0
2023-09-19,88.1
2023-09-18,88.8
2023-09-15,89.8
2023-09-14,89.1
2023-09-13,89.1
2023-09-12,89.9
2023-09-11,88.5
2023-09-08,89.5
2023-09-07,89.5
2023-09-06,90.2
2023-09-05,90.1
2023-08-31,89.1
2023-08-30,89.1
2023-08-29,88.4
2023-08-28,87.0
2023-08-25,86.2
2023-08-24,87.0
2023-08-23,86.3
2023-08-22,88.4
2023-08-21,89.8
2023-08-18,89.5
2023-08-17,89.4
2023-08-16,89.2
2023-08-15,88.9
2023-08-14,89.0
2023-08-11,90.4
2023-08-10,88.5
2023-08-09,90.2
2023-08-08,90.7
2023-08-07,90.8
2023-08-04,90.1
2023-08-03,90.6
2023-08-02,91.5
2023-08-01,91.2
2023-07-31,91.6
2023-07-28,93.0
2023-07-27,92.7
2023-07-26,93.4
2023-07-25,91.7
2023-07-24,104.6
2023-07-21,105.0
2023-07-20,105.0
2023-07-19,106.5
2023-07-18,104.3
2023-07-17,104.8
2023-07-14,105.0
2023-07-13,104.9
2023-07-12,104.0
2023-07-11,103.0
2023-07-10,102.7
2023-07-07,105.0
2023-07-06,100.7
2023-07-05,102.0
2023-07-04,100.0
2023-07-03,100.0
2023-06-30,100.0
2023-06-29,101.9
2023-06-28,101.1
2023-06-27,100.0
2023-06-26,100.0
2023-06-23,99.9
2023-06-22,100.4
2023-06-21,100.0
2023-06-20,99.9
2023-06-19,101.7
2023-06-16,105.0
2023-06-15,103.5
2023-06-14,102.6
2023-06-13,102.5
2023-06-12,101.0
2023-06-09,100.5
2023-06-08,100.0
2023-06-07,97.0
2023-06-06,99.0
2023-06-05,98.0
2023-06-02,94.9
2023-06-01,93.9
2023-05-31,94.0
2023-05-30,94.5
2023-05-29,93.1
2023-05-26,92.0
2023-05-25,93.2
2023-05-24,92.6
2023-05-23,92.8
2023-05-22,93.1
2023-05-19,94.2
2023-05-18,95.0
2023-05-17,92.8
2023-05-16,92.6
2023-05-15,91.7
2023-05-12,92.8
2023-05-11,91.0
2023-05-10,92.0
2023-05-09,92.3
2023-05-08,93.0
