date,VND,demand,supply
2024-03-28,35.75,4576,4658
2024-03-27,35.50,4484,2849
2024-03-26,35.20,3110,3299
2024-03-25,34.70,7416,4984
2024-03-22,35.70,8092,13246
2024-03-21,34.90,4132,6336
2024-03-20,34.35,5724,6639
2024-03-19,33.30,6125,3894
2024-03-18,33.30,9155,4650
2024-03-15,34.75,6534,4252
2024-03-14,34.45,4982,4447
2024-03-13,35.15,4532,4766
2024-12-03,34.50,5156,4284
2024-11-03,34.15,6076,4129
2024-08-03,34.50,13664,5796
2024-07-03,35.80,7548,3127
2024-06-03,36.10,5674,5680
2024-05-03,36.45,4261,4494
2024-04-03,36.00,9519,8591
2024-01-03,35.60,8661,3254
2024-02-29,35.55,8958,4756
2024-02-28,35.95,5323,4896
2024-02-27,36.15,4516,4966
2024-02-26,35.65,3747,3765
2024-02-23,35.20,8861,9205
2024-02-22,35.70,3898,3847
2024-02-21,35.55,4461,7774
2024-02-20,35.20,4445,4469
2024-02-19,35.40,6596,4817
2024-02-16,35.25,4284,3685
2024-02-15,35.00,4028,5052
2024-07-02,35.50,4913,8684
2024-06-02,34.40,3164,6023
2024-05-02,33.90,7153,11187
2024-02-02,31.70,2411,2696
2024-01-02,32.05,3343,3346
2024-01-31,31.60,5671,4344
2024-01-30,32.20,2254,2976
2024-01-29,32.30,2148,5918
2024-01-26,32.10,2476,3007
2024-01-25,32.05,2962,2633
2024-01-24,32.00,2591,4873
2024-01-23,32.20,4071,4785
2024-01-22,32.65,4389,7017
2024-01-19,32.60,4536,9461
2024-01-18,31.50,4303,7335
2024-01-17,31.15,3704,6727
2024-01-16,31.40,3856,7683
2024-01-15,31.40,3102,3470
2024-12-01,31.50,6159,8355
2024-11-01,31.00,4983,6904
2024-10-01,31.00,4558,8371
2024-09-01,30.00,4474,7014
2024-08-01,29.55,3919,7015
2024-05-01,29.00,4318,5717
2024-04-01,28.60,8303,8573
2024-03-01,27.60,1973,2423
2024-02-01,27.20,1687,2388
2023-12-29,27.10,1782,2997
2023-12-28,27.10,1538,2490
2023-12-27,26.85,1431,2556
2023-12-26,26.80,2115,2403
2023-12-25,26.90,2197,2484
2023-12-22,26.45,1912,2569
2023-12-21,26.55,2094,2568
2023-12-20,26.55,2132,2325
2023-12-19,26.50,2892,2096
2023-12-18,26.05,3341,2424
2023-12-15,26.70,4963,3334
2023-12-14,26.75,3004,2918
2023-12-13,26.75,2887,3115
2023-12-12,27.00,2546,2258
2023-11-12,26.85,1719,2075
2023-08-12,26.90,2190,2745
2023-07-12,26.90,3499,4297
2023-06-12,26.65,2813,2365
2023-05-12,26.50,2531,2978
2023-04-12,26.55,4195,2994
2023-01-12,26.30,2956,1326
2023-11-30,26.30,3806,2101
2023-11-29,29.40,1811,2135
2023-11-28,29.30,2591,1465
2023-11-27,29.40,1604,1127
2023-11-24,29.60,2683,1451
2023-11-23,29.20,1630,2200
2023-11-22,29.60,1726,1295
2023-11-21,29.40,1869,1373
2023-11-20,29.55,1950,1324
2023-11-17,29.70,2681,2782
2023-11-16,30.25,1446,2507
2023-11-15,30.20,1878,4213
2023-11-14,29.80,1623,3271
2023-11-13,29.40,1505,2340
2023-10-11,29.40,2150,3304
2023-09-11,29.50,1836,3226
2023-08-11,29.25,2060,2305
2023-07-11,28.55,1618,1611
2023-06-11,28.55,1580,2242
2023-03-11,28.00,2225,1984
2023-02-11,28.25,2652,2186
2023-01-11,27.40,2798,1182
2023-10-31,27.70,2029,1754
2023-10-30,27.65,1373,1385
2023-10-27,28.20,2820,1751
2023-10-26,28.35,5502,1811
2023-10-25,29.00,1701,1594
2023-10-24,29.50,1572,1840
2023-10-23,29.30,2007,1532
2023-10-20,29.40,2996,2313
2023-10-19,28.60,2184,1507
2023-10-18,28.35,2546,1892
2023-10-17,28.60,1667,1211
2023-10-16,28.80,2365,1028
2023-10-13,29.30,1961,1248
2023-12-10,29.60,1448,1897
2023-11-10,29.50,1720,1219
2023-10-10,29.30,1307,1899
2023-09-10,29.15,1507,1454
2023-06-10,28.70,3406,1608
2023-05-10,28.10,2810,1617
2023-04-10,28.90,2733,1386
2023-03-10,29.10,4162,3604
2023-02-10,29.95,4409,2269
2023-09-29,30.05,3462,2143
2023-09-28,30.85,4749,3256
2023-09-27,31.00,3023,2216
2023-09-26,30.30,3401,3721
2023-09-25,29.80,2788,2499
2023-09-22,31.65,4433,2972
2023-09-21,31.70,4535,2179
2023-09-20,32.05,3803,1940
2023-09-19,32.10,3312,2593
2023-09-18,32.05,4641,3034
2023-09-15,32.75,4230,3722
2023-09-14,33.20,6907,8578
2023-09-13,32.55,4192,3807
2023-12-09,32.30,2854,2282
2023-11-09,31.90,3880,3632
2023-08-09,32.30,3229,2379
2023-07-09,32.65,3279,5445
2023-06-09,32.65,3364,2941
2023-05-09,32.65,3033,5269
2023-08-31,32.45,3086,4215
2023-08-30,32.10,2975,4684
2023-08-29,31.25,2770,3254
2023-08-28,31.15,3442,2364
2023-08-25,31.15,4722,2291
2023-08-24,31.75,3564,2685
2023-08-23,31.30,3698,3043
2023-08-22,31.55,4032,3453
2023-08-21,32.00,4744,5095
2023-08-18,30.70,5171,4749
2023-08-17,32.60,2954,5723
2023-08-16,32.35,2955,4129
2023-08-15,32.40,2319,3735
2023-08-14,32.30,3961,3445
2023-11-08,32.10,4322,3288
2023-10-08,31.65,5149,5858
2023-09-08,32.50,5163,4570
2023-08-08,32.60,3996,6973
2023-07-08,32.60,4843,8159
2023-04-08,31.00,3690,4665
2023-03-08,30.90,3815,4618
2023-02-08,31.05,5924,8547
2023-01-08,30.40,5388,9115
2023-07-31,30.00,3027,5291
2023-07-28,29.50,4248,2691
2023-07-27,29.35,5968,2971
2023-07-26,29.80,2745,3379
2023-07-25,29.90,3601,5350
2023-07-24,29.85,2291,5410
2023-07-21,29.70,4442,2630
2023-07-20,29.65,3795,2632
2023-07-19,29.90,3942,3530
2023-07-18,29.85,2828,3061
2023-07-17,29.70,4479,2793
2023-07-14,29.90,4999,3269
2023-07-13,30.00,3442,3585
2023-12-07,30.00,4199,3330
2023-11-07,30.30,5931,7909
2023-10-07,29.70,3168,3787
2023-07-07,29.60,2256,2355
2023-06-07,29.35,4066,2526
2023-05-07,29.55,2509,2770
2023-04-07,29.45,3133,1697
2023-03-07,29.25,2756,1669
2023-06-30,29.50,2231,2219
2023-06-29,29.90,2747,2910
2023-06-28,30.00,3399,5584
2023-06-27,29.35,1953,2211
2023-06-26,29.25,2895,2698
2023-06-23,29.25,2351,3465
2023-06-22,29.45,2011,4826
2023-06-21,29.15,2133,3668
2023-06-20,29.20,1456,1774
2023-06-19,28.60,1698,2276
2023-06-16,28.50,4046,3875
2023-06-15,29.00,2564,5855
2023-06-14,28.70,2933,6004
2023-06-13,28.30,2194,2193
2023-12-06,28.40,3890,2157
2023-09-06,28.35,2878,4445
2023-08-06,28.55,4037,3697
2023-07-06,28.90,3596,4990
2023-06-06,28.70,1713,4341
2023-05-06,28.75,3127,5010
2023-02-06,28.65,4941,6200
2023-01-06,27.95,1987,2790
2023-05-31,28.00,2146,2401
2023-05-30,28.05,1664,3007
2023-05-29,28.00,1738,3512
2023-05-26,27.80,2618,1435
