date,VND,demand,supply
2024-03-28,30.55,11970,10363
2024-03-27,30.60,13304,18243
2024-03-26,30.55,9703,8671
2024-03-25,30.20,16093,13251
2024-03-22,30.55,17889,22292
2024-03-21,30.25,10287,16361
2024-03-20,30.00,11381,9758
2024-03-19,29.80,21724,15317
2024-03-18,29.60,43051,15475
2024-03-15,30.10,28796,11401
2024-03-14,30.35,21802,13174
2024-03-13,30.80,19077,14989
2024-12-03,30.20,23135,11968
2024-11-03,29.90,25449,10747
2024-08-03,30.30,37556,11021
2024-07-03,31.00,20018,13243
2024-06-03,30.80,21425,9760
2024-05-03,31.15,15841,13268
2024-04-03,30.80,17074,15583
2024-01-03,30.85,18556,13285
2024-02-29,31.00,17094,19198
2024-02-28,30.60,21594,20647
2024-02-27,30.35,32570,39104
2024-02-26,28.80,13306,8087
2024-02-23,28.40,14080,11031
2024-02-22,28.55,16753,7453
2024-02-21,28.80,18057,10798
2024-02-20,29.20,12977,11537
2024-02-19,29.20,18788,18167
2024-02-16,28.60,11573,9341
2024-02-15,28.70,12993,16042
2024-07-02,28.15,6622,7473
2024-06-02,28.05,7297,7958
2024-05-02,28.00,6764,9844
2024-02-02,27.90,7617,7760
2024-01-02,27.85,7430,6136
2024-01-31,27.75,12864,6980
2024-01-30,28.00,10386,5495
2024-01-29,28.00,12634,7935
2024-01-26,28.35,6205,9483
2024-01-25,28.25,9534,8315
2024-01-24,28.25,8108,10663
2024-01-23,28.35,8693,11412
2024-01-22,28.30,22257,28558
2024-01-19,27.80,5897,9706
2024-01-18,27.65,5698,8008
2024-01-17,27.65,9017,13620
2024-01-16,27.80,9781,7934
2024-01-15,27.10,7478,5322
2024-12-01,27.15,18418,6026
2024-11-01,27.50,8964,6076
2024-10-01,27.35,18936,7502
2024-09-01,27.70,14200,8188
2024-08-01,27.85,10697,15959
2024-05-01,27.80,9515,8597
2024-04-01,27.75,11733,16839
2024-03-01,27.80,8600,6494
2024-02-01,27.45,10971,9058
2023-12-29,27.95,7383,13377
2023-12-28,27.95,9962,16682
2023-12-27,27.75,7047,15602
2023-12-26,27.80,10737,17393
2023-12-25,27.45,7050,11421
2023-12-22,27.05,9425,9628
2023-12-21,27.20,9746,7933
2023-12-20,27.20,6979,9450
2023-12-19,27.20,10259,7719
2023-12-18,26.60,10101,5959
2023-12-15,26.80,18751,11526
2023-12-14,27.05,13652,9074
2023-12-13,27.35,13563,16119
2023-12-12,27.95,9042,20629
2023-11-12,27.50,9019,8459
2023-08-12,27.70,14575,28809
2023-07-12,27.60,15578,21593
2023-06-12,27.60,8570,11404
2023-05-12,27.25,13172,12404
2023-04-12,27.50,13205,23869
2023-01-12,26.90,8034,11174
2023-11-30,26.55,10423,13282
2023-11-29,27.00,8330,14081
2023-11-28,26.70,10765,9499
2023-11-27,26.30,9804,7569
2023-11-24,26.40,17427,9992
2023-11-23,25.85,11163,10788
2023-11-22,27.20,8220,11841
2023-11-21,27.05,8146,19593
2023-11-20,26.65,12962,8891
2023-11-17,26.50,18298,15153
2023-11-16,27.20,9744,8375
2023-11-15,27.00,11187,21126
2023-11-14,27.00,15806,15900
2023-11-13,27.20,14600,25977
2023-10-11,26.50,14495,13553
2023-09-11,26.70,16566,19753
2023-08-11,26.95,12943,15618
2023-07-11,25.80,11753,11596
2023-06-11,25.75,9215,13607
2023-03-11,25.10,14832,12073
2023-02-11,25.25,11660,15584
2023-01-11,23.95,8542,9079
2023-10-31,23.00,8697,8354
2023-10-30,23.00,8327,6299
2023-10-27,23.35,9369,9247
2023-10-26,22.80,20731,10074
2023-10-25,24.05,7461,8342
2023-10-24,24.00,7870,6565
2023-10-23,24.00,10593,5354
2023-10-20,24.35,11874,7684
2023-10-19,23.70,15401,7610
2023-10-18,24.00,18126,9866
2023-10-17,24.80,9461,6796
2023-10-16,25.00,14813,5539
2023-10-13,25.75,18825,6956
2023-12-10,25.80,16842,8389
2023-11-10,26.20,8686,6966
2023-10-10,26.00,13948,12302
2023-09-10,25.50,8264,7750
2023-06-10,24.95,11121,7308
2023-05-10,24.90,9220,7091
2023-04-10,25.25,16517,9760
2023-03-10,24.80,29729,11092
2023-02-10,26.20,12997,5357
2023-09-29,26.30,13098,6025
2023-09-28,26.60,13681,8062
2023-09-27,26.50,11916,9272
2023-09-26,26.20,15813,13002
2023-09-25,26.00,20136,11968
2023-09-22,27.30,34459,13613
2023-09-21,28.40,18526,23644
2023-09-20,28.40,12909,11731
2023-09-19,28.15,11523,10991
2023-09-18,27.60,12721,9911
2023-09-15,27.60,14554,8894
2023-09-14,27.80,20340,10798
2023-09-13,28.40,22415,23190
2023-12-09,28.75,14578,11766
2023-11-09,28.00,27749,17209
2023-08-09,28.75,15912,17632
2023-07-09,28.65,22476,20747
2023-06-09,29.00,21921,27911
2023-05-09,27.80,14064,13489
2023-08-31,27.60,13135,19767
2023-08-30,27.20,12273,10147
2023-08-29,27.00,11775,12570
2023-08-28,26.85,10466,14875
2023-08-25,25.95,17701,8308
2023-08-24,26.30,14033,11448
2023-08-23,25.65,20188,9499
2023-08-22,26.15,29182,14868
2023-08-21,26.20,21034,13338
2023-08-18,26.50,26307,17022
2023-08-17,28.10,21052,24306
2023-08-16,27.95,14544,8077
2023-08-15,27.95,14409,11257
2023-08-14,28.15,18775,22044
2023-11-08,27.70,14859,12404
2023-10-08,27.35,14948,11059
2023-09-08,27.80,19457,19438
2023-08-08,27.20,20083,11832
2023-07-08,27.55,12825,11849
2023-04-08,27.35,17458,10039
2023-03-08,26.85,44031,13897
2023-02-08,27.50,17471,9736
2023-01-08,27.50,16975,8462
2023-07-31,28.20,33352,13168
2023-07-28,28.30,14477,10452
2023-07-27,28.40,13884,9947
2023-07-26,28.40,9113,8439
2023-07-25,28.25,13025,8690
2023-07-24,28.25,13156,8173
2023-07-21,28.40,10988,11170
2023-07-20,28.20,11734,15877
2023-07-19,27.40,11482,10066
2023-07-18,27.20,10476,5835
2023-07-17,27.30,10500,8581
2023-07-14,27.50,9159,10113
2023-07-13,27.05,11697,8177
2023-12-07,27.00,23627,10808
2023-11-07,27.30,13414,12526
2023-10-07,27.70,11347,12302
2023-07-07,27.45,10080,12757
2023-06-07,27.00,17402,12609
2023-05-07,26.95,10252,16042
2023-04-07,26.25,11326,6727
2023-03-07,26.20,13435,7104
2023-06-30,26.15,11672,11529
2023-06-29,25.80,20694,14001
2023-06-28,26.60,13793,15326
2023-06-27,25.80,9294,9857
2023-06-26,25.20,14643,9162
2023-06-23,25.40,10477,15757
2023-06-22,24.85,11239,11710
2023-06-21,24.60,9864,17574
2023-06-20,23.65,5381,7988
2023-06-19,23.35,5959,7466
