date,VND,demand,supply
2024-03-28,51.00,4245,8819
2024-03-27,50.70,6382,12578
2024-03-26,48.65,6759,3585
2024-03-25,48.30,6726,8004
2024-03-22,49.10,8984,11310
2024-03-21,48.50,5041,9951
2024-03-20,48.00,8192,17353
2024-03-19,45.50,12460,5324
2024-03-18,45.90,13122,6537
2024-03-15,47.35,11695,4990
2024-03-14,47.25,13030,7413
2024-03-13,48.55,7728,6942
2024-12-03,46.75,13314,7761
2024-11-03,46.40,10544,5674
2024-08-03,47.75,16278,10703
2024-07-03,49.00,7829,6012
2024-06-03,48.70,9087,8536
2024-05-03,50.00,8814,14254
2024-04-03,47.40,7224,10799
2024-01-03,46.60,6911,10840
2024-02-29,46.20,6004,12962
2024-02-28,45.30,6364,8688
2024-02-27,44.75,6370,6355
2024-02-26,44.35,13406,7343
2024-02-23,44.00,15961,7459
2024-02-22,45.30,14823,5443
2024-02-21,46.10,8479,4386
2024-02-20,46.80,8248,5482
2024-02-19,46.80,6676,6345
2024-02-16,46.30,5379,3266
2024-02-15,45.85,10215,4420
2024-07-02,46.60,4469,2538
2024-06-02,47.00,4400,3299
2024-05-02,47.40,3309,4611
2024-02-02,47.40,4143,8633
2024-01-02,46.20,5366,9005
2024-01-31,45.00,5295,6268
2024-01-30,45.40,4895,4922
2024-01-29,44.60,4838,3884
2024-01-26,44.90,4407,4126
2024-01-25,45.20,7915,2918
2024-01-24,44.40,10305,4581
2024-01-23,45.40,6252,4360
2024-01-22,46.15,6118,4640
2024-01-19,46.05,5424,7447
2024-01-18,45.85,5278,6360
2024-01-17,44.90,6334,9439
2024-01-16,44.30,7283,11685
2024-01-15,42.90,4373,6809
2024-12-01,41.90,6808,3031
2024-11-01,42.45,4269,3225
2024-10-01,42.25,6806,3085
2024-09-01,42.70,9500,3863
2024-08-01,43.20,6340,4444
2024-05-01,43.85,5130,6647
2024-04-01,43.20,4359,6356
2024-03-01,43.20,6708,4780
2024-02-01,42.45,5167,3887
2023-12-29,42.80,3627,3933
2023-12-28,43.05,4152,4566
2023-12-27,42.85,3284,4289
2023-12-26,42.70,5148,4915
2023-12-25,42.65,3944,8055
2023-12-22,42.35,4745,5325
2023-12-21,42.65,5369,6613
2023-12-20,42.40,8373,10112
2023-12-19,40.65,6158,3217
2023-12-18,39.60,9213,4276
2023-12-15,40.75,8406,7183
2023-12-14,41.60,6568,5193
2023-12-13,41.70,7588,8076
2023-12-12,42.50,3551,4683
2023-11-12,42.50,5076,5975
2023-08-12,42.60,10792,15315
2023-07-12,40.85,8113,6588
2023-06-12,40.95,5485,8233
2023-05-12,40.00,7338,5056
2023-04-12,39.95,7613,9354
2023-01-12,38.75,5626,3799
2023-11-30,38.50,5041,3862
2023-11-29,38.80,7195,6523
2023-11-28,38.00,7932,3243
2023-11-27,38.00,7380,3029
2023-11-24,38.55,12431,5740
2023-11-23,37.30,6835,4568
2023-11-22,39.80,18326,5630
2023-11-21,40.90,4788,4029
2023-11-20,40.55,6707,3947
2023-11-17,41.40,8334,6853
2023-11-16,41.50,8946,3943
2023-11-15,41.90,6538,8720
2023-11-14,41.50,8646,10254
2023-11-13,40.00,6323,7275
2023-10-11,39.40,10969,7612
2023-09-11,40.30,8276,9603
2023-08-11,39.60,19581,10571
2023-07-11,38.20,9474,8983
2023-06-11,38.05,12463,8688
2023-03-11,38.95,11003,10892
2023-02-11,37.00,21790,10756
2023-01-11,35.10,14136,5702
2023-10-31,37.70,13039,6215
2023-10-30,40.50,3589,2379
2023-10-27,42.00,3135,3537
2023-10-26,42.00,8948,7093
2023-10-25,43.50,4708,3729
2023-10-24,43.00,9507,4270
2023-10-23,43.00,9260,3817
2023-10-20,44.70,7231,6416
2023-10-19,43.00,6512,4108
2023-10-18,44.70,8087,5527
2023-10-17,46.30,5723,3311
2023-10-16,48.60,5999,6132
2023-10-13,49.50,4226,6368
2023-12-10,48.40,10842,5059
2023-11-10,49.30,3113,3329
2023-10-10,48.85,5592,4112
2023-09-10,47.95,5692,2624
2023-06-10,48.30,4888,4072
2023-05-10,47.00,7328,4625
2023-04-10,49.20,5389,4425
2023-03-10,49.00,9255,5640
2023-02-10,51.90,4050,3546
2023-09-29,52.60,4646,7144
2023-09-28,53.00,5661,7668
2023-09-27,52.00,4693,3104
2023-09-26,51.50,5514,4980
2023-09-25,51.00,5268,4800
2023-09-22,52.10,10129,5380
2023-09-21,54.20,11994,3797
2023-09-20,55.80,7242,4094
2023-09-19,55.50,7762,4295
2023-09-18,55.00,8158,4272
2023-09-15,55.90,8664,5402
2023-09-14,57.30,6471,6460
2023-09-13,57.50,9874,10704
2023-12-09,55.80,5008,4074
2023-11-09,54.50,8543,5930
2023-08-09,55.50,6321,5939
2023-07-09,55.00,5731,4818
2023-06-09,55.00,4666,4654
2023-05-09,54.30,6896,5364
2023-08-31,53.80,5407,4853
2023-08-30,53.80,5010,6983
2023-08-29,52.90,5560,5790
2023-08-28,51.70,5838,4407
2023-08-25,50.50,5324,3614
2023-08-24,50.30,4495,3514
2023-08-23,49.70,3980,2423
2023-08-22,50.00,7034,4017
2023-08-21,49.00,5508,4831
2023-08-18,50.20,10227,6751
2023-08-17,53.90,5400,6589
2023-08-16,53.80,5391,2979
2023-08-15,54.00,6870,5681
2023-08-14,54.20,6594,4970
2023-11-08,53.30,4591,3483
2023-10-08,52.00,3241,2579
2023-09-08,52.60,6889,4692
