date,VND,demand,supply
2024-03-28,37.55,1584,1111
2024-03-27,38.00,1075,1256
2024-03-26,38.00,1354,906
2024-03-25,37.40,1970,1265
2024-03-22,38.00,1845,1605
2024-03-21,38.45,1982,2772
2024-03-20,37.45,1259,1448
2024-03-19,37.45,1198,1729
2024-03-18,36.50,2268,1570
2024-03-15,37.65,1722,1610
2024-03-14,37.35,2260,2460
2024-03-13,37.10,1024,1226
2024-12-03,36.35,1163,947
2024-11-03,35.95,1636,1111
2024-08-03,36.80,1790,1873
2024-07-03,37.50,1656,2898
2024-06-03,36.25,1566,2213
2024-05-03,35.95,1220,758
2024-04-03,35.95,1113,1524
2024-01-03,35.90,1194,979
2024-02-29,35.85,1146,1167
2024-02-28,36.20,1895,2736
2024-02-27,35.65,1133,1230
2024-02-26,35.20,1342,561
2024-02-23,35.10,1766,1134
2024-02-22,35.85,1491,1323
2024-02-21,35.75,1227,1047
2024-02-20,36.10,1277,1268
2024-02-19,36.25,2106,2207
2024-02-16,35.30,982,736
2024-02-15,35.30,845,1123
2024-07-02,34.75,656,721
2024-06-02,34.70,566,526
2024-05-02,34.55,638,525
2024-02-02,34.60,524,517
2024-01-02,34.60,654,529
2024-01-31,34.60,741,602
2024-01-30,34.75,458,609
2024-01-29,34.70,573,585
2024-01-26,34.50,516,532
2024-01-25,34.50,561,375
2024-01-24,34.65,632,550
2024-01-23,34.85,692,713
2024-01-22,34.75,584,539
2024-01-19,34.85,761,1027
2024-01-18,34.50,972,636
2024-01-17,34.55,1011,940
2024-01-16,34.75,611,777
2024-01-15,34.65,609,611
2024-12-01,34.95,1277,1172
2024-11-01,35.45,896,1293
2024-10-01,34.85,821,655
2024-09-01,34.65,1253,808
2024-08-01,35.30,1114,1405
2024-05-01,35.20,1050,1566
2024-04-01,35.10,1521,2054
2024-03-01,34.90,962,1118
2024-02-01,34.55,878,1081
2023-12-29,34.50,856,871
2023-12-28,34.50,1615,1208
2023-12-27,34.45,889,819
2023-12-26,34.45,940,896
2023-12-25,34.65,1106,932
2023-12-22,33.80,1269,871
2023-12-21,34.00,916,593
2023-12-20,34.40,642,849
2023-12-19,33.95,1022,516
2023-12-18,33.90,824,527
2023-12-15,34.30,791,682
2023-12-14,34.35,993,615
2023-12-13,34.70,1480,943
2023-12-12,35.45,1242,841
2023-11-12,35.65,798,763
2023-08-12,35.65,1066,890
2023-07-12,35.15,1795,1157
2023-06-12,35.90,1241,1097
2023-05-12,35.55,1297,1545
2023-04-12,35.50,1093,1258
2023-01-12,35.20,2140,1297
2023-11-30,35.10,1297,1503
