date,VND,demand,supply
2024-03-28,11.45,3007,2854
2024-03-27,11.45,3104,3170
2024-03-26,11.45,4307,2145
2024-03-25,11.40,4001,3456
2024-03-22,11.50,3958,3637
2024-03-21,11.40,3957,3099
2024-03-20,11.40,4124,2315
2024-03-19,11.25,4813,1727
2024-03-18,11.30,7754,2741
2024-03-15,11.45,5511,2383
2024-03-14,11.60,3857,2989
2024-03-13,11.60,3625,2188
2024-12-03,11.50,4163,2139
2024-11-03,11.60,4088,2241
2024-08-03,11.70,4579,4702
2024-07-03,11.85,3717,2914
2024-06-03,11.90,4049,5882
2024-05-03,11.85,3331,2919
2024-04-03,11.85,3838,4586
2024-01-03,11.75,3666,2462
2024-02-29,11.65,3958,3494
2024-02-28,11.80,3364,4347
2024-02-27,11.75,3580,3428
2024-02-26,11.55,4283,2477
2024-02-23,11.50,5048,3368
2024-02-22,11.75,3934,3130
2024-02-21,11.80,4492,3352
2024-02-20,11.90,4917,5497
2024-02-19,12.00,7409,8392
2024-02-16,11.50,2776,2425
2024-02-15,11.40,2639,1981
2024-07-02,11.35,2559,1445
2024-06-02,11.35,2559,1637
2024-05-02,11.25,2778,1573
2024-02-02,11.30,2560,1611
2024-01-02,11.35,2347,1478
2024-01-31,11.35,2572,1973
2024-01-30,11.50,2198,3189
2024-01-29,11.40,1637,2457
2024-01-26,11.40,2168,1686
2024-01-25,11.45,1893,1546
2024-01-24,11.40,2710,1723
2024-01-23,11.45,2965,2298
2024-01-22,11.55,2358,2695
2024-01-19,11.55,3321,3425
2024-01-18,11.40,2690,1672
2024-01-17,11.40,2390,2254
2024-01-16,11.50,2499,1711
2024-01-15,11.40,2679,2734
2024-12-01,11.45,3727,3617
2024-11-01,11.65,4402,5322
2024-10-01,11.40,2552,2886
2024-09-01,11.45,2521,2445
2024-08-01,11.40,3411,2175
2024-05-01,11.30,2938,2013
2024-04-01,11.45,3272,3762
2024-03-01,11.40,2936,2415
2024-02-01,11.25,2403,2512
2023-12-29,11.25,3285,1955
2023-12-28,11.25,2793,1814
2023-12-27,11.15,2985,2126
2023-12-26,11.25,2861,2305
2023-12-25,11.30,2158,2153
2023-12-22,11.25,2361,1803
2023-12-21,11.30,1765,1716
2023-12-20,11.30,1648,2115
2023-12-19,11.20,2268,1606
2023-12-18,11.10,2734,1376
2023-12-15,11.20,4164,4571
2023-12-14,11.30,2934,1812
2023-12-13,11.40,3094,1987
2023-12-12,11.60,2148,2504
2023-11-12,11.60,1546,2418
2023-08-12,11.65,2734,4846
2023-07-12,11.50,2834,3060
2023-06-12,11.55,2128,2442
2023-05-12,11.45,2155,3081
2023-04-12,11.55,2578,3565
2023-01-12,11.30,2304,1881
2023-11-30,11.25,2266,2364
2023-11-29,11.30,2396,2268
2023-11-28,11.30,3629,1848
2023-11-27,11.30,2007,1556
2023-11-24,11.40,4008,2230
2023-11-23,11.45,2962,2330
2023-11-22,11.65,2977,2295
2023-11-21,11.70,1979,2860
2023-11-20,11.65,2864,2144
2023-11-17,11.65,3359,3400
2023-11-16,11.85,2273,2364
2023-11-15,11.75,2874,4763
2023-11-14,11.85,3295,3703
2023-11-13,11.90,3361,4892
2023-10-11,11.70,5171,5824
2023-09-11,11.55,4309,4217
2023-08-11,11.50,2595,2402
2023-07-11,11.15,1844,2180
2023-06-11,11.25,2327,2514
2023-03-11,11.10,2491,3006
2023-02-11,11.10,2364,2673
2023-01-11,10.70,2468,1662
2023-10-31,10.60,3169,2414
2023-10-30,10.85,2192,1508
2023-10-27,11.00,2931,2523
2023-10-26,10.80,5364,3054
2023-10-25,11.20,2169,2174
2023-10-24,11.20,3025,1930
2023-10-23,11.05,3368,1839
2023-10-20,11.20,3082,1749
2023-10-19,11.05,3094,1766
2023-10-18,11.25,3910,2438
2023-10-17,11.25,2676,2397
2023-10-16,11.35,2829,2700
2023-10-13,11.40,4062,2399
2023-12-10,11.45,3216,2751
2023-11-10,11.50,3114,2973
2023-10-10,11.45,3606,3145
2023-09-10,11.20,5586,2167
2023-06-10,11.20,3901,2127
2023-05-10,10.90,5482,2343
2023-04-10,11.25,3869,1917
2023-03-10,11.20,4610,2279
2023-02-10,11.75,2939,2129
2023-09-29,11.60,3229,2255
2023-09-28,11.50,4266,1937
2023-09-27,11.75,4061,2426
2023-09-26,11.65,5007,2750
2023-09-25,11.80,4949,2709
2023-09-22,12.30,8277,3013
2023-09-21,12.70,3733,3231
2023-09-20,12.80,3223,2657
2023-09-19,12.75,4725,2721
2023-09-18,12.65,3920,2612
2023-09-15,12.75,3723,3750
2023-09-14,12.75,4319,3518
2023-09-13,12.95,4199,6179
2023-12-09,12.90,3598,2784
2023-11-09,12.70,5102,4161
2023-08-09,12.85,5960,3669
2023-07-09,12.90,4693,4455
2023-06-09,13.00,4806,3706
2023-05-09,13.00,4003,4116
2023-08-31,12.80,3844,3893
2023-08-30,12.70,3570,3377
2023-08-29,12.60,6109,3586
2023-08-28,12.70,3706,3233
2023-08-25,12.50,5323,3207
2023-08-24,12.60,5409,3265
2023-08-23,12.35,8699,3765
2023-08-22,12.80,8385,4140
2023-08-21,13.00,6439,3698
2023-08-18,13.05,6237,6340
2023-08-17,14.00,3512,8086
2023-08-16,13.90,3114,5289
2023-08-15,13.90,4585,8522
2023-08-14,13.75,3666,4358
2023-11-08,13.65,5490,4050
2023-10-08,13.80,3490,6523
2023-09-08,13.90,5239,5475
2023-08-08,14.10,8666,12771
2023-07-08,13.70,3979,6805
2023-04-08,13.60,4322,5016
2023-03-08,13.50,4345,4776
2023-02-08,13.70,3760,4799
2023-01-08,13.45,4637,7522
2023-07-31,13.70,4413,9497
2023-07-28,13.55,7509,6816
2023-07-27,13.30,6856,6298
2023-07-26,13.55,8771,11521
2023-07-25,13.25,6085,4845
2023-07-24,13.30,4944,4532
2023-07-21,13.25,7171,3007
2023-07-20,13.30,6656,2273
2023-07-19,13.30,3538,4102
2023-07-18,13.50,4449,5058
2023-07-17,13.35,3612,4071
2023-07-14,13.30,4373,3559
2023-07-13,13.35,3658,4420
2023-12-07,13.25,3502,3245
2023-11-07,13.25,4429,3824
2023-10-07,13.20,4321,3297
2023-07-07,13.10,7469,2678
2023-06-07,13.25,5422,3188
2023-05-07,13.50,3477,3204
2023-04-07,13.40,4806,2406
2023-03-07,13.30,4880,2196
2023-06-30,13.40,4360,2476
2023-06-29,13.55,3175,3602
2023-06-28,13.80,3558,5853
2023-06-27,13.60,3632,3268
2023-06-26,13.65,4382,2987
2023-06-23,13.70,3484,4079
2023-06-22,13.75,4352,4620
2023-06-21,13.65,3056,3418
2023-06-20,13.60,3592,2290
2023-06-19,13.55,3032,2443
2023-06-16,13.50,3801,3034
2023-06-15,13.55,4432,2831
2023-06-14,13.75,3077,3805
2023-06-13,13.85,3931,3954
2023-12-06,13.90,3852,4899
2023-09-06,13.75,2699,3194
2023-08-06,13.80,4512,7105
2023-07-06,13.75,4680,5235
2023-06-06,13.80,3117,3959
2023-05-06,13.95,5254,7470
2023-02-06,13.65,3527,3960
2023-01-06,13.65,3430,4552
2023-05-31,13.65,4403,5800
2023-05-30,13.65,5271,4287
2023-05-29,13.60,2923,4006
2023-05-26,13.60,5147,3730
2023-05-25,13.45,2669,2881
2023-05-24,13.50,3020,4104
2023-05-23,13.65,4059,6997
2023-05-22,13.60,3446,4872
2023-05-19,13.50,3819,7622
2023-05-18,13.40,3009,3570
2023-05-17,13.30,3081,3428
2023-05-16,13.50,3132,6887
2023-05-15,13.30,2502,4058
2023-12-05,13.40,3060,3670
2023-11-05,13.30,3305,4135
2023-10-05,13.40,2783,3848
2023-09-05,13.35,2276,4619
2023-08-05,13.30,2601,4431
2023-05-05,13.05,3010,2446
2023-04-05,13.00,3421,4002
2023-04-28,13.10,3073,4481
2023-04-27,12.85,2829,3179
2023-04-26,12.80,3655,2414
2023-04-25,12.80,3126,3554
2023-04-24,13.00,2877,2298
2023-04-21,12.80,7117,3254
2023-04-20,13.15,2699,2048
2023-04-19,13.20,3191,2899
2023-04-18,13.50,1802,3651
2023-04-17,13.35,2702,2629
2023-04-14,13.10,4029,3585
2023-04-13,13.45,3807,8204
2023-12-04,13.65,5553,9742
2023-11-04,13.40,2459,3998
2023-10-04,13.35,3819,4994
2023-07-04,13.05,3519,2703
2023-06-04,13.15,5489,3629
2023-05-04,13.45,4366,3826
2023-04-04,13.50,4456,6056
2023-03-04,13.20,4489,4226
2023-03-31,13.20,4503,3599
2023-03-30,13.20,3393,3652
2023-03-29,13.35,2178,3137
2023-03-28,13.30,3057,3984
2023-03-27,13.30,3449,4184
2023-03-24,13.25,3179,3327
2023-03-23,13.20,3622,2254
2023-03-22,13.15,3079,3268
2023-03-21,13.20,3454,3326
2023-03-20,12.85,5229,3590
2023-03-17,13.40,2602,5163
2023-03-16,13.25,4257,4699
2023-03-15,13.50,4512,7022
2023-03-14,12.85,6168,4097
2023-03-13,13.15,5623,5114
2023-10-03,12.95,5143,4895
2023-09-03,13.00,7711,9172
2023-08-03,12.75,3347,4181
2023-07-03,12.55,3229,5718
2023-06-03,12.45,3993,3414
2023-03-03,12.35,4221,4490
2023-02-03,12.70,6841,10940
2023-01-03,12.35,3401,3093
2023-02-28,12.10,2676,2905
2023-02-27,12.00,4527,2448
2023-02-24,12.00,2888,2664
2023-02-23,12.20,5089,2784
2023-02-22,12.00,5020,3506
2023-02-21,12.45,4055,4877
2023-02-20,12.65,3602,5487
2023-02-17,12.40,3933,5368
2023-02-16,12.35,2972,4287
2023-02-15,12.00,3039,2531
2023-02-14,11.85,2476,1958
2023-02-13,11.70,3927,2754
2023-10-02,12.00,3693,3686
2023-09-02,12.00,2905,2903
2023-08-02,12.25,3439,2914
2023-07-02,12.20,4438,5392
2023-06-02,12.55,4397,4179
2023-03-02,12.15,3066,2896
2023-02-02,12.00,4845,3283
2023-01-02,11.95,5735,7088
2023-01-31,12.40,4544,4176
2023-01-30,12.35,5250,4826
2023-01-27,12.20,3798,3935
2023-01-19,12.20,4073,3804
2023-01-18,12.15,3723,3875
2023-01-17,12.15,3973,5997
2023-01-16,11.85,2231,3319
2023-01-13,11.85,3828,6342
2023-12-01,11.75,3326,5622
2023-11-01,11.65,3469,4341
2023-10-01,11.70,3834,3309
2023-09-01,11.60,4099,5018
2023-06-01,11.75,7202,8931
2023-05-01,11.75,8022,9418
2023-04-01,11.00,3822,3500
2023-03-01,11.05,3206,3516
2022-12-30,10.65,2555,2660
2022-12-29,10.50,2979,1946
2022-12-28,10.65,3811,2011
2022-12-27,10.65,3972,2237
2022-12-26,10.30,3012,3275
2022-12-23,10.95,4295,5070
2022-12-22,10.70,3765,2514
2022-12-21,10.45,4231,2331
2022-12-20,10.70,6741,3514
2022-12-19,11.10,4954,4139
2022-12-16,11.45,3561,4530
2022-12-15,11.40,3629,4116
2022-12-14,11.40,3661,5250
2022-12-13,11.40,4582,3473
2022-12-12,11.15,5888,5128
2022-09-12,11.20,3927,3452
2022-08-12,11.20,3652,3881
2022-07-12,10.95,4782,3482
2022-06-12,10.90,6825,4843
2022-05-12,11.50,6110,6085
2022-02-12,11.70,5660,4986
2022-01-12,11.20,7068,6979
2022-11-30,11.65,5418,6339
2022-11-29,11.30,5658,6394
2022-11-28,11.30,5592,5903
2022-11-25,10.85,3383,4836
2022-11-24,10.60,2759,3540
2022-11-23,10.45,3821,5754
2022-11-22,10.35,4799,7200
2022-11-21,10.30,3324,4921
2022-11-18,10.10,5931,5027
2022-11-17,10.10,4974,4803
2022-11-16,10.10,6812,4270
2022-11-15,9.58,5785,3390
2022-11-14,10.30,4148,3064
2022-11-11,10.60,2851,4657
2022-10-11,10.25,4347,4973
2022-09-11,10.85,4221,6506
2022-08-11,10.45,4185,5131
2022-07-11,9.79,3282,2955
2022-04-11,9.80,6313,3189
2022-03-11,10.10,3411,2134
2022-02-11,10.20,4154,2838
2022-01-11,10.35,3105,3262
2022-10-31,10.35,5069,3060
2022-10-28,10.35,3687,3986
2022-10-27,10.40,3761,3668
2022-10-26,10.00,3441,2691
2022-10-25,9.97,5468,4391
2022-10-24,9.88,6208,4340
2022-10-21,10.30,7014,3180
2022-10-20,10.85,4165,2506
2022-10-19,11.00,3797,3026
2022-10-18,11.10,4372,3974
2022-10-17,11.15,4723,4369
2022-10-14,10.80,5738,4621
2022-10-13,10.60,5622,3219
2022-12-10,10.60,4814,4344
2022-11-10,10.25,7394,3358
2022-10-10,11.00,5925,3531
2022-07-10,10.65,8659,4172
2022-06-10,11.40,5685,3204
2022-05-10,12.10,4332,3483
2022-04-10,11.60,5579,4335
2022-03-10,11.50,6619,3590
2022-09-30,12.35,7914,4629
2022-09-29,12.55,4495,3724
2022-09-28,12.85,5681,3456
2022-09-27,12.95,5792,3480
2022-09-26,12.80,9510,4529
2022-09-23,13.40,4954,3845
2022-09-22,13.65,7377,3822
2022-09-21,13.45,6246,2828
2022-09-20,13.70,7299,3745
2022-09-19,13.50,9723,5935
2022-09-16,14.25,7274,9688
