date,VND,demand,supply
2024-03-28,57.20,2170,1523
2024-03-27,57.50,1402,1445
2024-03-26,56.90,2145,850
2024-03-25,57.00,2005,1752
2024-03-22,57.30,1741,1226
2024-03-21,57.20,1853,1208
2024-03-20,56.90,2556,806
2024-03-19,56.90,2025,924
2024-03-18,56.70,3948,1387
2024-03-15,58.00,3644,1298
2024-03-14,58.70,2133,1519
2024-03-13,59.60,2209,1973
2024-12-03,59.10,1820,1699
2024-11-03,59.30,2208,1773
2024-08-03,60.00,2572,1770
2024-07-03,60.60,2750,2730
2024-06-03,61.30,3658,4673
2024-05-03,58.90,1704,1522
2024-04-03,58.30,1584,2164
2024-01-03,58.60,1539,1621
2024-02-29,58.50,2591,3993
2024-02-28,57.70,1996,1901
2024-02-27,56.30,4343,2004
2024-02-26,56.60,2352,1165
2024-02-23,57.00,3235,1678
2024-02-22,58.00,1385,1172
2024-02-21,58.10,2078,1554
2024-02-20,58.60,2683,2756
2024-02-19,57.90,2826,2359
2024-02-16,58.00,1712,2158
2024-02-15,58.40,1099,1579
2024-07-02,57.80,1166,1109
2024-06-02,57.30,1219,1090
2024-05-02,57.00,1359,1139
2024-02-02,57.00,1415,999
2024-01-02,57.50,1662,1236
2024-01-31,56.30,2763,1342
2024-01-30,57.20,2287,859
2024-01-29,57.90,2083,1288
2024-01-26,57.30,5591,1977
2024-01-25,58.80,3635,1370
2024-01-24,60.30,1510,762
2024-01-23,60.30,1274,776
2024-01-22,60.90,1022,966
2024-01-19,61.40,1040,1400
2024-01-18,60.50,954,603
2024-01-17,60.40,1235,719
2024-01-16,60.40,1156,481
2024-01-15,60.40,1370,640
2024-12-01,61.10,1601,751
2024-11-01,61.40,1013,1018
2024-10-01,60.80,2328,1024
2024-09-01,61.60,1488,1136
2024-08-01,62.10,1294,882
2024-05-01,61.90,2018,1046
2024-04-01,62.40,1777,2189
2024-03-01,63.50,1237,1151
2024-02-01,63.50,1611,1793
2023-12-29,63.00,1487,1028
2023-12-28,62.20,1733,1083
2023-12-27,62.10,1384,968
2023-12-26,62.70,1250,931
2023-12-25,62.00,1458,902
2023-12-22,61.50,1729,2790
2023-12-21,62.00,1384,935
2023-12-20,62.00,1582,1004
2023-12-19,62.20,1110,1110
2023-12-18,61.50,2061,1255
2023-12-15,62.80,1539,888
