date,VND,demand,supply
2024-03-28,11.60,5281,6868
2024-03-27,11.50,5811,5709
2024-03-26,11.50,5174,5481
2024-03-25,11.45,5619,7134
2024-03-22,11.55,7953,11590
2024-03-21,11.45,6927,6844
2024-03-20,11.35,9633,6260
2024-03-19,11.20,7802,4012
2024-03-18,11.15,15934,6780
2024-03-15,11.40,8749,5611
2024-03-14,11.45,8778,6558
2024-03-13,11.55,8154,5904
2024-12-03,11.30,12914,5312
2024-11-03,11.40,13060,6526
2024-08-03,11.70,10506,9019
2024-07-03,11.90,8688,7736
2024-06-03,11.80,10664,11263
2024-05-03,11.85,11990,6618
2024-04-03,11.85,8936,9756
2024-01-03,11.90,9532,7588
2024-02-29,11.80,11461,9426
2024-02-28,11.90,10134,7913
2024-02-27,11.90,11152,7734
2024-02-26,11.75,12789,6194
2024-02-23,11.85,13521,17197
2024-02-22,12.10,13668,18775
2024-02-21,11.90,9999,8916
2024-02-20,11.85,12643,9283
2024-02-19,12.00,7922,10509
2024-02-16,11.90,7554,9821
2024-02-15,11.90,12624,12805
2024-07-02,11.65,8018,6844
2024-06-02,11.55,8717,6866
2024-05-02,11.75,12659,9098
2024-02-02,11.45,16909,8272
2024-01-02,11.60,12818,5774
2024-01-31,11.60,41117,15683
2024-01-30,12.30,4650,5671
2024-01-29,12.30,5172,9267
2024-01-26,12.35,5234,8005
2024-01-25,12.25,5655,8502
2024-01-24,12.20,10341,11936
2024-01-23,12.10,7912,7870
2024-01-22,12.15,8215,10285
2024-01-19,12.15,8233,8519
2024-01-18,12.05,10097,5923
2024-01-17,12.00,10623,8965
2024-01-16,12.20,10528,6934
2024-01-15,12.15,7402,11923
2024-12-01,12.30,15261,17185
2024-11-01,12.10,11661,16939
2024-10-01,12.00,18089,22908
2024-09-01,11.70,6803,10351
2024-08-01,11.70,6869,12578
2024-05-01,11.55,6371,10849
2024-04-01,11.45,13312,18220
2024-03-01,11.25,7349,9455
2024-02-01,10.95,7920,8896
2023-12-29,10.80,4832,5447
2023-12-28,10.80,4547,4479
2023-12-27,10.75,3979,3863
2023-12-26,10.70,4325,4398
2023-12-25,10.75,3993,4224
2023-12-22,10.70,4753,3951
2023-12-21,10.65,5314,3046
2023-12-20,10.70,4400,3439
2023-12-19,10.70,6302,3734
2023-12-18,10.70,5686,3768
2023-12-15,10.80,6394,3768
2023-12-14,10.80,7457,4652
2023-12-13,10.90,7351,5920
2023-12-12,11.10,5612,6493
2023-11-12,11.15,5790,5254
2023-08-12,11.00,6254,5835
2023-07-12,11.05,8773,7865
