date,VND,demand,supply
2024-03-28,19.10,4675,5009
2024-03-27,19.20,3800,3513
2024-03-26,19.15,3793,4967
2024-03-25,19.00,5409,8084
2024-03-22,18.75,8572,8042
2024-03-21,18.75,5753,4902
2024-03-20,18.60,8999,6715
2024-03-19,18.20,3930,3719
2024-03-18,18.30,10366,5309
2024-03-15,18.80,6973,3478
2024-03-14,18.75,6232,4138
2024-03-13,19.00,6337,4201
2024-12-03,18.50,5218,3729
2024-11-03,18.50,7778,3943
2024-08-03,18.60,14453,6306
2024-07-03,19.25,5864,3753
2024-06-03,19.20,7494,3981
2024-05-03,19.40,9437,3540
2024-04-03,19.60,8827,4759
2024-01-03,19.85,8187,4050
2024-02-29,19.85,11623,7907
2024-02-28,20.00,7435,6097
2024-02-27,19.15,6655,4016
2024-02-26,19.15,4746,3674
2024-02-23,19.10,11283,10841
2024-02-22,19.55,5730,6144
2024-02-21,19.50,8564,9911
2024-02-20,18.75,4503,3330
2024-02-19,18.80,5393,4355
2024-02-16,18.90,4166,4794
2024-02-15,18.85,6397,8320
2024-07-02,18.50,4420,5879
2024-06-02,18.10,2961,3331
2024-05-02,18.15,6262,4482
2024-02-02,17.50,6661,3279
2024-01-02,17.85,3897,2142
2024-01-31,17.85,6474,3058
2024-01-30,18.30,3142,2833
2024-01-29,18.15,2892,1879
2024-01-26,18.30,3069,2634
2024-01-25,18.15,4687,1655
2024-01-24,18.30,5964,2736
2024-01-23,18.60,3578,3860
2024-01-22,18.65,3934,3667
2024-01-19,18.60,3617,3444
2024-01-18,18.45,3378,2388
2024-01-17,18.35,3093,3595
2024-01-16,18.60,3899,3075
2024-01-15,18.30,2912,3773
2024-12-01,18.55,6775,6209
2024-11-01,18.50,7140,9167
2024-10-01,18.50,8752,9192
2024-09-01,17.75,6077,2623
2024-08-01,17.95,4878,4015
2024-05-01,18.00,5359,3392
2024-04-01,17.90,8732,7375
2024-03-01,17.45,3797,2358
2024-02-01,17.30,2051,2455
2023-12-29,17.40,1624,2522
2023-12-28,17.30,2167,1859
2023-12-27,17.35,1636,2471
2023-12-26,17.00,1642,1547
2023-12-25,17.05,1486,1688
2023-12-22,16.90,2489,1670
2023-12-21,16.90,2113,1056
2023-12-20,16.90,1701,1471
2023-12-19,17.00,1854,1231
2023-12-18,16.90,2337,1521
2023-12-15,16.95,2086,1189
2023-12-14,16.90,2521,1417
2023-12-13,17.00,2488,1752
2023-12-12,17.35,1825,1699
2023-11-12,17.35,2354,2866
2023-08-12,17.45,2238,3526
2023-07-12,17.55,3781,4551
2023-06-12,17.45,2957,3941
2023-05-12,17.05,2462,2888
2023-04-12,17.20,2284,4653
2023-01-12,17.10,1433,2682
2023-11-30,17.00,1859,2934
2023-11-29,16.85,1805,1346
2023-11-28,16.75,2662,1190
2023-11-27,16.65,2848,1514
2023-11-24,17.00,3091,1874
2023-11-23,17.00,2574,2813
2023-11-22,17.10,2103,1855
2023-11-21,17.05,2742,1772
2023-11-20,17.20,2752,2579
2023-11-17,17.00,4576,3717
2023-11-16,17.50,3719,2472
2023-11-15,17.70,2738,5264
2023-11-14,17.40,2927,5748
2023-11-13,17.25,2395,2919
2023-10-11,17.00,3818,2860
2023-09-11,17.10,4098,3717
2023-08-11,17.25,4948,3860
2023-07-11,16.55,3906,1764
2023-06-11,16.60,4178,2966
2023-03-11,16.05,3799,3262
2023-02-11,16.40,3497,3483
2023-01-11,15.80,2890,1723
2023-10-31,15.80,2302,1477
2023-10-30,16.00,1942,1359
2023-10-27,16.20,2351,1532
2023-10-26,16.00,5161,2833
2023-10-25,16.75,1821,2240
2023-10-24,16.80,2116,1912
2023-10-23,16.45,3243,2246
2023-10-20,16.50,2571,1968
2023-10-19,16.15,3219,1434
2023-10-18,16.25,3916,2444
