date,VND,demand,supply
2024-03-28,47.60,2736,6401
2024-03-27,47.05,2540,4228
2024-03-26,47.05,2202,5093
2024-03-25,46.85,3815,6406
2024-03-22,46.60,3929,4724
2024-03-21,46.50,3763,4598
2024-03-20,46.50,5002,4860
2024-03-19,47.00,3883,10225
2024-03-18,46.10,6506,7028
2024-03-15,44.40,3669,3670
2024-03-14,45.95,4463,8485
2024-03-13,45.00,4197,2462
2024-12-03,44.15,5023,2546
2024-11-03,44.35,4228,3257
2024-08-03,44.80,5656,3767
2024-07-03,45.60,3431,4413
2024-06-03,45.30,5395,6626
2024-05-03,45.30,4459,3604
2024-04-03,45.25,4346,4514
2024-01-03,45.25,4958,3105
2024-02-29,45.00,5738,4315
2024-02-28,45.60,4296,5084
2024-02-27,45.15,6618,3639
2024-02-26,44.60,8215,4176
2024-02-23,45.20,12075,7525
2024-02-22,47.60,5422,5232
2024-02-21,47.25,9592,8174
2024-02-20,48.50,10607,12174
2024-02-19,47.00,11206,12718
2024-02-16,43.95,5192,7911
2024-02-15,42.55,2777,2406
2024-07-02,42.40,2572,1613
2024-06-02,42.30,3121,1802
2024-05-02,42.20,3538,2756
2024-02-02,42.10,3537,2217
2024-01-02,42.35,4083,2732
2024-01-31,42.50,4126,2682
2024-01-30,42.70,2473,2377
2024-01-29,42.65,3346,1688
2024-01-26,42.80,3126,2390
2024-01-25,42.80,2431,1897
2024-01-24,43.15,2815,2072
2024-01-23,43.10,3239,2220
2024-01-22,43.30,2171,2210
2024-01-19,43.30,3299,2268
2024-01-18,43.35,2196,2191
2024-01-17,43.20,2466,2430
2024-01-16,43.15,2629,2247
2024-01-15,43.05,1865,2012
2024-12-01,43.00,5074,2455
2024-11-01,43.65,2039,2573
2024-10-01,43.60,3822,2449
2024-09-01,43.90,2716,2560
2024-08-01,44.35,2755,4268
2024-05-01,44.10,2129,2413
2024-04-01,44.15,3090,3642
2024-03-01,44.15,3880,2200
2024-02-01,44.00,2986,3799
