date,VND,demand,supply
2024-03-28,103.20,745,937
2024-03-27,103.00,809,1079
2024-03-26,101.90,834,1059
2024-03-25,100.70,1100,710
2024-03-22,102.20,1071,761
2024-03-21,102.60,809,1115
2024-03-20,101.20,997,850
2024-03-19,101.00,973,608
2024-03-18,101.80,1077,871
2024-03-15,102.70,1115,998
2024-03-14,102.00,1307,791
2024-03-13,102.20,998,561
2024-12-03,102.50,793,584
2024-11-03,103.00,576,689
2024-08-03,103.70,846,554
2024-07-03,103.90,706,554
2024-06-03,103.90,969,590
2024-05-03,104.40,670,678
2024-04-03,103.60,887,748
2024-01-03,103.30,867,554
2024-02-29,103.10,672,628
2024-02-28,103.40,822,571
2024-02-27,103.50,1031,733
2024-02-26,104.50,468,638
2024-02-23,103.80,710,669
2024-02-22,103.60,924,668
2024-02-21,103.20,1301,587
2024-02-20,104.30,1049,477
2024-02-19,105.20,861,604
2024-02-16,105.30,516,491
2024-02-15,104.50,779,604
2024-07-02,105.30,405,485
2024-06-02,104.50,382,436
2024-05-02,105.30,550,506
2024-02-02,104.80,329,442
2024-01-02,105.50,550,460
2024-01-31,104.60,628,694
2024-01-30,105.60,371,525
2024-01-29,105.80,466,460
2024-01-26,105.70,525,729
2024-01-25,104.90,332,454
2024-01-24,104.70,558,571
2024-01-23,105.00,888,599
2024-01-22,105.60,380,551
2024-01-19,105.00,428,584
2024-01-18,104.30,693,575
2024-01-17,104.60,795,600
2024-01-16,105.40,478,352
2024-01-15,105.20,475,481
2024-12-01,105.30,783,491
2024-11-01,105.80,569,392
2024-10-01,105.70,807,533
2024-09-01,106.50,747,336
2024-08-01,106.60,610,459
2024-05-01,107.60,522,460
2024-04-01,107.80,956,639
2024-03-01,107.70,790,538
2024-02-01,107.00,602,474
2023-12-29,108.00,338,478
2023-12-28,108.00,528,427
2023-12-27,107.90,517,506
2023-12-26,108.00,765,523
2023-12-25,107.80,562,616
2023-12-22,106.20,820,612
2023-12-21,105.30,787,728
2023-12-20,104.30,734,498
2023-12-19,104.30,564,443
2023-12-18,105.00,681,691
2023-12-15,103.00,815,513
2023-12-14,105.30,758,800
2023-12-13,105.00,834,1047
2023-12-12,104.50,1031,762
2023-11-12,104.20,1166,602
2023-08-12,104.20,820,757
2023-07-12,105.70,1667,1444
2023-06-12,105.80,715,641
2023-05-12,105.10,1184,859
2023-04-12,105.80,942,936
2023-01-12,105.40,1072,864
2023-11-30,102.00,1011,517
2023-11-29,106.80,594,630
2023-11-28,106.50,658,545
2023-11-27,106.00,1052,531
2023-11-24,106.30,774,664
2023-11-23,105.00,823,703
2023-11-22,108.20,746,663
2023-11-21,106.60,859,483
2023-11-20,105.70,1050,676
2023-11-17,105.50,919,686
2023-11-16,108.50,865,474
2023-11-15,108.70,783,1012
2023-11-14,107.80,643,672
2023-11-13,108.00,668,665
2023-10-11,109.00,1007,633
2023-09-11,108.40,848,729
2023-08-11,113.00,908,1058
2023-07-11,106.00,482,658
2023-06-11,107.30,1075,897
2023-03-11,106.50,914,841
2023-02-11,104.90,581,742
2023-01-11,104.40,725,855
2023-10-31,99.00,1024,656
2023-10-30,98.00,447,441
2023-10-27,99.80,613,646
2023-10-26,99.80,884,798
2023-10-25,102.80,839,821
2023-10-24,103.60,569,1091
2023-10-23,103.50,930,917
2023-10-20,105.20,613,730
2023-10-19,105.10,684,940
2023-10-18,104.90,693,1450
2023-10-17,102.90,663,863
2023-10-16,102.50,608,1210
2023-10-13,103.80,584,1250
2023-12-10,97.70,460,605
2023-11-10,97.60,544,611
2023-10-10,97.30,533,738
2023-09-10,97.10,502,676
2023-06-10,97.00,878,671
2023-05-10,95.50,765,706
2023-04-10,96.80,586,690
2023-03-10,97.90,785,705
2023-02-10,98.50,720,662
2023-09-29,99.30,546,802
2023-09-28,99.30,851,1139
2023-09-27,99.70,524,1061
2023-09-26,98.00,680,1301
2023-09-25,98.00,1123,1089
2023-09-22,97.60,1027,965
2023-09-21,99.30,844,862
2023-09-20,99.40,627,597
2023-09-19,99.40,711,726
2023-09-18,98.80,739,738
2023-09-15,99.70,931,1044
2023-09-14,99.00,949,845
2023-09-13,99.00,1416,938
2023-12-09,101.90,828,809
2023-11-09,99.00,1078,1000
2023-08-09,101.40,827,960
2023-07-09,101.00,1136,1132
2023-06-09,101.70,1024,1205
2023-05-09,100.50,2112,1628
2023-08-31,98.00,1373,1281
2023-08-30,96.90,1286,1122
2023-08-29,97.50,1213,993
2023-08-28,98.00,963,1147
2023-08-25,97.00,1168,984
2023-08-24,97.50,901,1164
2023-08-23,96.50,1038,951
2023-08-22,97.30,1068,1382
2023-08-21,96.00,809,1061
2023-08-18,97.90,1251,1439
2023-08-17,100.00,1233,858
2023-08-16,100.80,965,1063
2023-08-15,101.90,959,922
2023-08-14,100.20,1346,1192
2023-11-08,101.10,875,995
2023-10-08,100.70,795,1155
2023-09-08,101.60,806,928
2023-08-08,103.00,1277,1135
2023-07-08,101.90,1085,1032
2023-04-08,101.00,1171,985
2023-03-08,101.00,1086,1071
2023-02-08,100.80,1643,1899
2023-01-08,101.20,1306,1272
2023-07-31,102.00,1979,1606
2023-07-28,97.80,1352,1149
2023-07-27,96.90,1148,933
2023-07-26,96.50,1165,696
2023-07-25,97.10,2508,1092
2023-07-24,96.80,1214,886
2023-07-21,98.00,1103,1044
2023-07-20,97.80,794,880
2023-07-19,96.70,1186,756
2023-07-18,96.30,1198,777
2023-07-17,97.30,1110,1192
2023-07-14,97.90,1942,1838
2023-07-13,94.90,1346,1009
2023-12-07,93.90,952,648
2023-11-07,94.20,1472,804
2023-10-07,94.20,1536,866
2023-07-07,93.80,836,576
2023-06-07,94.30,1008,705
2023-05-07,94.30,896,696
2023-04-07,94.10,985,585
2023-03-07,94.40,1224,741
2023-06-30,94.30,959,657
2023-06-29,94.10,1463,638
2023-06-28,94.90,1117,700
2023-06-27,95.20,1138,760
2023-06-26,94.80,1163,1110
2023-06-23,94.70,1303,612
2023-06-22,94.20,1190,663
2023-06-21,94.00,1574,903
2023-06-20,95.10,1233,732
2023-06-19,95.60,999,910
2023-06-16,95.50,895,726
2023-06-15,97.10,1339,937
2023-06-14,97.10,1093,922
2023-06-13,96.50,1213,782
2023-12-06,96.40,1201,617
2023-09-06,96.00,1010,547
2023-08-06,97.20,860,700
2023-07-06,96.60,971,541
2023-06-06,97.70,501,508
2023-05-06,96.80,887,649
2023-02-06,96.80,744,475
2023-01-06,97.50,574,470
2023-05-31,97.50,673,508
2023-05-30,98.50,572,523
2023-05-29,99.50,425,667
2023-05-26,98.10,380,465
2023-05-25,98.00,627,580
2023-05-24,98.40,457,509
2023-05-23,98.70,646,630
2023-05-22,99.20,797,783
2023-05-19,98.70,417,691
2023-05-18,99.40,724,737
2023-05-17,98.30,944,794
2023-05-16,97.50,421,490
2023-05-15,97.30,593,511
2023-12-05,97.20,664,479
2023-11-05,96.70,416,447
2023-10-05,96.80,486,501
2023-09-05,95.40,543,683
2023-08-05,96.30,383,369
2023-05-05,96.00,338,397
2023-04-05,95.50,737,565
2023-04-28,97.00,538,388
2023-04-27,95.10,596,848
2023-04-26,95.20,868,527
2023-04-25,95.90,876,674
2023-04-24,97.40,763,382
2023-04-21,97.50,754,453
2023-04-20,99.50,550,390
2023-04-19,100.10,560,488
2023-04-18,99.00,504,436
2023-04-17,99.60,601,413
2023-04-14,98.50,734,430
2023-04-13,99.30,664,331
2023-12-04,99.70,1252,570
2023-11-04,102.30,622,392
2023-10-04,102.30,795,514
2023-07-04,103.00,497,395
2023-06-04,102.20,593,389
2023-05-04,102.90,809,404
2023-04-04,102.00,807,399
2023-03-04,102.60,971,512
2023-03-31,105.10,521,524
2023-03-30,106.30,584,533
2023-03-29,106.20,633,505
2023-03-28,106.40,536,681
2023-03-27,106.50,616,524
2023-03-24,106.20,580,598
2023-03-23,105.70,752,721
2023-03-22,104.80,862,705
2023-03-21,103.80,836,714
2023-03-20,105.60,482,632
2023-03-17,108.90,737,846
2023-03-16,102.00,752,744
2023-03-15,104.90,487,754
2023-03-14,101.70,1005,838
2023-03-13,100.70,1209,794
2023-10-03,100.60,904,587
2023-09-03,101.80,1101,930
2023-08-03,98.30,573,454
2023-07-03,97.10,859,688
2023-06-03,96.30,768,653
2023-03-03,101.20,683,498
2023-02-03,101.60,634,610
2023-01-03,101.50,497,562
2023-02-28,100.00,766,537
2023-02-27,98.50,769,549
2023-02-24,96.20,1197,682
2023-02-23,98.20,1122,672
2023-02-22,100.80,921,461
2023-02-21,102.50,626,457
2023-02-20,102.60,627,439
2023-02-17,102.60,788,393
2023-02-16,102.80,497,324
2023-02-15,102.70,444,423
2023-02-14,102.80,432,409
2023-02-13,103.10,432,479
2023-10-02,102.00,721,471
2023-09-02,101.90,717,586
2023-08-02,108.00,365,312
2023-07-02,109.40,421,362
2023-06-02,109.50,687,463
2023-03-02,109.10,591,473
2023-02-02,112.00,649,636
2023-01-02,113.90,1343,811
2023-01-31,116.30,755,481
2023-01-30,113.00,584,629
2023-01-27,116.20,763,577
2023-01-19,114.50,1083,1010
2023-01-18,112.30,638,553
2023-01-17,110.60,628,593
2023-01-16,107.30,498,580
2023-01-13,107.70,566,404
2023-12-01,109.80,458,475
2023-11-01,110.10,608,611
2023-10-01,109.10,672,537
2023-09-01,109.20,741,554
2023-06-01,107.80,939,570
2023-05-01,110.00,625,460
2023-04-01,110.40,634,381
2023-03-01,111.70,721,628
2022-12-30,109.50,485,646
2022-12-29,109.20,704,649
2022-12-28,110.50,789,599
2022-12-27,108.00,509,602
2022-12-26,108.90,555,526
2022-12-23,111.50,717,543
2022-12-22,111.30,428,469
2022-12-21,111.60,420,581
2022-12-20,111.30,692,684
2022-12-19,111.20,828,677
2022-12-16,113.00,684,730
2022-12-15,112.90,753,611
2022-12-14,112.20,839,825
2022-12-13,112.00,1336,710
2022-12-12,111.40,793,791
2022-09-12,111.50,1053,836
2022-08-12,107.00,803,721
2022-07-12,106.00,601,478
2022-06-12,106.00,737,737
2022-05-12,106.90,1292,787
2022-02-12,106.50,1327,783
2022-01-12,103.20,1684,1100
2022-11-30,103.00,917,594
2022-11-29,102.80,1255,723
2022-11-28,102.20,533,522
2022-11-25,102.00,306,587
2022-11-24,101.20,378,611
2022-11-23,100.40,605,519
2022-11-22,98.10,704,572
2022-11-21,100.60,566,325
2022-11-18,102.20,387,424
2022-11-17,102.10,741,552
2022-11-16,101.90,738,524
2022-11-15,101.80,532,545
2022-11-14,101.90,580,608
2022-11-11,101.30,474,435
2022-10-11,100.00,942,583
2022-09-11,100.60,696,512
2022-08-11,100.40,476,519
2022-07-11,100.20,677,550
2022-04-11,100.10,803,856
2022-03-11,102.70,757,454
2022-02-11,105.00,865,602
2022-01-11,106.30,478,390
2022-10-31,107.60,296,390
2022-10-28,107.80,509,462
2022-10-27,108.00,385,384
2022-10-26,107.50,338,380
2022-10-25,108.00,304,429
2022-10-24,107.00,250,387
2022-10-21,108.90,453,487
2022-10-20,108.90,388,406
2022-10-19,109.10,288,424
2022-10-18,109.10,603,576
2022-10-17,109.00,418,574
2022-10-14,109.00,500,440
2022-10-13,108.70,631,759
2022-12-10,108.70,537,635
2022-11-10,107.00,710,1019
2022-10-10,110.00,716,684
2022-07-10,115.00,483,880
2022-06-10,114.20,439,574
2022-05-10,115.00,743,954
2022-04-10,112.90,743,636
2022-03-10,110.00,361,459
2022-09-30,110.90,923,840
2022-09-29,110.10,495,379
2022-09-28,110.10,372,564
2022-09-27,110.50,581,395
2022-09-26,110.10,960,634
2022-09-23,112.80,605,532
2022-09-22,115.00,771,595
2022-09-21,115.00,631,495
2022-09-20,116.10,510,404
2022-09-19,115.00,764,656
2022-09-16,115.70,643,516
2022-09-15,116.00,834,539
2022-09-14,116.20,855,735
2022-09-13,117.40,721,714
2022-12-09,117.50,610,563
2022-09-09,118.00,931,846
2022-08-09,115.00,1127,635
2022-07-09,113.90,1719,1232
2022-06-09,119.70,1178,926
2022-05-09,120.00,1261,686
2022-08-31,121.60,931,566
2022-08-30,122.40,827,606
2022-08-29,122.00,927,648
2022-08-26,123.00,1175,831
2022-08-25,123.40,837,746
