date,VND,demand,supply
2024-03-28,67.70,5951,5360
2024-03-27,67.70,6077,3208
2024-03-26,67.70,6211,3743
2024-03-25,67.30,9826,4541
2024-03-22,67.80,11090,5409
2024-03-21,68.40,6880,5579
2024-03-20,68.00,8330,3504
2024-03-19,67.80,6414,3445
2024-03-18,67.90,12612,4474
2024-03-15,68.80,10023,3385
2024-03-14,70.50,6951,4386
2024-03-13,70.80,5168,3879
2024-12-03,70.00,6092,2307
2024-11-03,70.30,7003,3088
2024-08-03,70.00,9117,4266
2024-07-03,72.00,6031,3057
2024-06-03,71.80,5222,4136
2024-05-03,73.00,4462,4226
2024-04-03,72.00,4105,4025
2024-01-03,71.50,6782,4476
2024-02-29,72.00,4838,6750
2024-02-28,72.20,3026,3811
2024-02-27,72.00,3545,5009
2024-02-26,71.00,3631,2835
2024-02-23,71.00,5116,5719
2024-02-22,71.60,3688,5524
2024-02-21,71.30,4009,4122
2024-02-20,71.50,4712,6022
2024-02-19,71.90,6538,7595
2024-02-16,70.00,8337,9480
2024-02-15,67.60,4246,2758
2024-07-02,67.60,5042,2547
2024-06-02,67.60,3403,2648
2024-05-02,68.00,3085,4215
2024-02-02,67.40,4438,2117
2024-01-02,67.50,2462,3427
2024-01-31,67.00,4252,3617
2024-01-30,66.90,3577,3171
2024-01-29,67.00,3587,2264
2024-01-26,67.00,3329,1668
2024-01-25,66.90,5843,1849
2024-01-24,67.30,3555,2522
2024-01-23,67.70,3490,2240
2024-01-22,68.30,2089,3663
2024-01-19,68.00,3354,4135
2024-01-18,67.40,2554,1870
2024-01-17,67.10,3730,2567
2024-01-16,67.40,5371,3158
2024-01-15,67.00,4259,3124
2024-12-01,67.20,6263,2894
2024-11-01,67.90,3914,2075
2024-10-01,67.50,5305,2443
2024-09-01,68.10,3328,2674
2024-08-01,68.20,3607,2797
2024-05-01,68.80,2759,2828
2024-04-01,69.00,2578,4445
2024-03-01,69.00,2400,2592
2024-02-01,68.30,2792,3098
2023-12-29,67.60,3270,2958
2023-12-28,68.50,3945,3614
2023-12-27,67.50,2749,2564
2023-12-26,68.00,5285,2725
2023-12-25,67.90,3077,2972
2023-12-22,67.60,9674,2934
2023-12-21,67.80,6651,3421
2023-12-20,68.10,6801,3421
2023-12-19,67.00,6140,3743
2023-12-18,67.00,6349,3281
2023-12-15,68.10,3213,3209
2023-12-14,68.40,3167,2386
2023-12-13,68.20,6540,3657
2023-12-12,69.40,4421,3258
2023-11-12,70.00,3270,6269
2023-08-12,69.00,4084,4628
2023-07-12,68.40,6829,5853
2023-06-12,68.50,3160,2523
2023-05-12,68.10,4567,2831
2023-04-12,68.80,3110,3942
2023-01-12,68.40,2757,1855
2023-11-30,67.40,3260,2011
2023-11-29,68.40,2856,2041
2023-11-28,68.50,4019,1963
2023-11-27,68.10,3039,1354
2023-11-24,68.30,5046,2248
2023-11-23,68.70,2860,2159
2023-11-22,69.40,2906,2049
2023-11-21,69.50,4436,2786
2023-11-20,69.30,3919,2062
2023-11-17,70.00,3647,2702
2023-11-16,70.30,3624,2614
2023-11-15,70.70,3733,4747
2023-11-14,68.90,6087,2358
2023-11-13,68.70,3504,1607
2023-10-11,69.60,3763,1983
2023-09-11,70.70,4170,4254
2023-08-11,71.40,2608,2263
2023-07-11,70.80,2238,1427
2023-06-11,71.00,2132,3295
2023-03-11,70.00,2676,2523
2023-02-11,70.90,2625,2773
2023-01-11,70.40,2713,2596
2023-10-31,68.00,2568,2860
2023-10-30,67.60,1955,1646
2023-10-27,68.00,3440,3036
2023-10-26,67.00,7498,3064
2023-10-25,69.00,3372,2639
2023-10-24,70.30,2379,1419
2023-10-23,70.20,4147,1910
2023-10-20,72.30,4049,1832
2023-10-19,71.40,4986,2793
2023-10-18,73.90,3106,2940
2023-10-17,74.80,1559,2200
2023-10-16,75.20,1885,1355
2023-10-13,75.80,1217,2409
2023-12-10,75.50,1474,2867
2023-11-10,74.40,1738,1413
2023-10-10,74.40,1567,2175
2023-09-10,73.70,1898,1230
2023-06-10,74.20,2344,1619
2023-05-10,72.70,3639,1759
2023-04-10,74.40,4134,1263
2023-03-10,74.00,3095,1452
2023-02-10,75.60,2361,1511
2023-09-29,74.20,2008,1513
2023-09-28,74.80,3632,1999
2023-09-27,76.60,2884,2479
2023-09-26,76.10,3190,3817
2023-09-25,77.60,2845,3258
2023-09-22,77.50,5270,2370
2023-09-21,78.00,4044,1965
2023-09-20,78.30,2790,1513
2023-09-19,78.90,3334,1911
2023-09-18,78.90,1819,1884
2023-09-15,79.50,3468,5258
2023-09-14,79.40,2906,2218
2023-09-13,79.10,3547,4185
2023-12-09,80.30,2611,5496
2023-11-09,79.50,4243,3584
2023-08-09,80.00,2163,2939
2023-07-09,79.50,3870,3377
2023-06-09,80.00,2695,3342
2023-05-09,80.10,3802,7101
2023-08-31,77.80,3358,4573
2023-08-30,77.80,2983,3281
2023-08-29,77.40,4890,3586
2023-08-28,77.90,5415,7993
2023-08-25,74.90,4238,4647
2023-08-24,74.70,4072,5276
2023-08-23,73.50,4638,3792
2023-08-22,72.70,4805,2834
2023-08-21,72.90,4097,3561
2023-08-18,73.30,4528,7258
2023-08-17,73.60,3569,5601
2023-08-16,73.10,3131,2742
2023-08-15,72.80,3535,2813
2023-08-14,73.40,2891,3548
2023-11-08,73.50,3212,2479
2023-10-08,73.10,2393,3738
2023-09-08,73.10,3575,2991
2023-08-08,74.50,2599,3325
2023-07-08,74.90,3741,3475
2023-04-08,73.00,4843,1886
2023-03-08,72.60,4600,1919
2023-02-08,76.10,3908,3153
2023-01-08,76.00,4513,4139
2023-07-31,78.00,2897,3558
2023-07-28,77.40,3021,5176
2023-07-27,75.70,3347,4324
2023-07-26,75.00,2393,4224
2023-07-25,74.50,3630,4878
2023-07-24,73.60,2760,3197
2023-07-21,73.50,2856,4224
2023-07-20,72.60,2515,2634
2023-07-19,72.60,3058,2987
2023-07-18,72.40,3260,3287
2023-07-17,72.30,5252,3405
2023-07-14,73.30,5183,3921
2023-07-13,73.10,3763,4377
2023-12-07,73.50,3623,5039
2023-11-07,72.80,4479,6818
2023-10-07,72.10,4072,7740
2023-07-07,70.90,3445,5749
2023-06-07,70.50,5407,5609
2023-05-07,69.80,6842,4693
2023-04-07,70.60,4631,2422
2023-03-07,70.70,4893,6000
2023-06-30,71.00,3661,4454
2023-06-29,71.90,4174,8906
2023-06-28,70.60,4552,5294
2023-06-27,70.50,4778,5257
2023-06-26,70.60,6298,11082
2023-06-23,69.10,6338,13572
2023-06-22,66.90,4617,6196
2023-06-21,66.30,5515,3948
2023-06-20,65.50,6021,2784
2023-06-19,65.80,5960,3146
2023-06-16,66.10,7458,3169
2023-06-15,66.30,8007,4620
2023-06-14,67.10,6230,4404
2023-06-13,67.60,6484,5514
2023-12-06,67.90,5986,6689
2023-09-06,65.80,4454,2757
2023-08-06,65.50,9038,3772
2023-07-06,66.20,5973,3343
2023-06-06,66.40,5615,3642
2023-05-06,66.50,4783,3574
2023-02-06,65.90,6724,2592
2023-01-06,66.10,3533,1920
2023-05-31,66.10,3824,1840
2023-05-30,66.50,4012,2233
2023-05-29,67.10,2402,2036
2023-05-26,67.10,2529,2350
2023-05-25,67.10,3865,2290
2023-05-24,66.30,5997,2471
2023-05-23,67.00,5817,3223
2023-05-22,68.20,3200,1788
2023-05-19,68.60,3053,1561
2023-05-18,69.20,3660,2539
2023-05-17,69.00,3637,1632
2023-05-16,69.70,2651,1270
2023-05-15,69.00,4593,3917
2023-12-05,69.60,3374,2131
2023-11-05,70.00,2175,1262
2023-10-05,70.50,1716,1633
2023-09-05,70.70,2214,2081
2023-08-05,70.40,2508,2538
2023-05-05,68.80,2665,1284
2023-04-05,68.60,4821,1773
2023-04-28,70.00,2243,1846
2023-04-27,69.50,3991,2755
2023-04-26,71.00,2595,1796
2023-04-25,69.90,3066,2152
2023-04-24,70.50,2438,1794
2023-04-21,70.90,3347,1603
2023-04-20,71.90,2178,1270
2023-04-19,72.00,2165,1606
2023-04-18,73.00,2220,1428
2023-04-17,71.70,3622,1398
2023-04-14,72.80,3153,2059
2023-04-13,73.50,2926,1637
2023-12-04,74.30,2441,1354
2023-11-04,74.40,1482,1889
2023-10-04,74.40,1228,1419
2023-07-04,74.70,1340,1575
2023-06-04,74.30,2102,1765
2023-05-04,74.50,2209,1908
2023-04-04,74.20,2783,3314
2023-03-04,74.40,2158,3940
2023-03-31,74.40,2003,3762
2023-03-30,75.00,1636,2384
2023-03-29,74.90,1548,2667
2023-03-28,74.40,2487,2244
2023-03-27,74.60,2450,1806
