date,VND,demand,supply
2024-03-28,25.65,9873,8214
2024-03-27,25.95,5525,3504
2024-03-26,26.40,6493,2786
2024-03-25,26.05,6699,3442
2024-03-22,26.70,6065,4795
2024-03-21,26.95,5030,5249
2024-03-20,26.35,6924,4540
2024-03-19,26.75,8109,9466
2024-03-18,27.55,9996,15230
2024-03-15,25.75,7902,3618
2024-03-14,25.90,5315,7021
2024-03-13,25.90,4660,3538
2024-12-03,25.20,6322,5650
2024-11-03,24.50,7479,4120
2024-08-03,25.40,8547,3719
2024-07-03,26.00,6417,3281
2024-06-03,25.85,8973,4069
2024-05-03,26.70,7928,4075
2024-04-03,27.00,8726,5555
2024-01-03,26.65,9968,4089
2024-02-29,26.50,11863,6885
2024-02-28,27.80,5287,9424
2024-02-27,26.40,3838,6567
2024-02-26,26.00,4692,7122
2024-02-23,25.45,7037,7730
2024-02-22,26.40,5153,8171
2024-02-21,26.00,8196,9727
2024-02-20,25.50,12162,11371
2024-02-19,24.05,7837,10833
2024-02-16,22.50,5029,5528
2024-02-15,22.00,5864,3127
2024-07-02,21.90,5905,2122
2024-06-02,21.70,6680,2323
2024-05-02,21.80,10098,3083
2024-02-02,22.30,5511,2046
2024-01-02,22.65,5481,2085
2024-01-31,22.45,11765,4022
2024-01-30,23.40,5824,3496
2024-01-29,23.30,3694,1597
2024-01-26,23.75,2521,2087
2024-01-25,23.80,1420,1631
2024-01-24,23.95,2959,3306
2024-01-23,23.75,2799,2392
2024-01-22,23.90,1917,3223
2024-01-19,23.85,2629,4950
2024-01-18,23.55,2386,3956
2024-01-17,23.30,2330,3322
2024-01-16,23.10,2838,1644
2024-01-15,22.95,1853,1588
2024-12-01,23.10,4049,2277
2024-11-01,23.45,2009,2688
2024-10-01,23.30,2665,1849
2024-09-01,23.35,2948,2410
2024-08-01,23.70,3888,4237
2024-05-01,23.35,2937,1761
2024-04-01,23.40,3022,3241
2024-03-01,23.25,2583,1614
2024-02-01,23.10,3157,2364
2023-12-29,23.30,2448,2142
2023-12-28,23.50,3015,3939
2023-12-27,23.25,1755,2080
2023-12-26,23.30,2111,2194
2023-12-25,23.40,1805,2607
2023-12-22,22.95,2519,1732
2023-12-21,22.95,1953,1617
2023-12-20,23.00,2194,2043
2023-12-19,22.70,2447,1370
2023-12-18,22.60,3093,1379
2023-12-15,22.55,3050,1359
2023-12-14,22.85,3460,1708
2023-12-13,23.00,3388,2382
2023-12-12,23.65,2622,2373
2023-11-12,23.65,3092,3796
2023-08-12,23.35,3376,3968
2023-07-12,22.80,3757,3075
2023-06-12,22.90,4334,2232
2023-05-12,22.85,2881,2123
2023-04-12,23.00,3652,3185
2023-01-12,22.80,3291,2074
2023-11-30,22.10,2217,1970
2023-11-29,23.20,2737,3252
2023-11-28,22.80,2604,2009
2023-11-27,22.60,2066,2507
2023-11-24,22.60,4476,1785
2023-11-23,22.60,3934,2572
2023-11-22,22.80,3645,2199
2023-11-21,22.60,4074,2562
2023-11-20,22.55,4556,1650
2023-11-17,22.80,7338,3219
2023-11-16,23.85,4087,2040
2023-11-15,24.10,2771,3474
2023-11-14,24.00,2577,2550
2023-11-13,23.50,3356,2346
2023-10-11,23.95,4074,2590
2023-09-11,24.30,3633,3787
2023-08-11,23.70,4518,2227
