date,price
2024-03-15,27.35
2024-03-14,27.25
2024-03-13,27.65
2024-03-12,26.75
2024-03-11,26.75
2024-03-08,27.05
2024-03-07,27.5
2024-03-06,27.6
2024-03-05,27.95
2024-03-04,27.8
2024-03-01,27.8
2024-02-29,28.0
2024-02-28,28.0
2024-02-27,27.6
2024-02-26,27.5
2024-02-23,27.3
2024-02-22,27.65
2024-02-21,27.7
2024-02-20,27.55
2024-02-19,27.7
2024-02-16,27.6
2024-02-15,27.2
2024-02-07,28.0
2024-02-06,27.85
2024-02-05,27.8
2024-02-02,26.25
2024-02-01,26.0
2024-01-31,25.75
2024-01-30,25.95
2024-01-29,25.95
2024-01-26,26.3
2024-01-25,25.8
2024-01-24,25.8
2024-01-23,26.05
2024-01-22,26.3
2024-01-19,25.95
2024-01-18,25.6
2024-01-17,25.4
2024-01-16,25.4
2024-01-15,25.3
2024-01-12,25.8
2024-01-11,25.25
2024-01-10,25.25
2024-01-09,25.0
2024-01-08,25.35
2024-01-05,25.45
2024-01-04,25.3
2024-01-03,25.0
2024-01-02,24.45
2023-12-29,23.9
2023-12-28,23.75
2023-12-27,23.3
2023-12-26,23.25
2023-12-25,23.35
2023-12-22,23.2
2023-12-21,23.25
2023-12-20,23.2
2023-12-19,23.05
2023-12-18,22.8
2023-12-15,22.75
2023-12-14,22.5
2023-12-13,22.3
2023-12-12,22.5
2023-12-11,22.4
2023-12-08,22.4
2023-12-07,22.4
2023-12-06,22.3
2023-12-05,22.15
2023-12-04,22.3
2023-12-01,21.95
2023-11-30,21.95
2023-11-29,22.05
2023-11-28,21.9
2023-11-27,21.85
2023-11-24,22.05
2023-11-23,22.2
2023-11-22,22.7
2023-11-21,22.6
2023-11-20,22.5
2023-11-17,22.7
2023-11-16,23.3
2023-11-15,23.25
2023-11-14,22.7
2023-11-13,22.45
2023-11-10,22.4
2023-11-09,22.55
2023-11-08,22.8
2023-11-07,22.1
2023-11-06,22.2
2023-11-03,22.05
2023-11-02,22.3
2023-11-01,21.6
2023-10-31,21.4
2023-10-30,21.3
2023-10-27,21.55
2023-10-26,21.1
2023-10-25,21.9
2023-10-24,21.9
2023-10-23,21.8
2023-10-20,21.9
2023-10-19,21.8
2023-10-18,22.05
2023-10-17,22.45
2023-10-16,22.6
2023-10-13,22.65
2023-10-12,22.7
2023-10-11,22.7
2023-10-10,22.8
2023-10-09,22.5
2023-10-06,21.8
2023-10-05,21.6
2023-10-04,21.6
2023-10-03,21.6
2023-10-02,21.9
2023-09-29,21.85
2023-09-28,21.75
2023-09-27,22.0
2023-09-26,21.9
2023-09-25,22.0
2023-09-22,22.3
2023-09-21,22.4
2023-09-20,22.45
2023-09-19,22.3
2023-09-18,22.45
2023-09-15,22.65
2023-09-14,22.45
2023-09-13,22.55
2023-09-12,22.75
2023-09-11,22.35
2023-09-08,22.75
2023-09-07,22.9
2023-09-06,22.95
2023-09-05,22.75
2023-08-31,22.6
2023-08-30,22.45
2023-08-29,22.05
2023-08-28,22.05
2023-08-25,21.95
2023-08-24,22.05
2023-08-23,21.85
2023-08-22,22.05
