date,price
2024-03-15,52.2
2024-03-14,51.7
2024-03-13,52.6
2024-03-12,52.0
2024-03-11,50.5
2024-03-08,51.1
2024-03-07,53.3
2024-03-06,54.4
2024-03-05,54.4
2024-03-04,53.5
2024-03-01,53.5
2024-02-29,53.0
2024-02-28,53.9
2024-02-27,53.0
2024-02-26,53.6
2024-02-23,52.0
2024-02-22,49.75
2024-02-21,49.75
2024-02-20,49.4
2024-02-19,49.3
2024-02-16,48.55
2024-02-15,48.95
2024-02-07,48.95
2024-02-06,48.8
2024-02-05,48.65
2024-02-02,46.9
2024-02-01,47.25
2024-01-31,47.7
2024-01-30,48.45
2024-01-29,48.7
2024-01-26,48.95
2024-01-25,48.4
2024-01-24,48.9
2024-01-23,49.4
2024-01-22,49.8
2024-01-19,49.85
2024-01-18,47.5
2024-01-17,46.85
2024-01-16,46.9
2024-01-15,46.6
2024-01-12,46.0
2024-01-11,46.5
2024-01-10,47.4
2024-01-09,46.05
2024-01-08,46.4
2024-01-05,44.5
2024-01-04,43.65
2024-01-03,43.8
2024-01-02,43.0
2023-12-29,43.4
2023-12-28,42.7
2023-12-27,43.0
2023-12-26,43.0
2023-12-25,43.2
2023-12-22,42.45
2023-12-21,41.8
2023-12-20,41.3
2023-12-19,41.2
2023-12-18,41.0
2023-12-15,41.5
2023-12-14,41.6
2023-12-13,41.6
2023-12-12,41.9
2023-12-11,41.4
2023-12-08,41.9
2023-12-07,40.6
2023-12-06,40.0
2023-12-05,39.65
2023-12-04,39.8
2023-12-01,39.4
2023-11-30,38.85
2023-11-29,39.3
2023-11-28,38.85
2023-11-27,43.0
2023-11-24,43.65
2023-11-23,43.0
2023-11-22,43.6
2023-11-21,43.95
2023-11-20,43.15
2023-11-17,42.9
2023-11-16,43.75
2023-11-15,44.15
2023-11-14,43.0
2023-11-13,42.1
2023-11-10,42.2
2023-11-09,42.85
2023-11-08,42.9
2023-11-07,41.8
2023-11-06,41.8
2023-11-03,41.5
2023-11-02,41.65
2023-11-01,40.0
2023-10-31,40.2
2023-10-30,41.0
2023-10-27,42.0
2023-10-26,40.55
2023-10-25,40.75
2023-10-24,41.3
2023-10-23,40.3
2023-10-20,40.5
2023-10-19,40.2
2023-10-18,40.0
2023-10-17,41.3
2023-10-16,41.65
2023-10-13,42.5
2023-10-12,42.15
2023-10-11,42.0
2023-10-10,42.05
2023-10-09,41.95
2023-10-06,42.2
2023-10-05,41.6
2023-10-04,42.5
2023-10-03,41.55
2023-10-02,43.95
2023-09-29,44.35
2023-09-28,44.35
2023-09-27,44.4
2023-09-26,44.35
2023-09-25,45.1
2023-09-22,46.05
2023-09-21,45.2
2023-09-20,45.7
2023-09-19,45.2
2023-09-18,45.75
2023-09-15,46.8
2023-09-14,46.75
2023-09-13,47.0
2023-09-12,47.0
2023-09-11,46.5
2023-09-08,47.0
2023-09-07,47.35
2023-09-06,47.3
2023-09-05,47.5
2023-08-31,46.95
2023-08-30,46.2
2023-08-29,45.8
2023-08-28,45.4
2023-08-25,45.2
2023-08-24,45.8
2023-08-23,45.7
2023-08-22,45.8
2023-08-21,45.6
2023-08-18,44.2
