date,price
2024-03-15,23.8
2024-03-14,23.45
2024-03-13,23.85
2024-03-12,23.1
2024-03-11,22.95
2024-03-08,23.6
2024-03-07,24.4
2024-03-06,24.6
2024-03-05,24.6
2024-03-04,24.2
2024-03-01,24.0
2024-02-29,24.15
2024-02-28,24.4
2024-02-27,24.25
2024-02-26,24.0
2024-02-23,23.9
2024-02-22,23.95
2024-02-21,24.0
2024-02-20,23.85
2024-02-19,23.95
2024-02-16,24.0
2024-02-15,24.15
2024-02-07,23.5
2024-02-06,23.05
2024-02-05,22.95
2024-02-02,21.75
2024-02-01,21.9
2024-01-31,21.75
2024-01-30,22.1
2024-01-29,22.15
2024-01-26,22.0
2024-01-25,21.9
2024-01-24,21.9
2024-01-23,21.95
2024-01-22,22.1
2024-01-19,22.05
2024-01-18,21.7
2024-01-17,21.5
2024-01-16,21.5
2024-01-15,21.45
2024-01-12,21.35
2024-01-11,20.65
2024-01-10,20.9
2024-01-09,20.85
2024-01-08,20.7
2024-01-05,20.5
2024-01-04,20.1
2024-01-03,19.15
2024-01-02,18.85
2023-12-29,18.65
2023-12-28,18.55
2023-12-27,18.4
2023-12-26,18.45
2023-12-25,18.4
2023-12-22,18.3
2023-12-21,18.15
2023-12-20,18.15
2023-12-19,18.15
2023-12-18,18.0
2023-12-15,18.05
2023-12-14,18.05
2023-12-13,18.05
2023-12-12,18.25
2023-12-11,18.15
2023-12-08,18.2
2023-12-07,18.25
2023-12-06,18.1
2023-12-05,18.05
2023-12-04,18.05
2023-12-01,17.8
2023-11-30,17.8
2023-11-29,17.85
2023-11-28,17.85
2023-11-27,17.6
2023-11-24,17.85
2023-11-23,17.9
2023-11-22,18.05
2023-11-21,18.1
2023-11-20,18.0
2023-11-17,18.2
2023-11-16,18.5
2023-11-15,18.55
2023-11-14,18.45
2023-11-13,18.1
2023-11-10,18.0
2023-11-09,18.35
2023-11-08,18.35
2023-11-07,17.8
2023-11-06,17.95
2023-11-03,17.4
2023-11-02,17.7
2023-11-01,17.2
2023-10-31,17.1
2023-10-30,17.0
2023-10-27,17.45
2023-10-26,17.2
2023-10-25,17.8
2023-10-24,17.9
2023-10-23,17.8
2023-10-20,17.95
2023-10-19,17.65
2023-10-18,17.75
2023-10-17,18.1
2023-10-16,18.2
2023-10-13,18.45
2023-10-12,18.35
2023-10-11,18.5
2023-10-10,18.45
2023-10-09,18.3
2023-10-06,18.15
2023-10-05,18.05
2023-10-04,18.15
2023-10-03,18.05
2023-10-02,18.6
2023-09-29,18.5
2023-09-28,18.5
2023-09-27,18.5
2023-09-26,18.25
2023-09-25,18.1
2023-09-22,18.7
2023-09-21,18.95
2023-09-20,19.2
2023-09-19,19.0
2023-09-18,19.15
2023-09-15,19.4
2023-09-14,19.15
2023-09-13,19.05
2023-09-12,19.25
2023-09-11,18.75
2023-09-08,19.1
2023-09-07,19.3
2023-09-06,19.25
2023-09-05,19.15
2023-08-31,18.5
2023-08-30,18.4
2023-08-29,18.25
2023-08-28,18.2
2023-08-25,18.1
2023-08-24,18.25
2023-08-23,18.0
2023-08-22,18.2
2023-08-21,18.15
2023-08-18,18.1
2023-08-17,18.85
2023-08-16,19.0
2023-08-15,18.95
2023-08-14,18.95
2023-08-11,18.9
2023-08-10,18.9
2023-08-09,19.15
2023-08-08,19.2
2023-08-07,19.35
2023-08-04,19.0
2023-08-03,18.85
2023-08-02,18.9
2023-08-01,18.85
2023-07-31,18.85
2023-07-28,18.7
2023-07-27,18.6
2023-07-26,18.75
2023-07-25,18.8
2023-07-24,18.75
2023-07-21,18.65
2023-07-20,18.45
2023-07-19,18.4
2023-07-18,18.6
2023-07-17,18.6
2023-07-14,18.65
2023-07-13,21.1
2023-07-12,21.0
2023-07-11,21.2
2023-07-10,20.75
2023-07-07,20.45
2023-07-06,20.2
2023-07-05,20.4
2023-07-04,20.35
2023-07-03,20.2
2023-06-30,20.2
2023-06-29,20.3
2023-06-28,20.7
2023-06-27,20.1
2023-06-26,20.2
2023-06-23,20.2
2023-06-22,19.9
2023-06-21,19.85
2023-06-20,19.65
2023-06-19,19.55
2023-06-16,19.7
2023-06-15,19.7
2023-06-14,19.75
2023-06-13,20.3
2023-06-12,20.35
2023-06-09,20.25
2023-06-08,20.0
2023-06-07,20.35
2023-06-06,20.45
2023-06-05,19.8
2023-06-02,19.7
2023-06-01,18.8
2023-05-31,18.6
2023-05-30,18.75
2023-05-29,18.75
2023-05-26,18.45
2023-05-25,18.45
2023-05-24,18.6
2023-05-23,18.75
2023-05-22,18.85
2023-05-19,18.65
2023-05-18,18.6
2023-05-17,18.45
2023-05-16,18.8
2023-05-15,18.85
2023-05-12,18.65
2023-05-11,18.5
2023-05-10,18.5
2023-05-09,18.3
2023-05-08,18.25
2023-05-05,18.1
2023-05-04,18.2
2023-04-28,18.45
2023-04-27,18.4
2023-04-26,18.35
2023-04-25,18.25
2023-04-24,18.25
2023-04-21,18.05
2023-04-20,18.15
2023-04-19,18.1
2023-04-18,18.15
2023-04-17,18.25
2023-04-14,18.3
2023-03-30,18.25
2023-03-29,18.3
2023-03-28,18.0
2023-03-27,17.95
2023-03-24,17.75
2023-03-23,17.4
2023-03-22,17.4
2023-03-21,17.35
2023-03-20,17.3
2023-03-17,17.45
2023-03-16,17.45
2023-03-15,17.8
2023-03-14,17.2
2023-03-13,17.5
2023-03-10,17.75
2023-03-09,17.8
2023-03-08,17.6
2023-03-07,17.4
2023-03-06,17.3
2023-03-03,17.15
2023-03-02,17.4
2023-03-01,17.65
2023-02-28,17.25
2023-02-27,17.25
2023-02-24,17.7
2023-02-23,18.15
2023-02-22,18.25
2023-02-21,18.6
2023-02-20,18.9
2023-02-17,18.1
2023-02-16,18.25
2023-02-15,18.0
2023-02-14,17.85
2023-02-13,18.0
2023-02-10,18.3
2023-02-09,18.45
2023-02-08,18.4
2023-02-07,18.35
2023-02-06,18.7
2023-02-03,18.6
2023-02-02,18.95
2023-02-01,18.9
2023-01-31,19.55
2023-01-30,19.25
2023-01-27,19.7
2023-01-19,19.6
2023-01-18,19.55
2023-01-17,19.4
2023-01-16,18.5
2023-01-13,18.25
2023-01-12,18.25
2023-01-11,18.25
2023-01-10,18.2
2023-01-09,18.25
2023-01-06,18.25
2023-01-05,18.2
2023-01-04,17.95
2023-01-03,18.0
2022-12-30,17.1
2022-12-29,17.4
2022-12-28,17.45
2022-12-27,17.25
2022-12-26,16.8
2022-12-23,17.75
2022-12-22,18.0
2022-12-21,17.7
2022-12-20,17.6
2022-12-19,18.35
2022-12-16,18.8
2022-12-15,18.95
2022-12-14,18.15
2022-12-13,18.0
2022-12-12,17.7
2022-12-09,18.2
2022-12-08,18.1
2022-12-07,17.3
2022-12-06,17.7
2022-12-05,19.0
2022-12-02,18.8
2022-12-01,17.8
2022-11-30,17.4
2022-11-29,17.2
2022-11-28,17.2
2022-11-25,16.2
2022-11-24,15.7
2022-11-23,15.7
2022-11-22,15.8
2022-11-21,15.7
2022-11-18,15.7
2022-11-17,15.7
2022-11-16,15.1
2022-11-15,14.15
2022-11-14,15.2
2022-11-11,16.0
2022-11-10,15.8
2022-11-09,16.95
2022-11-08,17.2
2022-11-07,16.95
2022-11-04,17.9
2022-11-03,17.65
2022-10-19,17.5
2022-10-18,17.55
2022-10-17,17.5
2022-10-14,17.8
2022-10-13,17.4
2022-10-12,17.15
2022-10-11,16.05
2022-10-10,17.25
2022-10-07,16.95
2022-10-06,18.1
2022-10-05,19.2
2022-10-04,18.8
2022-10-03,18.7
2022-09-30,20.0
2022-09-29,19.8
2022-09-28,19.95
2022-09-27,20.2
2022-09-26,20.1
2022-09-23,21.0
2022-09-22,21.25
2022-09-21,21.2
2022-09-20,21.35
2022-09-19,21.0
2022-09-16,21.8
2022-09-15,22.15
2022-09-14,22.4
2022-09-13,22.55
2022-09-12,22.6
2022-09-09,22.7
2022-09-08,22.8
2022-09-07,23.0
2022-09-06,23.65
2022-09-05,23.6
2022-08-31,23.75
2022-08-30,23.65
