date,price
2024-03-15,22.6
2024-03-14,22.6
2024-03-13,22.6
2024-03-12,22.55
2024-03-11,22.55
2024-03-08,22.7
2024-03-07,22.75
2024-03-06,22.75
2024-03-05,22.85
2024-03-04,22.85
2024-03-01,22.95
2024-02-29,22.9
2024-02-28,22.95
2024-02-27,22.9
2024-02-26,22.9
2024-02-23,23.0
2024-02-22,23.0
2024-02-21,22.95
2024-02-20,23.0
2024-02-19,23.05
2024-02-16,23.25
2024-02-15,23.25
2024-02-07,23.2
2024-02-06,23.0
2024-02-05,23.0
2024-02-02,22.75
2024-02-01,22.75
2024-01-31,22.9
2024-01-30,23.0
2024-01-29,23.0
2024-01-26,23.1
2024-01-25,23.1
2024-01-24,23.1
2024-01-23,23.1
2024-01-22,23.25
2024-01-19,23.1
2024-01-18,23.05
2024-01-17,23.05
2024-01-16,22.95
2024-01-15,23.3
2023-12-28,23.65
2023-12-27,22.65
2023-12-26,22.7
2023-12-25,22.65
2023-12-22,22.6
2023-12-21,22.6
2023-12-20,22.6
2023-12-19,22.6
2023-12-18,22.6
2023-12-15,22.6
2023-12-14,22.6
2023-12-13,22.6
2023-12-12,22.65
2023-12-11,22.65
2023-12-08,22.7
2023-12-07,22.7
2023-12-06,22.7
2023-12-05,22.7
2023-12-04,22.75
2023-12-01,22.7
2023-11-30,22.6
2023-11-29,23.05
2023-11-28,23.05
2023-11-27,23.05
2023-11-24,23.1
2023-11-23,23.0
2023-11-22,23.1
2023-11-21,23.15
2023-11-20,23.15
2023-11-17,23.15
2023-11-16,23.45
2023-11-15,23.5
2023-11-14,23.15
2023-11-13,23.0
2023-11-10,23.8
2023-11-09,24.5
2023-11-08,24.95
2023-11-07,24.4
2023-11-06,25.3
2023-11-03,24.3
2023-11-02,25.95
2023-11-01,25.9
2023-10-31,25.8
2023-10-30,25.35
2023-10-27,25.55
2023-10-26,25.5
2023-10-25,25.9
2023-10-24,25.8
2023-10-23,24.8
2023-10-20,24.45
2023-10-19,24.6
2023-10-18,24.7
2023-10-17,24.75
2023-10-16,24.8
2023-10-13,24.8
2023-10-12,24.75
2023-10-11,24.75
2023-10-10,24.6
2023-10-09,24.55
2023-10-06,24.5
2023-10-05,24.5
2023-10-04,24.45
2023-10-03,24.9
2023-10-02,25.0
2023-09-29,25.0
2023-09-28,25.0
2023-09-27,26.25
2023-09-26,26.2
2023-09-25,26.0
2023-09-22,25.5
2023-09-21,26.5
2023-09-20,26.5
2023-09-19,26.8
2023-09-18,26.8
2023-09-15,27.0
2023-09-14,26.3
2023-09-13,27.15
2023-09-12,27.35
2023-09-11,27.0
2023-09-08,27.5
2023-09-07,27.45
2023-09-06,27.8
2023-09-05,27.5
2023-08-31,28.1
2023-08-30,28.1
2023-08-29,28.35
2023-08-28,28.3
2023-08-25,28.2
2023-08-24,28.45
2023-08-23,28.2
2023-08-22,28.2
2023-08-21,26.6
2023-08-18,27.45
2023-08-17,29.4
2023-08-16,29.5
2023-08-15,29.5
2023-08-14,29.75
2023-08-11,30.4
2023-08-10,30.0
2023-08-09,30.0
2023-08-08,30.3
2023-08-07,30.25
2023-08-04,29.0
2023-08-03,30.25
2023-08-02,30.25
2023-08-01,29.95
2023-07-31,29.15
2023-07-28,29.7
2023-07-27,29.65
2023-07-26,29.6
2023-07-25,29.5
2023-07-24,29.4
2023-07-21,29.3
2023-07-20,29.3
2023-07-19,29.3
2023-07-18,29.3
2023-07-17,29.1
2023-07-14,29.0
2023-07-13,28.95
2023-07-12,28.7
2023-07-11,28.9
2023-07-10,28.75
2023-07-07,28.65
2023-07-06,28.6
2023-07-05,27.3
2023-07-04,27.1
2023-07-03,27.05
2023-06-30,27.05
2023-06-29,27.15
2023-06-28,27.3
2023-06-27,27.2
2023-06-26,27.15
2023-06-23,27.15
2023-06-22,31.9
2023-06-21,31.75
2023-06-20,31.5
2023-06-19,31.45
2023-06-16,31.45
2023-06-15,31.5
2023-06-14,31.5
2023-06-13,31.5
2023-06-12,31.55
2023-06-09,31.35
2023-06-08,31.4
2023-06-07,31.6
2023-06-06,31.55
2023-06-05,31.5
2023-06-02,31.3
2023-06-01,30.55
2023-05-31,30.35
2023-05-30,30.2
2023-05-29,30.2
2023-05-26,30.05
2023-05-25,29.9
2023-05-24,29.9
2023-05-23,30.0
2023-05-22,30.15
2023-05-19,29.95
2023-05-18,30.05
2023-05-17,30.05
2023-05-16,30.35
2023-05-15,30.8
2023-05-12,31.0
2023-05-11,31.2
2023-05-10,31.4
2023-05-09,31.55
2023-05-08,31.55
2023-05-05,31.45
2023-05-04,31.45
2023-04-28,31.95
2023-04-27,30.6
2023-04-26,30.4
2023-04-25,30.85
2023-04-24,31.1
2023-04-21,31.1
2023-04-20,31.2
2023-04-19,31.15
2023-04-18,31.25
2023-04-17,31.35
2023-04-14,31.3
2023-04-13,31.35
2023-04-12,31.35
2023-04-11,31.35
2023-04-10,31.3
2023-04-07,31.3
2023-04-06,31.35
2023-04-05,31.55
2023-04-04,31.5
2023-04-03,31.6
2023-03-31,31.45
2023-03-30,31.45
2023-03-29,31.4
2023-03-28,31.5
2023-03-27,31.7
2023-03-24,31.7
2023-03-23,32.15
2023-03-22,32.15
2023-03-21,32.15
2023-03-20,32.1
2023-03-17,32.25
2023-03-16,32.2
2023-03-15,32.55
2023-03-14,32.3
2023-03-13,32.4
2023-03-10,32.4
2023-03-09,32.6
2023-03-08,32.5
2023-03-07,32.4
2023-03-06,32.15
2023-03-03,31.95
2023-03-02,32.0
2023-03-01,32.05
2023-02-28,31.75
2023-02-27,31.5
2023-02-24,31.6
2023-02-23,31.8
2023-02-22,31.9
2023-02-21,32.25
2023-02-20,32.3
2023-02-17,31.95
2023-02-16,31.95
2023-02-15,31.85
2023-02-14,31.7
2023-02-13,31.75
2023-02-10,31.95
2023-02-09,32.0
2023-02-08,32.0
2023-02-07,31.95
2023-02-06,31.85
2023-02-03,31.8
2023-01-12,33.75
2023-01-11,33.8
2023-01-10,33.7
2023-01-09,33.75
2023-01-06,33.75
2023-01-05,33.65
2023-01-04,33.5
2023-01-03,33.3
2022-12-30,32.9
2022-12-29,32.45
2022-12-28,32.3
2022-12-27,32.0
2022-12-26,31.65
2022-12-23,31.75
2022-12-22,31.7
2022-12-21,31.4
2022-12-20,31.3
2022-12-19,31.3
2022-12-16,31.2
2022-12-15,31.1
2022-12-14,31.0
2022-12-13,31.0
2022-12-12,30.8
2022-12-09,30.75
2022-12-08,30.85
2022-12-07,30.6
2022-12-06,30.55
2022-12-05,30.7
2022-12-02,30.45
2022-12-01,30.3
2022-11-30,30.15
2022-11-29,30.1
2022-11-28,30.05
2022-11-25,29.8
2022-11-24,29.55
2022-11-23,29.65
2022-11-22,29.8
2022-11-21,29.8
2022-11-18,30.0
2022-11-17,30.2
2022-11-16,29.8
2022-11-15,29.3
2022-11-14,29.75
2022-11-11,30.05
2022-11-10,29.1
2022-11-09,30.1
2022-11-08,30.1
2022-11-07,30.0
2022-11-04,30.3
2022-11-03,30.45
2022-11-02,30.95
2022-11-01,31.0
2022-10-31,30.95
2022-10-28,30.95
2022-10-27,31.0
2022-10-26,29.0
2022-10-25,29.0
2022-10-24,28.5
2022-10-21,28.8
2022-10-20,29.5
2022-10-19,29.5
2022-10-18,29.5
2022-10-17,29.5
2022-10-14,29.65
2022-10-13,29.6
2022-10-12,29.65
2022-10-11,27.9
2022-10-10,29.05
2022-10-07,29.35
2022-10-06,29.8
2022-10-05,30.0
2022-10-04,29.5
2022-10-03,29.7
2022-09-30,30.6
2022-09-29,30.55
2022-09-28,30.55
2022-09-27,30.55
2022-09-26,30.5
2022-09-23,31.1
2022-09-22,31.3
2022-09-21,31.4
2022-09-20,31.5
2022-09-19,31.4
2022-09-16,31.5
2022-09-15,31.45
2022-09-14,31.4
2022-09-13,31.5
2022-09-12,31.5
2022-09-09,31.9
2022-09-08,31.95
2022-09-07,32.0
2022-09-06,32.0
2022-09-05,32.0
2022-08-31,32.25
2022-08-30,32.3
2022-08-29,32.2
2022-08-26,32.4
2022-08-25,32.4
2022-08-24,32.4
2022-08-23,32.5
2022-08-22,32.5
2022-08-19,31.25
2022-08-18,31.35
2022-08-17,31.5
2022-08-16,31.45
2022-08-15,31.5
2022-08-12,31.35
2022-08-11,31.5
2022-08-10,31.1
2022-08-09,31.25
2022-08-08,31.45
2022-08-05,31.55
2022-08-04,31.75
2022-08-03,31.8
2022-08-02,31.85
2022-08-01,31.95
2022-07-29,31.85
2022-07-28,31.8
2022-07-27,31.75
2022-07-26,31.75
2022-07-25,31.65
2022-07-22,31.95
2022-07-21,32.0
2022-07-20,32.0
2022-07-19,31.85
2022-07-18,31.8
2022-07-15,31.45
2022-07-14,31.5
2022-07-13,31.65
2022-07-12,32.0
2022-07-11,31.7
2022-07-08,31.7
2022-07-07,31.3
2022-07-06,31.4
2022-07-05,31.7
2022-07-04,31.65
2022-07-01,31.65
2022-06-30,31.6
2022-06-29,31.6
2022-06-28,31.45
2022-06-27,31.35
2022-06-24,31.2
2022-06-23,30.9
2022-06-22,30.75
2022-06-21,29.95
2022-06-20,30.0
2022-06-17,30.0
2022-06-16,30.05
2022-06-15,34.0
2022-06-14,33.0
2022-06-13,31.6
2022-06-10,33.1
2022-06-09,33.45
2022-06-08,33.8
2022-06-07,33.4
2022-06-06,33.75
2022-06-03,33.8
2022-06-02,33.8
2022-06-01,33.5
2022-05-31,33.8
2022-05-30,34.3
2022-05-27,34.6
2022-05-26,34.25
2022-05-25,34.05
2022-05-24,34.05
2022-05-23,34.5
2022-05-20,34.85
2022-05-19,34.6
2022-05-18,34.8
2022-05-17,34.8
2022-05-16,34.8
2022-05-13,34.65
2022-05-12,35.0
2022-05-11,36.0
2022-05-10,36.0
2022-05-09,34.5
2022-05-06,35.3
2022-05-05,36.2
2022-05-04,36.25
2022-04-29,36.75
2022-04-28,37.25
2022-04-27,37.05
2022-04-26,36.45
2022-04-25,35.5
2022-04-22,37.75
2022-04-21,37.95
2022-04-20,37.75
2022-04-19,37.65
2022-04-18,37.75
2022-04-15,38.0
2022-04-14,38.15
2022-04-13,38.05
2022-04-12,38.0
2022-04-08,37.8
2022-04-07,38.15
2022-04-06,38.45
2022-04-05,38.45
2022-04-04,38.55
2022-04-01,38.5
2022-03-31,38.05
2022-03-30,38.05
2022-03-29,36.5
2022-03-28,37.65
2022-03-25,38.1
2022-03-24,38.1
2022-03-23,38.2
2022-03-22,38.3
2022-03-21,37.85
2022-03-18,37.85
2022-03-17,37.8
2022-03-16,37.7
2022-03-15,37.5
2022-03-14,37.4
2022-03-11,37.5
2022-03-10,37.5
2022-03-09,37.5
2022-03-08,37.7
2022-03-07,37.8
2022-03-04,38.0
2022-03-03,37.85
2022-03-02,37.8
2022-03-01,36.9
2022-02-28,35.4
2022-02-25,36.3
2022-02-24,36.2
2022-02-23,36.45
2022-02-22,36.0
2022-02-21,36.3
