date,price
2024-03-15,18.65
2024-03-14,18.8
2024-03-13,19.05
2024-03-12,18.55
2024-03-11,18.55
2024-03-08,19.0
2024-03-07,19.45
2024-03-06,19.4
2024-03-05,19.75
2024-03-04,19.6
2024-03-01,19.65
2024-02-29,19.9
2024-02-28,19.9
2024-02-27,19.35
2024-02-26,19.25
2024-02-23,19.5
2024-02-22,19.7
2024-02-21,19.75
2024-02-20,19.6
2024-02-19,19.8
2024-02-16,19.85
2024-02-15,19.8
2024-02-07,19.6
2024-02-06,19.3
2024-02-05,19.2
2024-02-02,18.8
2024-02-01,19.15
2024-01-31,19.4
2024-01-30,19.7
2024-01-29,19.75
2024-01-26,19.75
2024-01-25,19.65
2024-01-24,19.65
2024-01-23,19.7
2024-01-22,19.8
2024-01-19,19.7
2024-01-18,19.5
2024-01-17,19.3
2024-01-16,19.45
2024-01-15,19.35
2024-01-12,19.65
2024-01-11,19.65
2024-01-10,19.6
2024-01-09,19.15
2024-01-08,19.25
2024-01-05,19.2
2024-01-04,19.35
2024-01-03,19.1
2024-01-02,18.85
2023-12-29,19.2
2023-12-28,18.8
2023-12-27,18.5
2023-12-26,18.5
2023-12-25,18.5
2023-12-22,18.15
2023-12-21,18.2
2023-12-20,18.25
2023-12-19,18.3
2023-12-18,18.4
2023-12-15,18.7
2023-12-14,19.0
2023-12-13,19.2
2023-12-12,19.45
2023-12-11,19.4
2023-12-08,19.6
2023-12-07,19.65
2023-12-06,19.4
2023-12-05,19.15
2023-12-04,19.5
2023-12-01,19.3
2023-11-30,19.1
2023-11-29,19.25
2023-11-28,19.35
2023-11-27,19.2
2023-11-24,19.2
2023-11-23,19.15
2023-11-22,19.65
2023-11-21,19.65
2023-11-20,19.5
2023-11-17,19.3
2023-11-16,19.9
2023-11-15,19.95
2023-11-14,19.6
2023-11-13,19.2
2023-11-10,19.55
2023-11-09,20.0
2023-11-08,21.35
2023-11-07,20.7
2023-11-06,20.8
2023-11-03,19.8
2023-11-02,20.3
2023-11-01,19.8
2023-10-31,20.0
2023-10-30,19.9
2023-10-27,20.2
2023-10-26,20.2
2023-10-25,21.0
2023-10-24,21.05
2023-10-23,21.05
