date,VND,demand,supply
2024-03-28,28.35,5067,7960
2024-03-27,28.00,4109,3461
2024-03-26,27.95,5229,3186
2024-03-25,27.50,7057,4280
2024-03-22,28.15,11391,9802
2024-03-21,28.00,4623,6789
2024-03-20,27.50,8554,6673
2024-03-19,26.85,5154,3144
2024-03-18,26.90,7765,4224
2024-03-15,27.35,6094,3004
2024-03-14,27.25,6412,4433
2024-03-13,27.65,4880,4901
2024-12-03,26.75,6011,4698
2024-11-03,26.75,6542,4488
2024-08-03,27.05,11850,6467
2024-07-03,27.50,8656,2890
2024-06-03,27.60,6317,4183
2024-05-03,27.95,6114,2984
2024-04-03,27.80,9581,4648
2024-01-03,27.80,7814,4163
2024-02-29,28.00,5015,4733
2024-02-28,28.00,5935,5353
2024-02-27,27.60,5868,3969
2024-02-26,27.50,6389,3396
2024-02-23,27.30,8944,8703
2024-02-22,27.65,5849,3061
2024-02-21,27.70,6708,3867
2024-02-20,27.55,5838,3087
2024-02-19,27.70,7724,3325
2024-02-16,27.60,6832,3541
2024-02-15,27.20,5670,3966
2024-07-02,28.00,4691,4621
2024-06-02,27.85,4099,3661
2024-05-02,27.80,11812,8176
2024-02-02,26.25,4265,3900
2024-01-02,26.00,3594,2837
2024-01-31,25.75,5690,3663
2024-01-30,25.95,3117,2452
2024-01-29,25.95,2929,3757
2024-01-26,26.30,2875,4568
2024-01-25,25.80,4169,2082
2024-01-24,25.80,4437,3199
2024-01-23,26.05,3334,4383
2024-01-22,26.30,3944,5511
2024-01-19,25.95,4111,4758
2024-01-18,25.60,4556,3809
2024-01-17,25.40,4085,3934
2024-01-16,25.40,5326,3027
2024-01-15,25.30,4335,3676
2024-12-01,25.80,8487,8793
2024-11-01,25.25,3992,4634
2024-10-01,25.25,7516,3698
2024-09-01,25.00,6610,3045
2024-08-01,25.35,3968,4463
2024-05-01,25.45,3111,4621
2024-04-01,25.30,5252,7911
2024-03-01,25.00,2952,4621
2024-02-01,24.45,3584,7139
2023-12-29,23.90,2178,5355
2023-12-28,23.75,2223,5638
2023-12-27,23.30,1950,3086
2023-12-26,23.25,1186,3005
2023-12-25,23.35,1575,4068
2023-12-22,23.20,1339,3477
2023-12-21,23.25,1776,3159
2023-12-20,23.20,2664,4532
2023-12-19,23.05,2997,4951
2023-12-18,22.80,2034,2941
2023-12-15,22.75,5274,4391
2023-12-14,22.50,2280,3674
2023-12-13,22.30,2546,2436
2023-12-12,22.50,1637,1783
2023-11-12,22.40,2068,1733
2023-08-12,22.40,1927,2869
2023-07-12,22.40,3040,3009
2023-06-12,22.30,1998,1857
2023-05-12,22.15,2281,2359
2023-04-12,22.30,2733,3319
2023-01-12,21.95,3188,1625
2023-11-30,21.95,2289,1833
2023-11-29,22.05,2212,1681
2023-11-28,21.90,3257,1388
2023-11-27,21.85,2842,1240
2023-11-24,22.05,4909,2003
2023-11-23,22.20,2867,2221
2023-11-22,22.70,2804,2018
2023-11-21,22.60,2720,2075
2023-11-20,22.50,3935,2817
2023-11-17,22.70,4544,4851
2023-11-16,23.30,2608,4846
2023-11-15,23.25,5197,9661
2023-11-14,22.70,2977,4816
2023-11-13,22.45,1969,2463
2023-10-11,22.40,2674,2525
2023-09-11,22.55,2426,4003
2023-08-11,22.80,2251,3618
2023-07-11,22.10,1836,1716
2023-06-11,22.20,1970,2650
2023-03-11,22.05,2140,2631
2023-02-11,22.30,2350,2713
2023-01-11,21.60,1818,1652
2023-10-31,21.40,2258,1829
2023-10-30,21.30,1835,1437
2023-10-27,21.55,2397,1871
2023-10-26,21.10,5074,2060
2023-10-25,21.90,1619,1684
2023-10-24,21.90,1550,1489
2023-10-23,21.80,2258,1134
2023-10-20,21.90,2019,1677
2023-10-19,21.80,2079,1524
2023-10-18,22.05,2095,2153
2023-10-17,22.45,1369,2211
2023-10-16,22.60,1966,2366
2023-10-13,22.65,1939,2553
2023-12-10,22.70,1469,3809
2023-11-10,22.70,2137,3450
2023-10-10,22.80,2388,5288
2023-09-10,22.50,2447,4555
2023-06-10,21.80,1675,1823
2023-05-10,21.60,1875,2460
2023-04-10,21.60,2522,1669
2023-03-10,21.60,2941,2260
2023-02-10,21.90,2818,1646
2023-09-29,21.85,1951,2315
2023-09-28,21.75,3609,1959
2023-09-27,22.00,3953,2396
2023-09-26,21.90,3479,3405
2023-09-25,22.00,2821,2806
2023-09-22,22.30,5078,3849
2023-09-21,22.40,3597,2688
2023-09-20,22.45,4375,2437
2023-09-19,22.30,4215,2793
2023-09-18,22.45,3496,2895
2023-09-15,22.65,2509,3887
2023-09-14,22.45,4098,4334
2023-09-13,22.55,4611,3957
2023-12-09,22.75,4893,2648
2023-11-09,22.35,7037,3659
2023-08-09,22.75,4806,4433
2023-07-09,22.90,6021,5482
2023-06-09,22.95,3488,3591
2023-05-09,22.75,3687,4971
2023-08-31,22.60,2900,3421
2023-08-30,22.45,3304,4428
2023-08-29,22.05,3761,2757
2023-08-28,22.05,2864,2637
2023-08-25,21.95,4228,2255
2023-08-24,22.05,2900,3124
2023-08-23,21.85,2978,2538
2023-08-22,22.05,4908,3676
2023-08-21,22.00,4253,4093
2023-08-18,21.90,8465,5767
2023-08-17,22.70,5525,3628
2023-08-16,22.90,5255,3711
2023-08-15,22.85,4928,3094
2023-08-14,23.05,6337,3338
2023-11-08,22.90,6258,3701
2023-10-08,22.90,6561,5150
2023-09-08,23.20,7545,4943
2023-08-08,23.40,8798,5413
2023-07-08,23.75,12490,5743
2023-04-08,24.40,3314,7121
2023-03-08,23.45,4774,7954
2023-02-08,23.10,3717,5282
2023-01-08,22.85,4024,6663
2023-07-31,22.95,6048,8859
2023-07-28,22.20,3160,5259
2023-07-27,22.15,3347,4319
2023-07-26,22.30,2656,5127
2023-07-25,22.30,5050,9127
2023-07-24,22.05,4154,4691
2023-07-21,22.10,3680,4323
2023-07-20,22.00,2784,4471
2023-07-19,22.00,5089,7284
2023-07-18,22.00,4473,6366
2023-07-17,22.00,2834,4034
2023-07-14,22.00,3557,3551
2023-07-13,22.00,2945,3425
2023-12-07,21.85,3803,3289
2023-11-07,22.00,3158,5399
2023-10-07,21.95,3682,4099
2023-07-07,21.70,5188,2060
2023-06-07,21.70,3898,3033
2023-05-07,21.95,3595,3252
2023-04-07,22.00,3017,1709
