date,VND,demand,supply
2024-03-28,65.30,1057,1000
2024-03-27,65.20,1150,804
2024-03-26,65.10,1368,589
2024-03-25,65.10,1342,1061
2024-03-22,65.70,1723,1472
2024-03-21,65.70,1107,1143
2024-03-20,65.00,1617,986
2024-03-19,64.40,1198,679
2024-03-18,64.60,3244,1683
2024-03-15,67.50,1789,1245
2024-03-14,67.90,2254,2818
2024-03-13,69.20,1636,2047
2024-12-03,67.90,2381,1779
2024-11-03,67.10,2107,2035
2024-08-03,69.30,3267,3238
2024-07-03,69.00,2068,3402
2024-06-03,66.20,1865,2527
2024-05-03,65.50,1689,2190
2024-04-03,65.40,2011,3448
2024-01-03,63.60,1614,1714
2024-02-29,63.30,1443,1500
2024-02-28,63.40,1672,1566
2024-02-27,63.30,2071,1465
2024-02-26,63.30,1444,1484
2024-02-23,63.30,2047,1536
2024-02-22,65.10,1670,2173
2024-02-21,65.80,1860,2788
2024-02-20,63.80,1216,1252
2024-02-19,64.30,1938,1800
2024-02-16,63.60,1234,977
2024-02-15,63.70,760,627
2024-07-02,64.00,749,643
2024-06-02,63.80,992,910
2024-05-02,63.50,1199,1001
2024-02-02,64.50,1322,1149
2024-01-02,66.00,953,1534
2024-01-31,65.30,1084,1622
2024-01-30,65.30,2176,3126
2024-01-29,62.10,647,1404
2024-01-26,61.80,936,1334
2024-01-25,61.60,1359,1251
2024-01-24,62.00,717,1588
2024-01-23,62.00,1097,2141
2024-01-22,61.20,934,1409
2024-01-19,61.20,811,1698
2024-01-18,60.30,948,1184
2024-01-17,59.90,1079,1389
2024-01-16,59.40,1164,1069
2024-01-15,59.50,884,908
2024-12-01,59.90,1561,1002
2024-11-01,60.40,2145,2254
2024-10-01,59.20,1567,1168
2024-09-01,59.60,1855,1271
2024-08-01,60.30,1689,1194
2024-05-01,60.50,1682,1614
2024-04-01,60.80,1344,2939
2024-03-01,61.50,1783,1073
2024-02-01,61.90,822,811
2023-12-29,62.90,957,942
2023-12-28,62.70,1063,1550
2023-12-27,62.60,910,1273
2023-12-26,62.30,1086,1485
2023-12-25,61.90,1419,1090
2023-12-22,61.80,953,1816
2023-12-21,61.80,934,837
2023-12-20,61.30,902,1052
2023-12-19,61.00,1166,773
2023-12-18,60.70,1445,942
2023-12-15,62.00,1138,1738
2023-12-14,63.70,895,836
2023-12-13,63.90,1050,964
2023-12-12,64.40,1091,1083
2023-11-12,65.10,919,1254
2023-08-12,65.00,987,1420
2023-07-12,64.80,1806,1848
2023-06-12,66.00,1690,1537
2023-05-12,63.30,1585,1961
2023-04-12,59.20,1323,1491
2023-01-12,58.20,910,1053
2023-11-30,58.20,842,937
2023-11-29,58.20,916,851
2023-11-28,58.50,903,742
2023-11-27,59.30,731,663
2023-11-24,58.80,1309,808
2023-11-23,58.90,1079,812
2023-11-22,59.90,969,838
2023-11-21,60.20,1123,936
2023-11-20,61.40,992,859
2023-11-17,61.40,1012,1136
2023-11-16,62.40,866,1262
2023-11-15,62.00,1182,1765
2023-11-14,60.00,813,1334
2023-11-13,59.80,980,805
2023-10-11,60.40,902,900
2023-09-11,61.00,1084,1185
2023-08-11,59.60,1045,990
2023-07-11,58.20,973,811
2023-06-11,59.40,983,938
2023-03-11,58.50,1009,789
2023-02-11,58.80,881,831
2023-01-11,58.00,679,681
2023-10-31,58.60,776,808
2023-10-30,59.50,501,417
2023-10-27,59.00,783,780
2023-10-26,59.60,870,549
2023-10-25,62.60,659,821
2023-10-24,63.40,835,798
2023-10-23,63.60,673,949
2023-10-20,64.60,778,500
2023-10-19,63.00,777,578
2023-10-18,62.80,1396,810
2023-10-17,64.20,1192,792
2023-10-16,65.70,959,856
2023-10-13,66.70,971,826
2023-12-10,67.60,1046,953
2023-11-10,68.30,699,969
2023-10-10,68.90,557,699
2023-09-10,68.90,506,577
2023-06-10,69.50,537,534
2023-05-10,68.90,490,577
2023-04-10,69.00,605,514
2023-03-10,68.50,549,601
2023-02-10,69.40,533,796
2023-09-29,69.50,374,807
2023-09-28,67.20,649,1177
2023-09-27,66.20,979,618
2023-09-26,65.90,748,638
2023-09-25,68.00,743,705
2023-09-22,69.50,1046,1005
2023-09-21,70.60,972,1335
2023-09-20,70.00,1153,896
