date,VND,demand,supply
2024-03-28,52.60,2198,1743
2024-03-27,52.50,2780,1303
2024-03-26,53.00,1759,1222
2024-03-25,53.00,2187,1743
2024-03-22,54.20,4251,4917
2024-03-21,53.00,1818,2062
2024-03-20,53.00,3256,3484
2024-03-19,51.60,1455,1228
2024-03-18,52.00,2707,2026
2024-03-15,52.20,2404,1390
2024-03-14,51.70,2654,1810
2024-03-13,52.60,1722,1388
2024-12-03,52.00,2065,1671
2024-11-03,50.50,2345,1391
2024-08-03,51.10,4354,1411
2024-07-03,53.30,2878,2266
2024-06-03,54.40,1394,1572
2024-05-03,54.40,1553,1503
2024-04-03,53.50,2487,2073
2024-01-03,53.50,2232,1362
2024-02-29,53.00,1693,1703
2024-02-28,53.90,2513,2520
2024-02-27,53.00,1068,1822
2024-02-26,53.60,1400,1732
2024-02-23,52.00,3980,4243
2024-02-22,49.75,1366,1618
2024-02-21,49.75,1521,2041
2024-02-20,49.40,1371,2141
2024-02-19,49.30,2559,3672
2024-02-16,48.55,2630,1359
2024-02-15,48.95,2022,1651
2024-07-02,48.95,1719,1854
2024-06-02,48.80,1718,1643
2024-05-02,48.65,2385,2706
2024-02-02,46.90,2393,1909
2024-01-02,47.25,2140,2009
2024-01-31,47.70,2354,1903
2024-01-30,48.45,1750,1585
2024-01-29,48.70,1287,1649
2024-01-26,48.95,1107,1347
2024-01-25,48.40,1359,2132
2024-01-24,48.90,2251,2062
2024-01-23,49.40,2081,2586
2024-01-22,49.80,2033,2486
2024-01-19,49.85,2824,4198
2024-01-18,47.50,1612,3165
2024-01-17,46.85,1661,2938
2024-01-16,46.90,985,2322
2024-01-15,46.60,1432,2961
2024-12-01,46.00,2738,4548
2024-11-01,46.50,2796,6124
2024-10-01,47.40,1558,2208
2024-09-01,46.05,1262,1524
2024-08-01,46.40,1321,1979
2024-05-01,44.50,1377,1568
2024-04-01,43.65,1889,2234
2024-03-01,43.80,943,2013
2024-02-01,43.00,928,1115
2023-12-29,43.40,1218,1033
2023-12-28,42.70,728,929
2023-12-27,43.00,897,1043
2023-12-26,43.00,888,1486
2023-12-25,43.20,1056,1498
2023-12-22,42.45,1251,1730
2023-12-21,41.80,1010,1246
2023-12-20,41.30,920,1360
2023-12-19,41.20,983,893
2023-12-18,41.00,1276,872
2023-12-15,41.50,556,799
2023-12-14,41.60,3386,1306
2023-12-13,41.60,782,1153
2023-12-12,41.90,1072,1470
2023-11-12,41.40,1499,1571
2023-08-12,41.90,1487,2420
2023-07-12,40.60,1571,2069
2023-06-12,40.00,1323,1555
2023-05-12,39.65,1144,1181
2023-04-12,39.80,1044,1253
2023-01-12,39.40,1082,1179
2023-11-30,38.85,1277,994
2023-11-29,39.30,1094,1072
2023-11-28,38.85,1884,1167
2023-11-27,43.00,1139,1136
2023-11-24,43.65,1542,893
2023-11-23,43.00,1036,1127
2023-11-22,43.60,1209,1040
2023-11-21,43.95,1041,1140
2023-11-20,43.15,1650,1041
2023-11-17,42.90,2092,1349
2023-11-16,43.75,1490,1196
2023-11-15,44.15,1767,2030
2023-11-14,43.00,1288,1897
2023-11-13,42.10,978,941
2023-10-11,42.20,1200,953
2023-09-11,42.85,1142,1383
2023-08-11,42.90,1240,1244
2023-07-11,41.80,599,904
2023-06-11,41.80,918,1317
2023-03-11,41.50,1000,1275
2023-02-11,41.65,1137,1157
2023-01-11,40.00,1120,682
2023-10-31,40.20,1212,1076
2023-10-30,41.00,785,1112
2023-10-27,42.00,1138,1285
2023-10-26,40.55,2478,1693
2023-10-25,40.75,1301,1246
2023-10-24,41.30,1660,1321
2023-10-23,40.30,1290,912
2023-10-20,40.50,1784,1214
2023-10-19,40.20,2361,1026
2023-10-18,40.00,2452,1097
2023-10-17,41.30,1156,949
2023-10-16,41.65,1529,891
2023-10-13,42.50,1514,1421
2023-12-10,42.15,1412,1043
2023-11-10,42.00,1639,1059
2023-10-10,42.05,1243,777
2023-09-10,41.95,1060,1011
2023-06-10,42.20,1317,754
2023-05-10,41.60,1350,1806
2023-04-10,42.50,1619,1415
2023-03-10,41.55,1998,1539
2023-02-10,43.95,1467,1119
2023-09-29,44.35,898,1044
2023-09-28,44.35,1045,1175
2023-09-27,44.40,1344,1158
2023-09-26,44.35,1826,1886
2023-09-25,45.10,1365,1377
2023-09-22,46.05,2577,1865
2023-09-21,45.20,1930,1425
2023-09-20,45.70,1361,835
2023-09-19,45.20,2021,1246
2023-09-18,45.75,1790,1304
2023-09-15,46.80,985,1068
