date,VND,demand,supply
2024-03-28,43.30,415,779
2024-03-27,43.30,533,941
2024-03-26,42.90,598,622
2024-03-25,42.80,739,1010
2024-03-22,42.50,840,754
2024-03-21,42.80,748,738
2024-03-20,42.25,904,528
2024-03-19,42.00,642,476
2024-03-18,42.00,1628,820
2024-03-15,43.10,1412,726
2024-03-14,43.65,814,903
2024-03-13,44.00,1264,605
2024-12-03,43.40,1044,605
2024-11-03,43.35,1041,881
2024-08-03,44.45,1545,1547
2024-07-03,44.90,956,1657
2024-06-03,43.30,1046,1530
2024-05-03,43.30,761,871
2024-04-03,43.20,741,1182
2024-01-03,42.80,757,847
2024-02-29,42.90,936,1445
2024-02-28,42.45,797,618
2024-02-27,42.45,503,795
2024-02-26,42.05,697,541
2024-02-23,41.95,1054,915
2024-02-22,42.15,981,590
2024-02-21,42.45,1035,752
2024-02-20,42.75,777,860
2024-02-19,43.20,1160,1409
2024-02-16,42.50,1179,1714
2024-02-15,41.30,474,761
2024-07-02,41.20,467,522
2024-06-02,41.10,412,515
2024-05-02,41.05,625,902
2024-02-02,41.00,425,504
2024-01-02,41.25,618,783
2024-01-31,40.50,699,547
2024-01-30,41.00,466,481
2024-01-29,41.20,636,807
2024-01-26,40.85,502,375
2024-01-25,40.70,466,336
2024-01-24,40.70,744,454
2024-01-23,40.80,828,549
2024-01-22,41.20,460,549
2024-01-19,41.25,502,676
2024-01-18,41.15,580,584
2024-01-17,41.15,892,818
2024-01-16,41.00,1083,423
2024-01-15,41.00,896,611
2024-12-01,41.80,998,844
2024-11-01,42.00,1499,1789
2024-10-01,40.50,909,1517
2024-09-01,40.00,817,625
2024-08-01,40.00,635,647
2024-05-01,40.00,595,648
2024-04-01,40.10,1031,1149
2024-03-01,39.80,725,700
2024-02-01,39.60,551,759
2023-12-29,39.50,526,604
2023-12-28,39.60,604,458
2023-12-27,39.55,539,636
2023-12-26,39.50,555,616
2023-12-25,39.30,761,450
2023-12-22,38.90,1026,555
2023-12-21,39.35,624,440
2023-12-20,39.35,621,631
2023-12-19,39.20,612,409
2023-12-18,39.05,933,428
2023-12-15,39.50,949,537
2023-12-14,40.15,623,832
2023-12-13,40.50,1026,1298
2023-12-12,40.10,625,814
2023-11-12,40.05,905,843
2023-08-12,39.55,657,457
2023-07-12,39.60,1185,736
2023-06-12,40.05,804,709
2023-05-12,39.80,835,701
2023-04-12,40.00,797,903
2023-01-12,39.70,736,765
2023-11-30,39.00,816,763
2023-11-29,39.70,641,633
2023-11-28,39.60,728,500
2023-11-27,38.85,869,573
2023-11-24,40.25,1136,483
2023-11-23,40.50,745,640
2023-11-22,40.85,741,604
2023-11-21,40.80,453,530
2023-11-20,40.80,823,543
2023-11-17,40.85,860,869
2023-11-16,41.30,820,856
2023-11-15,40.90,930,983
2023-11-14,40.80,589,656
2023-11-13,40.55,486,543
2023-10-11,40.60,585,624
2023-09-11,41.00,664,699
2023-08-11,41.00,839,528
2023-07-11,40.40,364,400
2023-06-11,40.70,589,488
2023-03-11,40.40,585,497
2023-02-11,40.60,674,681
2023-01-11,39.00,743,488
2023-10-31,38.90,809,544
2023-10-30,39.15,626,379
2023-10-27,39.50,776,667
2023-10-26,39.05,1406,612
2023-10-25,40.85,445,503
2023-10-24,40.75,762,451
2023-10-23,40.50,751,566
2023-10-20,41.00,942,560
2023-10-19,40.20,1043,468
2023-10-18,40.85,1354,527
2023-10-17,41.55,619,406
2023-10-16,41.65,1039,433
2023-10-13,42.30,845,540
2023-12-10,42.65,542,622
2023-11-10,42.60,625,578
2023-10-10,42.55,597,713
2023-09-10,42.20,669,524
2023-06-10,41.90,928,441
2023-05-10,41.90,602,527
2023-04-10,42.05,863,714
2023-03-10,41.85,1095,731
2023-02-10,42.25,684,560
2023-09-29,42.15,728,558
2023-09-28,42.40,839,1362
2023-09-27,42.40,1139,727
2023-09-26,42.00,1591,1003
2023-09-25,42.20,1437,801
2023-09-22,43.60,2236,1013
2023-09-21,44.35,903,734
2023-09-20,44.60,943,601
2023-09-19,44.05,2344,770
2023-09-18,44.80,971,606
2023-09-15,44.90,737,624
2023-09-14,45.20,1215,698
2023-09-13,45.55,802,1203
2023-12-09,45.80,783,661
2023-11-09,45.50,1170,1403
2023-08-09,45.65,917,865
2023-07-09,45.75,1006,1262
2023-06-09,45.65,882,942
2023-05-09,45.45,1047,1331
2023-08-31,45.20,1320,1153
2023-08-30,45.05,698,789
2023-08-29,44.80,1017,987
2023-08-28,44.90,1434,1141
2023-08-25,44.90,1289,1049
2023-08-24,45.40,965,1362
2023-08-23,45.50,814,954
2023-08-22,45.40,1507,1423
2023-08-21,44.60,1786,1351
2023-08-18,44.20,2196,1614
2023-08-17,46.50,1287,975
2023-08-16,46.90,1003,1182
2023-08-15,47.20,763,1382
2023-08-14,46.90,1169,1301
2023-11-08,46.70,1537,1324
2023-10-08,47.00,969,1077
2023-09-08,47.40,1058,891
