date,VND,demand,supply
2024-03-28,117.10,3150,4165
2024-03-27,115.20,3588,1764
2024-03-26,115.00,4219,2164
2024-03-25,114.00,4678,2392
2024-03-22,114.90,5906,2818
2024-03-21,116.20,3373,4491
2024-03-20,114.50,7625,4540
2024-03-19,112.00,8997,3013
2024-03-18,113.00,12395,4857
2024-03-15,116.00,7502,3155
2024-03-14,117.00,5739,4159
2024-03-13,117.00,5277,6138
2024-12-03,111.90,4441,4613
2024-11-03,110.00,5041,4192
2024-08-03,110.00,6273,3003
2024-07-03,111.30,6742,4065
2024-06-03,109.10,6378,2601
2024-05-03,110.70,6012,2545
2024-04-03,111.40,3762,2871
2024-01-03,110.80,4574,4066
2024-02-29,109.00,4439,2837
2024-02-28,108.50,6281,2332
2024-02-27,107.90,3993,3235
2024-02-26,108.00,4842,4284
2024-02-23,103.90,4468,3555
2024-02-22,104.60,3827,2017
2024-02-21,105.90,5264,2627
2024-02-20,104.30,3324,1795
2024-02-19,105.00,2941,2692
2024-02-16,105.10,2245,2005
2024-02-15,104.00,3010,2544
2024-07-02,104.90,2314,2802
2024-06-02,104.10,2357,3240
2024-05-02,103.50,2803,3860
2024-02-02,102.00,3101,5107
2024-01-02,99.90,5574,9379
2024-01-31,95.70,2184,1947
2024-01-30,95.60,1901,1274
2024-01-29,95.90,1967,1431
2024-01-26,95.90,1585,2013
2024-01-25,95.10,2442,1250
2024-01-24,95.00,3219,1476
2024-01-23,95.60,2937,1811
2024-01-22,96.40,1826,2071
2024-01-19,96.30,1924,2736
2024-01-18,95.60,1930,1740
2024-01-17,95.70,2607,1963
2024-01-16,95.70,2185,1345
2024-01-15,95.40,1633,2115
2024-12-01,94.70,6094,2043
2024-11-01,95.00,3579,1496
2024-10-01,94.70,7042,2258
2024-09-01,96.60,2778,1560
2024-08-01,97.30,1819,3301
2024-05-01,97.40,1863,2127
2024-04-01,97.20,2743,4628
2024-03-01,96.30,3057,1885
2024-02-01,95.90,2427,1686
2023-12-29,96.10,2588,1852
2023-12-28,96.60,2465,1947
2023-12-27,96.90,2027,2770
2023-12-26,97.20,3465,5489
2023-12-25,96.00,1851,2985
2023-12-22,94.60,2555,2459
2023-12-21,95.10,3371,1960
2023-12-20,94.70,2333,1868
2023-12-19,94.60,3187,1834
2023-12-18,94.00,4446,2072
2023-12-15,96.20,2430,1855
2023-12-14,96.20,2310,2650
2023-12-13,95.20,3225,3194
2023-12-12,96.80,3145,4690
2023-11-12,95.00,1878,3422
2023-08-12,94.20,2090,2453
2023-07-12,94.30,4773,2891
2023-06-12,95.00,1970,2221
2023-05-12,94.80,3746,4853
2023-04-12,93.60,3172,4665
2023-01-12,92.40,1968,2002
2023-11-30,91.90,2557,3573
2023-11-29,91.70,1406,1621
2023-11-28,91.10,2932,1545
2023-11-27,90.70,3477,1422
2023-11-24,91.20,2990,2363
2023-11-23,90.80,2169,3142
2023-11-22,93.00,1922,3642
2023-11-21,91.90,2483,1739
2023-11-20,90.70,3617,2024
2023-11-17,91.00,5381,2491
2023-11-16,93.00,3043,1724
2023-11-15,92.40,2325,3137
2023-11-14,92.60,2223,2801
2023-11-13,91.40,2655,1752
2023-10-11,91.50,3283,2537
2023-09-11,92.50,3040,3101
2023-08-11,92.60,3050,3991
2023-07-11,88.30,2516,1933
2023-06-11,88.50,2302,2432
2023-03-11,87.00,6317,2289
2023-02-11,89.00,4016,3188
2023-01-11,85.40,3668,2530
2023-10-31,83.00,5259,2936
2023-10-30,85.00,4035,1793
2023-10-27,87.00,4607,2115
2023-10-26,86.80,12794,4027
2023-10-25,90.90,3397,1878
2023-10-24,92.00,3157,2350
2023-10-23,91.00,5111,2168
2023-10-20,92.90,6160,3311
2023-10-19,92.00,4446,3372
2023-10-18,93.00,8064,3792
2023-10-17,93.10,3491,2771
2023-10-16,96.80,5013,5617
2023-10-13,96.10,3636,2506
2023-12-10,96.40,2505,3068
2023-11-10,97.00,2383,3770
2023-10-10,96.30,3173,3809
2023-09-10,95.60,3770,3804
2023-06-10,92.70,2923,1899
2023-05-10,91.60,3130,1563
2023-04-10,92.50,2923,1992
2023-03-10,92.20,3897,2375
2023-02-10,93.20,3005,1886
2023-09-29,92.80,3112,2033
2023-09-28,94.00,4530,2174
2023-09-27,94.30,7588,4251
2023-09-26,93.50,4340,2651
2023-09-25,94.30,3766,2507
2023-09-22,96.70,7870,2610
2023-09-21,96.80,5694,2772
2023-09-20,98.50,2281,3932
2023-09-19,98.40,3728,3421
2023-09-18,96.90,3633,1978
2023-09-15,97.50,4120,2191
2023-09-14,95.90,4937,2297
2023-09-13,98.00,4165,3492
2023-12-09,98.90,2997,3416
2023-11-09,97.40,6741,3944
2023-08-09,97.60,3093,2423
2023-07-09,97.90,4038,3413
2023-06-09,99.00,3489,3169
2023-05-09,96.80,2020,2969
2023-08-31,96.70,2989,3054
2023-08-30,96.60,3370,5226
2023-08-29,93.60,2795,3272
2023-08-28,94.00,2593,4178
2023-08-25,90.60,2630,4135
2023-08-24,90.00,3770,8388
2023-08-23,86.50,2306,2064
2023-08-22,86.50,3144,2764
2023-08-21,85.90,2138,3878
2023-08-18,85.50,3101,5232
2023-08-17,86.00,3270,5275
2023-08-16,85.10,2454,4678
2023-08-15,84.00,2306,1859
2023-08-14,82.60,1825,1043
2023-11-08,82.00,2548,1487
2023-10-08,82.20,2770,1291
2023-09-08,83.10,2075,1256
2023-08-08,84.20,1493,1214
2023-07-08,84.50,1758,1250
2023-04-08,83.30,2936,1157
2023-03-08,83.70,2389,1467
2023-02-08,83.50,2237,1422
2023-01-08,84.50,1618,2038
2023-07-31,85.60,1697,1957
2023-07-28,84.40,1781,1687
2023-07-27,83.70,2136,2704
2023-07-26,82.70,1567,1964
2023-07-25,81.30,1972,2220
2023-07-24,81.00,1799,1741
2023-07-21,81.00,2085,1482
2023-07-20,80.30,2184,3493
2023-07-19,78.50,1859,1255
2023-07-18,78.70,1558,1445
2023-07-17,79.00,1988,1952
2023-07-14,78.30,2744,3273
2023-07-13,75.80,1746,1675
2023-12-07,75.30,1632,1428
2023-11-07,75.00,2521,1635
2023-10-07,75.30,2301,1679
2023-07-07,75.30,1909,1281
2023-06-07,74.60,3432,1480
2023-05-07,74.80,4763,1892
2023-04-07,87.00,1538,1143
2023-03-07,86.40,1546,973
2023-06-30,86.00,1384,848
2023-06-29,86.50,1260,1207
2023-06-28,87.00,1516,1499
2023-06-27,87.30,1586,1997
2023-06-26,85.80,1587,965
2023-06-23,85.10,1554,939
2023-06-22,85.50,1787,1432
2023-06-21,85.80,782,1427
2023-06-20,85.50,1000,1538
2023-06-19,84.70,782,1193
2023-06-16,84.50,1949,2513
2023-06-15,84.10,1203,1199
2023-06-14,84.20,982,954
2023-06-13,84.40,912,968
2023-12-06,84.90,1144,820
2023-09-06,84.60,847,1546
2023-08-06,83.60,1852,1216
2023-07-06,85.00,1312,1577
2023-06-06,85.30,925,1364
2023-05-06,85.00,1185,2182
2023-02-06,83.80,1476,1346
2023-01-06,83.50,1078,794
2023-05-31,84.10,1124,978
2023-05-30,84.00,1611,1859
2023-05-29,83.10,875,1334
2023-05-26,83.10,1001,1760
2023-05-25,83.20,1177,1975
2023-05-24,81.30,1077,862
2023-05-23,82.00,1171,1003
2023-05-22,82.50,926,1114
2023-05-19,82.80,1151,1674
2023-05-18,82.90,1263,1988
2023-05-17,81.50,1015,2046
2023-05-16,81.50,904,1381
