date,VND,demand,supply
2024-03-28,80.30,1797,1032
2024-03-27,80.30,1071,1539
2024-03-26,80.70,1315,986
2024-03-25,80.40,1466,1708
2024-03-22,80.50,1831,1640
2024-03-21,81.00,1686,1505
2024-03-20,81.00,1961,1656
2024-03-19,79.70,1679,1295
2024-03-18,80.20,3193,3139
2024-03-15,82.30,2413,3676
2024-03-14,81.00,3013,5447
2024-03-13,79.00,2143,1564
2024-12-03,77.90,2569,1491
2024-11-03,77.80,3092,1534
2024-08-03,79.50,2914,2493
2024-07-03,80.40,2119,2431
2024-06-03,80.10,2971,4015
2024-05-03,79.00,2130,3308
2024-04-03,77.80,1723,2123
2024-01-03,77.60,1984,1519
2024-02-29,77.40,2260,1748
2024-02-28,78.00,1965,2881
2024-02-27,77.60,2134,1557
2024-02-26,76.20,2781,952
2024-02-23,76.40,2330,1814
2024-02-22,77.90,1884,1933
2024-02-21,77.70,2535,1394
2024-02-20,78.60,2204,1885
2024-02-19,79.30,2821,3767
2024-02-16,76.60,1589,1933
2024-02-15,75.70,1228,1120
2024-07-02,75.70,1323,955
2024-06-02,75.70,1178,1929
2024-05-02,75.20,1712,1380
2024-02-02,75.20,1870,1347
2024-01-02,75.50,1638,904
2024-01-31,75.40,1586,1249
2024-01-30,76.40,1211,1135
2024-01-29,76.60,1958,1857
2024-01-26,75.20,1900,996
2024-01-25,75.40,1770,797
2024-01-24,75.80,1447,1110
2024-01-23,76.10,1375,1610
2024-01-22,76.30,1354,1098
2024-01-19,76.70,1640,2005
2024-01-18,75.30,1218,872
2024-01-17,75.20,2206,1388
2024-01-16,75.60,1406,660
2024-01-15,75.70,1553,1031
2024-12-01,75.10,2311,1436
2024-11-01,76.00,1550,974
2024-10-01,75.50,2193,1602
2024-09-01,75.90,2431,1370
2024-08-01,76.80,1839,1759
2024-05-01,77.20,1718,1798
2024-04-01,76.70,2225,2157
2024-03-01,76.00,1731,999
2024-02-01,75.60,1484,1351
2023-12-29,75.50,1954,1604
2023-12-28,76.00,1904,2259
2023-12-27,76.30,1384,1388
2023-12-26,76.40,1599,1555
2023-12-25,76.50,2188,1593
2023-12-22,74.70,2126,3095
2023-12-21,74.70,2172,1209
2023-12-20,75.20,1664,1397
2023-12-19,75.00,2946,1582
2023-12-18,75.50,2041,1200
2023-12-15,76.00,2574,2945
2023-12-14,76.90,1614,1017
2023-12-13,76.90,3353,1910
2023-12-12,78.20,1100,994
2023-11-12,78.30,1091,1363
2023-08-12,77.60,1799,1369
2023-07-12,77.90,2380,1667
2023-06-12,79.80,995,1257
2023-05-12,79.00,1235,1952
2023-04-12,79.00,1577,1655
2023-01-12,77.70,1293,1222
2023-11-30,76.50,1009,1021
2023-11-29,77.80,1746,1420
2023-11-28,77.00,2409,1242
2023-11-27,76.80,1679,772
2023-11-24,77.50,2521,1012
2023-11-23,77.00,1775,1451
2023-11-22,79.00,1337,978
2023-11-21,79.00,887,1013
2023-11-20,78.30,1736,1175
2023-11-17,78.70,2155,1112
2023-11-16,80.00,1813,1350
2023-11-15,80.10,1415,1557
2023-11-14,79.10,1289,981
2023-11-13,79.00,1053,928
2023-10-11,78.70,2051,1476
2023-09-11,80.00,1874,1508
2023-08-11,80.00,1441,911
2023-07-11,78.80,864,848
2023-06-11,79.00,1452,901
2023-03-11,79.10,1232,1597
2023-02-11,79.20,1110,1023
2023-01-11,76.90,1001,490
2023-10-31,76.60,1343,867
2023-10-30,76.60,969,578
2023-10-27,77.60,1487,996
2023-10-26,75.50,3523,1341
2023-10-25,80.40,1009,669
2023-10-24,81.20,1490,664
