date,VND,demand,supply
2024-03-28,33.05,3339,2237
2024-03-27,33.40,3602,3034
2024-03-26,33.90,4164,3849
2024-03-25,31.90,7380,2929
2024-03-22,33.25,5106,3576
2024-03-21,33.25,3989,3216
2024-03-20,32.80,4343,3120
2024-03-19,32.55,5401,3834
2024-03-18,32.55,9807,6192
2024-03-15,34.60,4097,4611
2024-03-14,32.80,4964,3791
2024-03-13,32.30,3603,3368
2024-12-03,31.60,5118,5125
2024-11-03,29.55,4234,4932
2024-08-03,29.00,4726,4385
2024-07-03,29.10,4000,2517
2024-06-03,28.90,5105,2202
2024-05-03,29.70,3099,2259
2024-04-03,29.80,4355,4684
2024-01-03,29.15,4072,3358
2024-02-29,28.60,6526,2443
2024-02-28,28.90,4358,3367
2024-02-27,28.90,2775,3122
2024-02-26,28.80,4854,4481
2024-02-23,27.55,4319,3145
2024-02-22,27.95,2903,2431
2024-02-21,28.15,3851,3199
2024-02-20,28.20,4537,2985
2024-02-19,26.80,4597,3410
2024-02-16,26.65,3987,3281
2024-02-15,24.95,3219,2377
2024-07-02,25.35,2240,1699
2024-06-02,25.20,2109,2124
2024-05-02,25.05,2735,3209
2024-02-02,24.60,3180,4210
2024-01-02,23.95,3441,3244
2024-01-31,22.40,2950,2574
2024-01-30,22.95,2673,3646
2024-01-29,22.50,4459,5643
2024-01-26,21.45,1514,2234
2024-01-25,20.90,1048,762
2024-01-24,20.90,1169,1440
2024-01-23,20.90,1836,1050
2024-01-22,21.05,2279,1718
2024-01-19,21.30,1550,2474
2024-01-18,21.10,1809,1807
2024-01-17,21.20,1726,2122
2024-01-16,20.95,1293,1200
2024-01-15,20.55,1425,1268
2024-12-01,20.40,3515,1527
2024-11-01,21.20,1851,1213
2024-10-01,21.60,1676,1558
2024-09-01,21.40,2914,1603
2024-08-01,21.50,1833,1612
2024-05-01,21.80,1559,3079
2024-04-01,21.40,2231,2667
2024-03-01,21.60,2497,4128
2024-02-01,20.95,2495,2540
2023-12-29,21.20,3710,4679
2023-12-28,20.30,1394,1740
2023-12-27,20.25,1475,1655
2023-12-26,20.30,1417,1947
2023-12-25,20.20,1635,1547
2023-12-22,20.25,1592,1966
2023-12-21,19.90,1137,1107
2023-12-20,19.75,930,912
2023-12-19,19.60,1678,851
2023-12-18,19.45,1238,810
2023-12-15,19.90,1430,900
2023-12-14,19.85,1544,1174
2023-12-13,19.95,1655,1541
2023-12-12,20.35,1420,1752
2023-11-12,20.35,1345,1226
2023-08-12,20.05,1757,1196
2023-07-12,20.20,3652,1974
2023-06-12,20.80,1727,1526
2023-05-12,20.60,2183,2335
2023-04-12,20.60,1947,2756
2023-01-12,20.15,1412,1914
2023-11-30,20.00,2766,3195
2023-11-29,19.85,1209,1615
2023-11-28,19.60,1444,1104
2023-11-27,19.30,1064,1037
2023-11-24,19.55,2421,1334
2023-11-23,19.30,2089,2086
2023-11-22,20.15,1868,1918
2023-11-21,20.05,1536,1908
2023-11-20,20.00,3050,2436
2023-11-17,19.45,2758,2395
2023-11-16,19.70,1155,1019
2023-11-15,19.85,1635,2538
2023-11-14,19.70,1266,1445
2023-11-13,19.45,1550,1371
2023-10-11,19.35,2161,1495
2023-09-11,19.70,1879,2138
2023-08-11,19.70,1803,2047
2023-07-11,18.45,1427,1413
2023-06-11,18.50,1322,1075
2023-03-11,18.50,1591,1409
2023-02-11,18.50,1607,1473
2023-01-11,17.30,2261,1177
2023-10-31,16.90,2877,1528
2023-10-30,18.00,2054,1258
2023-10-27,19.30,1502,1287
2023-10-26,19.10,3405,1445
2023-10-25,20.50,2709,2131
2023-10-24,20.45,1585,1255
2023-10-23,19.75,2236,1255
2023-10-20,20.50,2416,1530
2023-10-19,20.00,2681,1441
2023-10-18,20.00,2791,2040
2023-10-17,20.20,2086,2692
2023-10-16,21.45,2071,3050
2023-10-13,21.40,2954,2705
2023-12-10,20.85,1696,2556
2023-11-10,20.70,1669,1586
2023-10-10,20.05,2271,2030
2023-09-10,20.40,1727,2043
2023-06-10,20.20,2051,1691
2023-05-10,19.80,2427,2884
2023-04-10,19.50,2129,1558
2023-03-10,19.00,3642,1881
2023-02-10,20.40,1644,1862
2023-09-29,19.50,1740,1841
2023-09-28,19.60,2095,1491
2023-09-27,19.85,3460,2173
2023-09-26,18.95,4942,2409
2023-09-25,20.35,2966,2358
2023-09-22,21.85,4379,2795
2023-09-21,23.20,3490,4400
2023-09-20,23.10,3827,4168
2023-09-19,22.30,2421,1651
2023-09-18,22.15,3810,1976
2023-09-15,22.60,2754,2394
2023-09-14,22.00,2354,2046
2023-09-13,22.30,3240,5003
2023-12-09,22.70,2121,2067
2023-11-09,21.75,3597,3092
2023-08-09,22.70,2941,3549
2023-07-09,22.40,3876,4244
2023-06-09,22.00,3214,2593
2023-05-09,22.00,2216,3230
2023-08-31,21.85,5465,4212
2023-08-30,20.70,2353,1715
2023-08-29,20.65,3230,2171
2023-08-28,20.20,1993,1701
2023-08-25,19.65,1823,1412
2023-08-24,19.80,1739,1570
2023-08-23,19.20,1407,1303
2023-08-22,19.05,2972,1685
2023-08-21,19.30,2835,1715
2023-08-18,19.85,3430,2543
2023-08-17,21.30,2388,1986
2023-08-16,21.35,1948,1208
2023-08-15,21.45,2151,1808
2023-08-14,21.55,2250,1568
2023-11-08,21.10,4062,2247
2023-10-08,21.45,3505,1568
2023-09-08,22.15,2256,1537
2023-08-08,22.60,2157,2068
2023-07-08,22.70,3487,3333
2023-04-08,21.90,2326,1508
2023-03-08,21.80,2146,1714
2023-02-08,21.90,2064,1446
2023-01-08,22.00,2452,2394
2023-07-31,22.35,2008,2847
2023-07-28,22.00,3303,2572
2023-07-27,21.70,2762,1723
2023-07-26,21.60,2549,1219
2023-07-25,21.80,2196,1516
2023-07-24,22.20,1585,1784
2023-07-21,22.00,1969,1860
2023-07-20,21.50,3211,1395
2023-07-19,21.70,2036,2015
2023-07-18,21.85,1473,1128
2023-07-17,22.00,2219,2445
2023-07-14,21.60,2300,1771
2023-07-13,21.65,1698,1623
2023-12-07,21.60,2421,1700
2023-11-07,21.50,1773,2277
2023-10-07,21.25,2672,2277
2023-07-07,21.25,2228,2896
2023-06-07,20.70,2963,2714
2023-05-07,20.10,2325,2787
2023-04-07,20.30,2034,2075
2023-03-07,20.15,2508,3927
2023-06-30,19.40,2039,2358
2023-06-29,19.05,3456,1822
2023-06-28,19.30,2577,1896
2023-06-27,19.60,2615,2613
2023-06-26,19.60,4370,2822
2023-06-23,19.00,3050,2256
2023-06-22,19.35,2723,2570
2023-06-21,19.50,3885,4911
2023-06-20,18.80,2852,2787
2023-06-19,17.90,2176,1479
2023-06-16,17.80,2882,2643
2023-06-15,18.05,2558,1541
2023-06-14,17.90,2799,1958
2023-06-13,18.40,2852,1486
2023-12-06,18.15,2996,1653
2023-09-06,18.05,3773,1809
2023-08-06,18.00,3335,3607
2023-07-06,18.55,2725,1849
2023-06-06,18.75,2161,1817
2023-05-06,18.35,4279,2455
2023-02-06,18.90,2420,2206
2023-01-06,18.80,2485,2786
2023-05-31,18.20,2366,2049
2023-05-30,18.40,2763,3027
2023-05-29,18.20,3046,4872
2023-05-26,17.20,2281,5089
2023-05-25,16.75,3003,4307
2023-05-24,16.10,2427,1436
2023-05-23,16.40,2349,2455
2023-05-22,16.50,1965,2788
2023-05-19,16.25,2215,1676
2023-05-18,15.85,2495,1371
2023-05-17,15.85,2793,1896
2023-05-16,16.00,3963,1768
2023-05-15,16.15,3014,2301
2023-12-05,16.80,3097,3222
2023-11-05,16.70,2811,2837
2023-10-05,16.85,3781,4543
2023-09-05,16.15,2378,3246
2023-08-05,16.20,2841,2771
2023-05-05,15.50,1757,1200
2023-04-05,15.70,2048,1482
2023-04-28,15.55,1230,1492
2023-04-27,15.45,1480,1778
