date,VND,demand,supply
2024-03-28,24.25,1347,1528
2024-03-27,24.15,1757,2215
2024-03-26,24.20,2119,2106
2024-03-25,23.55,2035,2290
2024-03-22,23.80,3160,2635
2024-03-21,23.90,3226,3710
2024-03-20,22.60,2924,2559
2024-03-19,22.35,3348,2776
2024-03-18,22.30,2172,1469
2024-03-15,23.00,1960,1856
2024-03-14,22.95,1455,1494
2024-03-13,23.10,1982,2379
2024-12-03,22.95,2407,3047
2024-11-03,23.10,1722,1951
2024-08-03,23.00,1966,2830
2024-07-03,23.15,1473,1315
2024-06-03,23.45,1631,1513
2024-05-03,23.50,1793,1419
2024-04-03,23.30,1714,1615
2024-01-03,23.30,1899,1493
2024-02-29,23.30,1543,2009
2024-02-28,23.20,1223,2094
2024-02-27,22.70,1627,1291
2024-02-26,22.70,1481,1069
2024-02-23,22.50,2783,1407
2024-02-22,22.90,2821,1693
2024-02-21,23.50,2113,2361
2024-02-20,23.60,1705,1705
2024-02-19,23.35,1466,2029
2024-02-16,23.30,1700,1648
2024-02-15,23.65,1913,1971
2024-07-02,23.55,1431,1727
2024-06-02,23.00,991,1730
2024-05-02,22.65,1257,1988
2024-02-02,22.35,1155,2286
2024-01-02,21.80,1183,2096
2024-01-31,21.80,1811,1870
2024-01-30,21.85,1996,2285
2024-01-29,21.40,777,1425
2024-01-26,21.30,1123,1847
2024-01-25,21.05,663,1208
2024-01-24,21.15,677,1431
2024-01-23,21.00,1282,1409
2024-01-22,21.20,1068,2075
2024-01-19,20.95,881,1385
2024-01-18,20.80,754,1174
2024-01-17,20.85,1120,1742
2024-01-16,21.00,794,1391
2024-01-15,21.00,723,1540
2024-12-01,20.90,1602,2024
2024-11-01,20.80,1521,2079
2024-10-01,20.70,1093,1812
2024-09-01,20.55,935,1488
2024-08-01,20.55,818,2083
2024-05-01,20.50,1204,1825
2024-04-01,20.40,1933,3573
2024-03-01,20.00,1330,1795
2024-02-01,19.90,1523,2404
2023-12-29,20.30,980,2719
2023-12-28,19.35,1118,1722
2023-12-27,19.30,797,1828
2023-12-26,19.20,936,1829
2023-12-25,19.15,1403,2198
2023-12-22,18.95,1144,2584
2023-12-21,18.75,1734,1955
2023-12-20,18.80,1000,1887
2023-12-19,18.95,1264,1370
2023-12-18,18.40,1622,2903
2023-12-15,19.00,768,2315
2023-12-14,18.90,3894,2602
2023-12-13,18.85,683,1776
2023-12-12,18.80,643,1574
2023-11-12,18.75,869,1538
2023-08-12,18.75,987,2610
2023-07-12,18.70,1850,2448
2023-06-12,18.60,1547,2688
2023-05-12,18.45,1524,1676
2023-04-12,18.50,1535,2414
2023-01-12,18.20,1546,1564
2023-11-30,18.00,1397,1184
2023-11-29,18.05,1445,1195
2023-11-28,18.05,1325,832
2023-11-27,18.10,1524,1007
2023-11-24,18.30,1292,1491
2023-11-23,18.05,1368,1377
2023-11-22,18.60,1316,1495
2023-11-21,18.70,1065,1765
2023-11-20,18.70,1346,1900
2023-11-17,18.50,2001,2187
2023-11-16,18.95,1269,1685
2023-11-15,18.90,1413,4273
2023-11-14,18.75,2134,3027
2023-11-13,18.80,2469,4528
2023-10-11,18.85,1811,5642
2023-09-11,18.75,1313,2814
2023-08-11,18.80,2650,3269
2023-07-11,18.00,1428,1769
2023-06-11,18.25,2044,2897
2023-03-11,18.35,3400,5017
2023-02-11,17.60,1737,1781
2023-01-11,17.25,966,1337
2023-10-31,17.20,1372,1421
2023-10-30,17.20,1219,1460
2023-10-27,17.25,1142,1203
2023-10-26,17.00,2114,1395
2023-10-25,17.50,1270,1387
2023-10-24,17.55,1240,1694
