date,VND,demand,supply
2024-03-28,25.50,6495,9204
2024-03-27,25.30,7527,7094
2024-03-26,25.25,6994,7493
2024-03-25,24.70,10064,10222
2024-03-22,25.05,17194,22470
2024-03-21,24.75,10205,15468
2024-03-20,24.15,15142,19546
2024-03-19,23.20,9507,5058
2024-03-18,23.20,19848,7837
2024-03-15,23.80,11040,7191
2024-03-14,23.45,9611,8530
2024-03-13,23.85,9438,7376
2024-12-03,23.10,15063,9932
2024-11-03,22.95,20742,9553
2024-08-03,23.60,22257,11331
2024-07-03,24.40,10060,7419
2024-06-03,24.60,12658,11928
2024-05-03,24.60,9269,8300
2024-04-03,24.20,15564,9927
2024-01-03,24.00,12787,6224
2024-02-29,24.15,11339,7955
2024-02-28,24.40,7688,9846
2024-02-27,24.25,7981,8581
2024-02-26,24.00,10437,6646
2024-02-23,23.90,15752,15485
2024-02-22,23.95,7179,5979
2024-02-21,24.00,8561,8966
2024-02-20,23.85,8543,6911
2024-02-19,23.95,9876,7518
2024-02-16,24.00,9491,7365
2024-02-15,24.15,8294,9587
2024-07-02,23.50,6201,9712
2024-06-02,23.05,4845,7296
2024-05-02,22.95,10074,15702
2024-02-02,21.75,5254,4427
2024-01-02,21.90,6220,4217
2024-01-31,21.75,8996,6433
2024-01-30,22.10,5019,5124
2024-01-29,22.15,4342,8847
2024-01-26,22.00,3639,6039
2024-01-25,21.90,7072,4532
2024-01-24,21.90,5511,6254
2024-01-23,21.95,6226,7273
2024-01-22,22.10,7760,11657
2024-01-19,22.05,6181,11783
2024-01-18,21.70,7154,7012
2024-01-17,21.50,5142,8522
2024-01-16,21.50,6545,7640
2024-01-15,21.45,6940,11494
2024-12-01,21.35,14088,16704
2024-11-01,20.65,9337,10036
2024-10-01,20.90,7282,11580
2024-09-01,20.85,6816,10246
2024-08-01,20.70,6835,12497
2024-05-01,20.50,7609,14887
2024-04-01,20.10,12254,23097
2024-03-01,19.15,4144,7950
2024-02-01,18.85,4930,8442
2023-12-29,18.65,3323,8432
2023-12-28,18.55,3000,5278
2023-12-27,18.40,3501,4445
2023-12-26,18.45,2520,3949
2023-12-25,18.40,3019,6480
2023-12-22,18.30,4654,5861
2023-12-21,18.15,2825,2550
2023-12-20,18.15,2498,2946
2023-12-19,18.15,3102,3210
2023-12-18,18.00,3173,3186
2023-12-15,18.05,2748,3152
2023-12-14,18.05,2704,3385
2023-12-13,18.05,3857,4322
2023-12-12,18.25,2501,3696
