date,VND,demand,supply
2024-03-28,76.00,6535,5863
2024-03-27,75.40,8182,5073
2024-03-26,74.00,7616,2964
2024-03-25,75.50,14094,4915
2024-03-22,78.50,6197,7040
2024-03-21,78.00,4320,5245
2024-03-20,77.30,4896,3806
2024-03-19,77.40,3172,3495
2024-03-18,77.90,11167,4612
2024-03-15,78.50,10653,3743
2024-03-14,78.90,6197,5486
2024-03-13,80.90,5501,6042
2024-12-03,78.70,5505,4772
2024-11-03,77.50,7509,5740
2024-08-03,78.50,8781,5404
2024-07-03,80.80,5893,7500
2024-06-03,76.90,5791,6118
2024-05-03,75.70,8373,9532
2024-04-03,70.80,5058,4095
2024-01-03,70.50,4303,3796
2024-02-29,70.40,7016,9032
2024-02-28,68.30,3179,3740
2024-02-27,67.60,3171,3275
2024-02-26,66.70,3954,2065
2024-02-23,66.70,4858,4106
2024-02-22,68.10,4455,3649
2024-02-21,68.00,4060,2961
2024-02-20,68.80,3738,3917
2024-02-19,68.90,6289,7266
2024-02-16,66.20,2943,3176
2024-02-15,64.90,2129,2072
2024-07-02,64.90,2069,1388
2024-06-02,64.80,2331,1733
2024-05-02,64.90,2701,1655
2024-02-02,65.40,1866,1732
2024-01-02,65.10,2827,1935
2024-01-31,64.40,3861,2227
2024-01-30,66.10,2097,1802
2024-01-29,65.60,2803,1541
2024-01-26,65.80,2671,1724
2024-01-25,66.80,2433,1041
2024-01-24,66.20,3060,1537
2024-01-23,67.50,3509,1967
2024-01-22,67.70,2546,2238
2024-01-19,67.80,2912,4553
2024-01-18,66.40,1685,1586
2024-01-17,66.30,2389,2105
2024-01-16,67.10,2179,2669
2024-01-15,65.60,1885,1560
2024-12-01,64.80,4274,1757
2024-11-01,66.10,3756,2112
2024-10-01,66.20,2571,2416
2024-09-01,66.10,4585,2090
2024-08-01,66.60,4465,2688
2024-05-01,67.90,4758,2835
2024-04-01,68.10,2785,3140
2024-03-01,68.90,4796,2209
2024-02-01,68.40,3689,4535
2023-12-29,67.00,2755,3223
2023-12-28,67.00,2140,2547
2023-12-27,67.00,2920,4145
2023-12-26,66.20,3445,3815
2023-12-25,66.40,3277,4612
2023-12-22,63.00,3288,2464
2023-12-21,63.70,2454,2134
2023-12-20,63.90,2943,2509
2023-12-19,62.20,3794,1929
2023-12-18,62.90,2843,1756
2023-12-15,63.00,6433,6586
2023-12-14,65.00,2836,2308
2023-12-13,65.80,2971,3144
2023-12-12,66.20,4697,3807
2023-11-12,67.50,2968,3943
2023-08-12,66.20,6026,7719
2023-07-12,63.50,4251,5075
2023-06-12,62.10,2290,2456
2023-05-12,61.40,3289,2130
2023-04-12,62.20,2119,2909
2023-01-12,61.50,2244,1595
2023-11-30,60.50,3300,1868
2023-11-29,62.90,1844,4126
2023-11-28,61.30,2950,1516
2023-11-27,60.90,2349,1009
2023-11-24,61.80,4326,1536
2023-11-23,63.30,2325,2304
2023-11-22,64.90,1873,2114
2023-11-21,64.60,1827,1948
2023-11-20,63.60,2733,1666
2023-11-17,64.10,4133,2705
2023-11-16,66.00,2508,2337
2023-11-15,65.80,4108,5361
2023-11-14,62.60,2111,1734
2023-11-13,62.00,2343,2030
2023-10-11,61.70,3476,2141
2023-09-11,62.80,3511,2679
2023-08-11,63.80,3769,2389
2023-07-11,62.00,2699,1816
2023-06-11,64.00,2107,2129
2023-03-11,63.90,2464,3106
2023-02-11,62.70,2223,2567
2023-01-11,59.50,2402,2621
2023-10-31,58.20,2928,2282
2023-10-30,58.00,2883,2998
2023-10-27,57.80,6472,3944
2023-10-26,61.40,5026,2581
2023-10-25,66.00,2284,1564
2023-10-24,66.90,3200,2554
2023-10-23,66.00,4483,2688
