date,VND,demand,supply
2024-03-28,22.20,1152,712
2024-03-27,22.20,1318,733
2024-03-26,22.30,1017,651
2024-03-25,22.10,1390,712
2024-03-22,22.35,1199,902
2024-03-21,22.55,1075,811
2024-03-20,22.55,1140,827
2024-03-19,22.45,1011,894
2024-03-18,22.45,1028,902
2024-03-15,22.60,949,754
2024-03-14,22.60,976,845
2024-03-13,22.60,930,761
2024-12-03,22.55,873,794
2024-11-03,22.55,970,847
2024-08-03,22.70,1165,849
2024-07-03,22.75,1297,724
2024-06-03,22.75,1237,908
2024-05-03,22.85,1155,748
2024-04-03,22.85,1277,837
2024-01-03,22.95,1033,922
2024-02-29,22.90,950,839
2024-02-28,22.95,1338,1115
2024-02-27,22.90,1502,892
2024-02-26,22.90,794,667
2024-02-23,23.00,1475,1132
2024-02-22,23.00,1235,760
2024-02-21,22.95,1556,765
2024-02-20,23.00,1208,858
2024-02-19,23.05,1066,894
2024-02-16,23.25,681,773
2024-02-15,23.25,882,909
2024-07-02,23.20,672,809
2024-06-02,23.00,535,726
2024-05-02,23.00,988,955
2024-02-02,22.75,1252,811
2024-01-02,22.75,768,601
2024-01-31,22.90,977,1045
2024-01-30,23.00,733,585
2024-01-29,23.00,600,514
2024-01-26,23.10,738,517
2024-01-25,23.10,674,524
2024-01-24,23.10,739,781
2024-01-23,23.10,707,663
2024-01-22,23.25,789,799
2024-01-19,23.10,803,579
2024-01-18,23.05,753,566
2024-01-17,23.05,900,691
2024-01-16,22.95,859,510
2024-01-15,23.30,672,535
2024-12-01,23.45,925,613
2024-11-01,23.60,928,1067
2024-10-01,23.40,782,645
2024-09-01,23.45,612,518
2024-08-01,23.30,783,654
2024-05-01,23.60,546,757
2024-04-01,23.55,1073,1132
2024-03-01,23.30,878,1019
2024-02-01,23.95,486,1176
2023-12-29,23.90,507,1479
2023-12-28,23.65,901,1519
2023-12-27,22.65,598,594
2023-12-26,22.70,517,626
2023-12-25,22.65,549,629
2023-12-22,22.60,613,656
2023-12-21,22.60,486,473
2023-12-20,22.60,404,564
2023-12-19,22.60,443,596
2023-12-18,22.60,485,611
2023-12-15,22.60,552,605
2023-12-14,22.60,495,683
2023-12-13,22.60,587,856
2023-12-12,22.65,654,786
2023-11-12,22.65,669,636
2023-08-12,22.70,883,804
2023-07-12,22.70,919,883
2023-06-12,22.70,848,816
2023-05-12,22.70,856,1007
2023-04-12,22.75,855,1264
2023-01-12,22.70,820,1302
2023-11-30,22.60,1195,1235
2023-11-29,23.05,1031,1222
2023-11-28,23.05,917,1072
2023-11-27,23.05,943,1073
2023-11-24,23.10,1304,1459
2023-11-23,23.00,1427,1104
2023-11-22,23.10,1199,1210
2023-11-21,23.15,1492,1176
2023-11-20,23.15,1665,1355
2023-11-17,23.15,1830,1099
2023-11-16,23.45,1258,952
2023-11-15,23.50,1096,1543
2023-11-14,23.15,2102,1435
2023-11-13,23.00,2322,1451
2023-10-11,23.80,1533,935
2023-09-11,24.50,1160,649
2023-08-11,24.95,1058,775
2023-07-11,24.40,1120,631
2023-06-11,25.30,647,472
2023-03-11,24.30,886,613
2023-02-11,25.95,484,668
2023-01-11,25.90,498,677
2023-10-31,25.80,443,586
2023-10-30,25.35,448,395
2023-10-27,25.55,426,596
2023-10-26,25.50,402,703
2023-10-25,25.90,435,701
2023-10-24,25.80,704,831
2023-10-23,24.80,432,606
2023-10-20,24.45,437,589
2023-10-19,24.60,452,554
2023-10-18,24.70,404,639
2023-10-17,24.75,405,541
2023-10-16,24.80,420,516
2023-10-13,24.80,517,418
2023-12-10,24.75,448,586
2023-11-10,24.75,454,381
2023-10-10,24.60,522,485
2023-09-10,24.55,606,475
2023-06-10,24.50,503,439
2023-05-10,24.50,526,517
2023-04-10,24.45,547,475
2023-03-10,24.90,502,656
2023-02-10,25.00,441,575
2023-09-29,25.00,736,578
2023-09-28,25.00,1112,824
2023-09-27,26.25,816,1094
2023-09-26,26.20,737,1257
2023-09-25,26.00,643,795
2023-09-22,25.50,996,842
2023-09-21,26.50,1120,776
2023-09-20,26.50,1049,793
2023-09-19,26.80,890,879
2023-09-18,26.80,956,648
2023-09-15,27.00,733,966
2023-09-14,26.30,1112,759
2023-09-13,27.15,1774,988
2023-12-09,27.35,995,629
2023-11-09,27.00,1098,786
2023-08-09,27.50,924,829
2023-07-09,27.45,1605,897
2023-06-09,27.80,1470,798
2023-05-09,27.50,1584,711
2023-08-31,28.10,1471,889
2023-08-30,28.10,1070,1002
2023-08-29,28.35,1219,981
2023-08-28,28.30,1483,1029
2023-08-25,28.20,1215,784
2023-08-24,28.45,1222,935
2023-08-23,28.20,1190,940
2023-08-22,28.20,924,873
2023-08-21,26.60,808,445
2023-08-18,27.45,841,713
2023-08-17,29.40,1080,884
2023-08-16,29.50,954,677
2023-08-15,29.50,1104,567
2023-08-14,29.75,973,800
2023-11-08,30.40,962,1089
2023-10-08,30.00,855,939
2023-09-08,30.00,1061,1046
2023-08-08,30.30,1924,2207
2023-07-08,30.25,961,494
2023-04-08,29.00,689,457
2023-03-08,30.25,677,471
2023-02-08,30.25,890,533
2023-01-08,29.95,858,347
2023-07-31,29.15,768,302
2023-07-28,29.70,535,326
2023-07-27,29.65,637,329
2023-07-26,29.60,537,324
2023-07-25,29.50,928,262
2023-07-24,29.40,466,526
2023-07-21,29.30,391,227
2023-07-20,29.30,385,212
2023-07-19,29.30,335,198
2023-07-18,29.30,509,196
2023-07-17,29.10,395,191
2023-07-14,29.00,377,226
2023-07-13,28.95,376,217
2023-12-07,28.70,307,222
2023-11-07,28.90,459,224
2023-10-07,28.75,385,222
2023-07-07,28.65,321,374
2023-06-07,28.60,339,230
2023-05-07,27.30,434,170
2023-04-07,27.10,394,167
2023-03-07,27.05,839,277
2023-06-30,27.05,296,217
2023-06-29,27.15,542,292
2023-06-28,27.30,496,217
2023-06-27,27.20,496,276
2023-06-26,27.15,461,203
2023-06-23,27.15,656,200
2023-06-22,31.90,478,263
2023-06-21,31.75,402,215
2023-06-20,31.50,375,192
2023-06-19,31.45,329,226
2023-06-16,31.45,525,188
2023-06-15,31.50,451,235
2023-06-14,31.50,310,218
2023-06-13,31.50,309,348
2023-12-06,31.55,264,212
2023-09-06,31.35,277,207
2023-08-06,31.40,272,235
2023-07-06,31.60,279,220
2023-06-06,31.55,316,270
2023-05-06,31.50,306,258
2023-02-06,31.30,579,266
2023-01-06,30.55,319,254
2023-05-31,30.35,299,218
2023-05-30,30.20,332,287
2023-05-29,30.20,313,206
2023-05-26,30.05,318,195
2023-05-25,29.90,351,241
2023-05-24,29.90,300,184
2023-05-23,30.00,320,209
2023-05-22,30.15,281,243
2023-05-19,29.95,290,255
2023-05-18,30.05,384,198
2023-05-17,30.05,355,214
2023-05-16,30.35,351,238
2023-05-15,30.80,261,147
2023-12-05,31.00,312,168
2023-11-05,31.20,283,209
2023-10-05,31.40,232,148
2023-09-05,31.55,305,205
2023-08-05,31.55,336,192
2023-05-05,31.45,243,175
2023-04-05,31.45,295,338
2023-04-28,31.95,371,189
2023-04-27,30.60,374,185
2023-04-26,30.40,271,230
2023-04-25,30.85,272,225
2023-04-24,31.10,333,197
2023-04-21,31.10,359,236
2023-04-20,31.20,311,218
2023-04-19,31.15,356,226
2023-04-18,31.25,339,196
2023-04-17,31.35,315,165
2023-04-14,31.30,391,186
2023-04-13,31.35,384,187
2023-12-04,31.35,392,189
2023-11-04,31.35,410,213
2023-10-04,31.30,423,213
2023-07-04,31.30,456,218
2023-06-04,31.35,573,270
2023-05-04,31.55,575,243
2023-04-04,31.50,476,273
2023-03-04,31.60,466,311
2023-03-31,31.45,436,264
2023-03-30,31.45,506,259
2023-03-29,31.40,388,251
2023-03-28,31.50,478,276
2023-03-27,31.70,423,243
2023-03-24,31.70,425,270
2023-03-23,32.15,392,275
