date,VND,demand,supply
2024-03-28,39.15,11729,14820
2024-03-27,38.50,8224,9225
2024-03-26,38.00,11838,7946
2024-03-25,37.50,13662,12354
2024-03-22,37.80,13056,17290
2024-03-21,37.65,9580,18728
2024-03-20,37.20,10011,10838
2024-03-19,36.15,12755,6006
2024-03-18,36.65,29976,15041
2024-03-15,37.80,18000,9995
2024-03-14,37.85,17679,21339
2024-03-13,37.95,14174,19000
2024-12-03,36.30,17672,9078
2024-11-03,36.35,14982,10000
2024-08-03,36.80,22891,11526
2024-07-03,37.70,13490,18135
2024-06-03,37.10,17366,9864
2024-05-03,37.40,22195,11091
2024-04-03,37.15,14778,10476
2024-01-03,37.35,12299,12477
2024-02-29,37.00,21689,23318
2024-02-28,36.10,13668,14318
2024-02-27,35.90,14372,22377
2024-02-26,35.10,12346,13783
2024-02-23,34.15,12524,8811
2024-02-22,34.65,12958,5829
2024-02-21,34.95,11182,6719
2024-02-20,35.30,8925,11910
2024-02-19,35.20,16431,9401
2024-02-16,35.00,8203,7010
2024-02-15,35.10,5145,7147
2024-07-02,35.10,6451,7359
2024-06-02,35.00,5404,8667
2024-05-02,34.95,8338,8703
2024-02-02,34.80,7772,13644
2024-01-02,34.65,5248,7840
2024-01-31,34.40,14960,21164
2024-01-30,34.15,5651,5351
2024-01-29,33.95,6121,6663
2024-01-26,34.10,5874,10843
2024-01-25,33.95,4848,6991
2024-01-24,34.00,8769,18523
2024-01-23,33.80,7077,8833
2024-01-22,33.95,9333,9064
2024-01-19,33.70,12264,11205
2024-01-18,33.80,5584,10344
2024-01-17,33.65,12095,15680
2024-01-16,33.50,14191,7493
2024-01-15,33.00,11134,7545
2024-12-01,33.85,17663,8013
2024-11-01,33.90,12475,9996
2024-10-01,33.70,15337,7076
2024-09-01,34.00,11484,8596
2024-08-01,34.10,12527,10063
2024-05-01,34.15,10714,13674
2024-04-01,33.60,15979,29861
2024-03-01,32.95,5717,5326
2024-02-01,32.50,8098,8347
2023-12-29,32.80,6228,7664
2023-12-28,33.00,5460,8035
2023-12-27,32.80,6145,11714
2023-12-26,32.75,5479,10509
2023-12-25,32.55,7311,7876
2023-12-22,32.35,9020,11739
2023-12-21,32.20,5231,4285
2023-12-20,32.30,5639,8637
2023-12-19,32.15,8560,5857
2023-12-18,31.70,7042,5674
2023-12-15,31.80,11235,8267
2023-12-14,32.00,8186,6807
2023-12-13,32.00,10223,9562
2023-12-12,32.60,7102,6310
2023-11-12,32.70,11060,8070
2023-08-12,32.60,9849,7727
2023-07-12,32.85,27922,13728
2023-06-12,33.60,8277,11775
2023-05-12,33.30,14201,12702
2023-04-12,33.60,14383,26256
2023-01-12,32.00,9124,9473
2023-11-30,31.30,8282,11016
2023-11-29,31.60,6256,8239
2023-11-28,31.40,16390,7020
2023-11-27,31.00,12839,6389
2023-11-24,32.00,16089,9599
2023-11-23,30.90,13593,11963
2023-11-22,32.90,9186,11324
2023-11-21,32.55,8493,11488
2023-11-20,32.40,14135,14080
2023-11-17,31.50,17328,12698
2023-11-16,32.30,11899,7250
2023-11-15,31.95,10300,17849
2023-11-14,31.75,9626,13410
2023-11-13,31.45,10444,10255
2023-10-11,30.80,16178,16443
2023-09-11,30.85,14152,18068
2023-08-11,30.30,13044,14854
2023-07-11,28.35,11706,11663
2023-06-11,29.00,9118,11053
2023-03-11,28.90,17146,15893
2023-02-11,28.90,13089,13014
2023-01-11,27.15,12300,12705
2023-10-31,25.75,18385,13163
2023-10-30,27.50,10277,5929
2023-10-27,29.45,8471,12968
2023-10-26,28.70,24495,12155
2023-10-25,30.80,7139,8474
2023-10-24,31.05,7496,8726
2023-10-23,30.60,12093,8338
2023-10-20,31.30,18751,12162
2023-10-19,30.10,21877,11448
2023-10-18,31.55,17059,13009
2023-10-17,31.45,10428,8143
2023-10-16,32.10,20919,8273
2023-10-13,33.55,14542,10644
2023-12-10,33.60,12142,12545
2023-11-10,34.00,10871,13391
2023-10-10,32.70,12773,15149
2023-09-10,33.20,12531,14094
2023-06-10,32.95,13183,14473
2023-05-10,31.65,10935,13249
2023-04-10,31.75,20961,16481
2023-03-10,30.20,25775,12613
2023-02-10,32.10,10076,8738
2023-09-29,31.80,12055,9916
2023-09-28,32.30,20846,13791
2023-09-27,33.00,15677,16989
2023-09-26,30.90,24113,20008
2023-09-25,30.35,22328,16319
2023-09-22,32.60,38383,18445
2023-09-21,34.75,31160,10088
2023-09-20,36.45,10431,11147
2023-09-19,36.20,10146,10588
2023-09-18,35.70,15757,8400
2023-09-15,35.50,16114,8465
2023-09-14,35.65,21649,9781
2023-09-13,35.80,13542,15257
2023-12-09,35.80,14605,17529
2023-11-09,33.50,18420,11987
2023-08-09,33.75,10292,8434
2023-07-09,33.65,17273,9983
2023-06-09,34.00,10460,12086
2023-05-09,33.35,16021,9510
2023-08-31,33.40,9443,10636
2023-08-30,33.50,10819,12477
2023-08-29,32.35,21221,12715
2023-08-28,32.45,8306,13199
2023-08-25,32.20,16234,15081
2023-08-24,32.00,19606,21527
2023-08-23,30.40,17279,14650
2023-08-22,30.70,23097,18480
2023-08-21,28.85,15943,12221
2023-08-18,28.30,22934,17711
2023-08-17,29.95,20154,26871
2023-08-16,28.85,7021,6695
2023-08-15,28.70,8966,6281
2023-08-14,29.15,12137,10355
2023-11-08,28.15,12852,6733
2023-10-08,28.10,14509,7101
2023-09-08,28.60,11292,5222
2023-08-08,29.10,7313,6339
2023-07-08,29.70,5180,9616
2023-04-08,29.20,5729,6067
2023-03-08,28.50,10020,5099
2023-02-08,29.00,7245,6417
2023-01-08,28.80,8024,5723
2023-07-31,29.65,7598,8136
2023-07-28,29.75,6186,8561
2023-07-27,29.45,8490,10784
2023-07-26,29.00,7975,6400
2023-07-25,28.80,7624,8338
2023-07-24,28.70,6644,9384
2023-07-21,28.75,6855,6175
2023-07-20,28.00,18140,8493
2023-07-19,28.50,5026,5837
2023-07-18,28.55,6153,5639
2023-07-17,28.80,5417,8321
2023-07-14,28.50,7579,6287
2023-07-13,28.40,5380,6668
2023-12-07,27.95,9156,8924
2023-11-07,28.05,9139,11339
2023-10-07,27.50,9136,13505
2023-07-07,26.45,6816,5545
2023-06-07,26.30,9105,9314
2023-05-07,26.20,6610,6903
2023-04-07,26.50,7964,7419
2023-03-07,25.70,8052,3571
2023-06-30,25.80,6987,5810
2023-06-29,25.45,9745,5299
2023-06-28,26.55,5994,7525
2023-06-27,26.60,5670,10846
2023-06-26,25.80,11351,6085
2023-06-23,26.00,7041,6976
2023-06-22,26.10,7095,6423
2023-06-21,26.00,6114,7181
2023-06-20,25.70,9109,6556
2023-06-19,26.40,6328,6565
2023-06-16,26.10,10007,15095
2023-06-15,25.70,5532,7729
2023-06-14,25.40,8371,13075
2023-06-13,25.35,7044,8125
2023-12-06,25.35,8147,8022
2023-09-06,25.25,8287,8391
2023-08-06,24.30,12126,10509
2023-07-06,25.10,9206,10000
2023-06-06,25.15,9569,16607
2023-05-06,24.10,8665,11076
2023-02-06,24.10,9318,15858
2023-01-06,23.45,5653,8675
2023-05-31,23.15,8757,8761
2023-05-30,23.35,6947,8313
2023-05-29,23.40,6295,8549
2023-05-26,22.55,5868,4261
2023-05-25,22.50,9722,5591
2023-05-24,22.70,7066,8198
2023-05-23,22.85,8394,8914
2023-05-22,22.90,5182,7669
2023-05-19,22.90,6294,10242
2023-05-18,22.80,8701,11659
2023-05-17,22.45,11869,8475
2023-05-16,22.90,9767,7824
2023-05-15,22.90,10231,11391
2023-12-05,23.25,10735,12536
2023-11-05,22.40,6060,12004
2023-10-05,22.50,6097,11967
2023-09-05,22.25,6581,9156
2023-08-05,22.30,9182,13716
2023-05-05,21.45,5899,5117
2023-04-05,21.75,6834,8081
2023-04-28,21.55,7333,7951
2023-04-27,21.15,6255,6536
2023-04-26,21.35,12548,7734
2023-04-25,21.10,10804,7000
2023-04-24,21.50,5882,6225
2023-04-21,21.65,12565,14121
2023-04-20,21.10,8450,3983
2023-04-19,21.30,9080,5830
2023-04-18,21.75,9377,5847
2023-04-17,21.35,8029,5050
2023-04-14,21.20,14153,7472
2023-04-13,21.75,12571,6190
2023-12-04,22.00,8768,6612
2023-11-04,22.60,12734,8388
2023-10-04,22.40,10504,12115
2023-07-04,22.50,13123,10009
2023-06-04,21.85,9473,16097
2023-05-04,22.50,10659,8689
2023-04-04,22.50,10651,15928
2023-03-04,22.00,10762,17264
2023-03-31,21.50,10149,17015
2023-03-30,20.95,8525,15982
2023-03-29,21.05,7207,8520
2023-03-28,20.80,7638,11586
2023-03-27,21.00,8875,18032
2023-03-24,20.45,7316,12989
2023-03-23,20.35,8996,10708
2023-03-22,19.85,5657,9000
2023-03-21,20.00,8035,7914
2023-03-20,19.50,13530,5672
2023-03-17,20.30,8169,8053
2023-03-16,20.15,9645,12790
2023-03-15,20.35,8216,10208
2023-03-14,19.05,10030,5295
2023-03-13,19.65,8298,6501
2023-10-03,19.80,6947,6038
2023-09-03,19.80,5721,10160
2023-08-03,19.80,6571,7593
2023-07-03,19.40,5313,10059
2023-06-03,18.75,3516,6842
2023-03-03,18.45,5526,3982
2023-02-03,18.65,4181,4456
2023-01-03,18.95,7054,5068
2023-02-28,18.25,6353,4904
2023-02-27,18.25,11696,4759
2023-02-24,19.00,7186,4739
2023-02-23,19.70,12511,6826
2023-02-22,19.30,13912,8142
2023-02-21,20.45,9771,10020
2023-02-20,20.75,9883,11747
2023-02-17,19.45,0,0
2023-02-16,19.50,4341,6041
2023-02-15,19.10,5808,5791
