date,VND,demand,supply
2024-03-28,32.00,10018,7285
2024-03-27,30.90,6726,3627
2024-03-26,31.00,7585,3666
2024-03-25,30.85,8870,5657
2024-03-22,31.65,10775,13457
2024-03-21,31.50,4691,7084
2024-03-20,31.15,7003,9175
2024-03-19,30.40,6248,4412
2024-03-18,30.25,8186,6557
2024-03-15,30.50,7579,4630
2024-03-14,30.45,6361,5387
2024-03-13,30.85,7401,5158
2024-12-03,30.25,7563,4301
2024-11-03,30.20,8724,4813
2024-08-03,30.65,12827,5750
2024-07-03,31.30,8648,5672
2024-06-03,31.55,6755,5726
2024-05-03,31.90,5900,4781
2024-04-03,31.75,5897,7966
2024-01-03,31.95,8012,11879
2024-02-29,31.55,6959,10340
2024-02-28,31.40,8142,10573
2024-02-27,30.75,6304,6197
2024-02-26,30.50,9470,5916
2024-02-23,30.65,9977,10418
2024-02-22,31.05,7385,4993
2024-02-21,31.50,14755,14335
2024-02-20,30.70,6512,5972
2024-02-19,30.70,7252,5370
2024-02-16,30.80,7678,7896
2024-02-15,31.25,6751,6486
2024-07-02,31.10,5350,6536
2024-06-02,30.80,5070,6735
2024-05-02,30.60,6424,7946
2024-02-02,29.90,4019,4082
2024-01-02,29.80,6001,4273
2024-01-31,29.90,12724,7545
2024-01-30,30.70,4217,3854
2024-01-29,30.35,3439,3935
2024-01-26,30.30,8004,5269
2024-01-25,30.50,6269,5883
2024-01-24,30.75,8907,9954
2024-01-23,30.50,5246,6557
2024-01-22,30.25,5359,5308
2024-01-19,30.30,5603,8291
2024-01-18,29.80,4854,6930
2024-01-17,29.70,4545,6134
2024-01-16,29.90,4880,4695
2024-01-15,29.80,4376,6697
2024-12-01,29.90,14203,11483
2024-11-01,29.50,8294,8524
2024-10-01,29.45,8947,9808
2024-09-01,29.20,6169,7429
2024-08-01,29.20,6904,8388
2024-05-01,29.30,7612,13842
2024-04-01,28.60,8901,15129
2024-03-01,28.50,6264,8152
2024-02-01,27.75,4754,6619
2023-12-29,27.95,5964,9319
2023-12-28,27.60,4587,5739
2023-12-27,27.40,4914,5275
2023-12-26,27.50,7242,4791
2023-12-25,27.50,4896,7027
2023-12-22,27.20,10833,9235
2023-12-21,26.60,6132,4396
2023-12-20,26.95,6073,4259
2023-12-19,26.60,10171,7759
2023-12-18,26.30,11986,7214
2023-12-15,27.10,6500,4990
2023-12-14,27.10,9231,6749
2023-12-13,27.45,11447,7082
2023-12-12,28.00,5156,4278
2023-11-12,27.85,7773,5837
2023-08-12,28.20,5423,8808
