date,VND,demand,supply
2024-03-28,48.00,12256,8397
2024-03-27,45.55,3659,2746
2024-03-26,45.95,3048,5078
2024-03-25,44.80,4870,6045
2024-03-22,44.90,7410,6689
2024-03-21,45.10,5218,9973
2024-03-20,42.30,6210,8962
2024-03-19,40.30,4597,3001
2024-03-18,40.10,8373,3123
2024-03-15,41.40,5859,2490
2024-03-14,41.40,3240,3721
2024-03-13,42.00,3170,3647
2024-12-03,41.20,4583,3944
2024-11-03,40.40,7323,3460
2024-08-03,41.00,9549,4524
2024-07-03,42.60,3480,3700
2024-06-03,42.75,4212,6643
2024-05-03,42.20,3554,2888
2024-04-03,41.85,4187,3793
2024-01-03,41.85,5615,3418
2024-02-29,42.20,4868,4117
2024-02-28,42.20,3784,4367
2024-02-27,41.95,3348,4150
2024-02-26,41.20,4379,4568
2024-02-23,40.10,7930,8976
2024-02-22,40.30,4116,5280
2024-02-21,39.00,3153,3813
2024-02-20,38.90,2797,3213
2024-02-19,38.90,3052,4717
2024-02-16,38.50,3774,3347
2024-02-15,38.40,5588,6439
2024-07-02,37.30,4439,5081
2024-06-02,35.65,1890,2990
2024-05-02,35.50,2882,4404
2024-02-02,34.15,2832,1467
2024-01-02,34.15,4193,1426
2024-01-31,34.55,3188,1986
2024-01-30,35.20,2685,1418
2024-01-29,35.25,1247,1992
2024-01-26,35.40,1305,2009
2024-01-25,35.00,1973,1841
2024-01-24,35.25,1421,2142
2024-01-23,35.45,2759,5101
2024-01-22,34.95,1822,2737
2024-01-19,34.95,2014,3926
2024-01-18,34.40,1249,2655
2024-01-17,34.05,1648,2664
2024-01-16,34.15,2442,1854
2024-01-15,34.30,1798,2405
2024-12-01,34.65,3730,4602
2024-11-01,34.15,2973,3646
2024-10-01,34.40,2163,4027
2024-09-01,34.50,3016,4312
2024-08-01,34.10,2919,4793
2024-05-01,33.20,2139,2701
2024-04-01,33.10,3902,6092
2024-03-01,32.60,1763,3090
2024-02-01,32.10,1588,3111
2023-12-29,31.80,1517,3395
2023-12-28,31.50,2043,4174
2023-12-27,30.85,1222,2232
2023-12-26,30.80,1303,1387
2023-12-25,30.95,1311,2245
2023-12-22,30.60,1509,2120
2023-12-21,30.65,1551,1300
2023-12-20,30.35,1779,1285
2023-12-19,30.60,2483,935
2023-12-18,30.05,2080,1295
2023-12-15,30.60,1374,1697
2023-12-14,30.55,1289,1901
2023-12-13,30.50,2134,2218
2023-12-12,31.05,1213,1717
2023-11-12,30.85,1495,1562
2023-08-12,30.95,2139,1895
2023-07-12,30.85,2773,3954
2023-06-12,30.40,1730,1920
2023-05-12,30.05,2078,1941
2023-04-12,30.20,2472,3372
2023-01-12,29.75,2362,1453
2023-11-30,29.50,2731,1517
2023-11-29,29.90,2008,1465
2023-11-28,29.95,4961,1715
2023-11-27,29.30,3935,1684
2023-11-24,30.05,5105,1909
2023-11-23,30.40,2907,1661
2023-11-22,30.95,1789,1370
2023-11-21,30.80,1982,1268
2023-11-20,31.00,3476,1874
2023-11-17,31.15,3297,2265
2023-11-16,31.70,1281,1705
2023-11-15,31.55,1699,3303
2023-11-14,31.50,2332,2762
2023-11-13,30.90,2368,1551
2023-10-11,31.05,2857,2138
2023-09-11,31.50,3012,2271
2023-08-11,31.80,2422,2655
2023-07-11,30.60,1850,1540
2023-06-11,31.00,3127,2339
2023-03-11,31.00,2942,3124
2023-02-11,29.35,2992,2284
2023-01-11,28.20,2772,1941
2023-10-31,27.70,3787,1971
2023-10-30,28.10,5257,2082
2023-10-27,29.55,2961,1760
2023-10-26,29.80,5581,2021
2023-10-25,31.20,1738,934
2023-10-24,31.35,1495,1642
2023-10-23,30.90,2752,1010
2023-10-20,31.10,2080,1644
2023-10-19,30.65,2707,1312
2023-10-18,31.25,2931,1559
2023-10-17,31.75,1577,1125
2023-10-16,31.80,3019,1070
2023-10-13,32.20,2518,1219
2023-12-10,32.50,1577,1277
2023-11-10,32.60,1480,1222
2023-10-10,32.50,1989,1878
2023-09-10,32.10,2273,1046
2023-06-10,32.05,2467,1360
2023-05-10,31.80,2360,1386
2023-04-10,32.25,2447,1169
2023-03-10,32.50,3463,2146
2023-02-10,33.15,1869,1440
2023-09-29,33.65,1956,1853
2023-09-28,33.65,4138,1945
2023-09-27,32.60,2539,1584
2023-09-26,32.40,3731,2075
2023-09-25,32.80,2709,2118
2023-09-22,34.00,4905,2790
2023-09-21,34.30,2824,1664
2023-09-20,34.35,3198,1602
2023-09-19,33.90,4258,1702
2023-09-18,34.10,4647,2095
2023-09-15,34.90,2487,2498
2023-09-14,34.90,3485,3958
2023-09-13,35.00,3427,2735
2023-12-09,35.30,3241,2210
2023-11-09,34.55,5827,3156
2023-08-09,35.35,2540,2748
2023-07-09,35.75,3975,5560
2023-06-09,35.20,2942,3956
2023-05-09,35.00,3576,4661
2023-08-31,34.50,2609,3773
2023-08-30,34.00,2044,3854
2023-08-29,33.90,2641,2741
2023-08-28,34.00,2711,2915
2023-08-25,33.65,2770,2153
2023-08-24,33.80,2695,3705
2023-08-23,33.20,3997,4763
2023-08-22,33.10,4505,2535
2023-08-21,32.75,4911,2965
2023-08-18,32.50,7589,4755
2023-08-17,34.70,3800,3592
2023-08-16,35.30,6303,8634
