date,VND,demand,supply
2024-03-28,95.70,1463,1472
2024-03-27,95.80,2026,1058
2024-03-26,96.30,1273,1516
2024-03-25,95.70,2118,2196
2024-03-22,96.40,2197,3381
2024-03-21,95.20,2456,2774
2024-03-20,93.20,2100,1857
2024-03-19,92.50,2056,1006
2024-03-18,93.00,3719,1965
2024-03-15,94.00,3464,1206
2024-03-14,95.00,3787,1729
2024-03-13,96.00,3316,2177
2024-12-03,94.40,2556,1965
2024-11-03,94.10,3094,2359
2024-08-03,95.10,2814,2887
2024-07-03,95.80,2564,2885
2024-06-03,95.60,2750,2063
2024-05-03,95.50,3691,1331
2024-04-03,96.00,4468,2062
2024-01-03,97.30,4555,2628
2024-02-29,97.30,3992,3287
2024-02-28,97.40,4413,5678
2024-02-27,91.10,2898,2496
2024-02-26,89.50,1536,1244
2024-02-23,88.90,2658,2953
2024-02-22,89.50,2695,1461
2024-02-21,91.20,2514,1834
2024-02-20,91.30,2867,2049
2024-02-19,90.20,2107,1422
2024-02-16,89.60,1885,1197
2024-02-15,89.90,2259,1287
2024-07-02,90.00,1691,1423
2024-06-02,89.50,2550,1736
2024-05-02,90.00,2153,1284
2024-02-02,90.30,1160,953
2024-01-02,89.80,2012,1089
2024-01-31,88.50,2516,1117
2024-01-30,91.00,1266,1242
2024-01-29,91.20,1605,968
2024-01-26,92.00,750,1189
2024-01-25,91.00,813,826
2024-01-24,91.10,1011,1020
2024-01-23,91.50,1968,1575
2024-01-22,92.00,1050,1765
2024-01-19,92.60,1768,2761
2024-01-18,91.10,1330,2030
2024-01-17,90.90,2899,3180
2024-01-16,90.00,1081,1875
2024-01-15,90.00,1186,2333
2024-12-01,88.70,2463,2511
2024-11-01,89.30,1739,3050
2024-10-01,89.50,1883,4254
2024-09-01,87.80,1946,3234
2024-08-01,86.80,1854,2375
2024-05-01,86.20,1910,2468
2024-04-01,85.90,2959,3912
2024-03-01,84.50,1741,2456
2024-02-01,83.50,3055,2574
2023-12-29,80.30,2632,2639
2023-12-28,82.80,1468,1844
2023-12-27,82.70,2176,2064
2023-12-26,82.80,2185,2257
2023-12-25,81.80,2533,2182
2023-12-22,80.90,3542,2662
2023-12-21,80.90,3337,3131
2023-12-20,81.10,3214,2578
2023-12-19,81.20,4715,2081
2023-12-18,81.50,3786,1737
2023-12-15,82.20,3509,1363
2023-12-14,84.40,1675,2191
2023-12-13,83.70,2536,1688
2023-12-12,84.20,3065,1920
2023-11-12,84.20,3896,1747
2023-08-12,85.00,2506,1853
2023-07-12,85.20,2259,1668
2023-06-12,85.90,1743,1389
2023-05-12,85.40,2182,1609
2023-04-12,86.00,1607,1947
2023-01-12,85.00,2675,1483
2023-11-30,84.70,2405,1373
2023-11-29,85.10,1869,1451
2023-11-28,85.80,2184,1974
2023-11-27,85.80,1604,1191
2023-11-24,86.00,1785,1223
2023-11-23,85.50,1642,1917
2023-11-22,86.70,2749,1256
2023-11-21,86.60,1849,1329
2023-11-20,86.10,2318,1635
2023-11-17,85.60,3088,1948
2023-11-16,88.00,2720,2039
2023-11-15,87.70,2501,3588
2023-11-14,86.00,2264,1421
2023-11-13,85.50,2903,1621
2023-10-11,86.00,4078,2942
