date,VND,demand,supply
2024-03-28,19.65,4440,7611
2024-03-27,19.60,5245,8153
2024-03-26,19.60,6921,13275
2024-03-25,18.90,5836,7492
2024-03-22,18.80,6510,7933
2024-03-21,18.75,6279,6911
2024-03-20,18.65,8386,6144
2024-03-19,18.15,10895,4260
2024-03-18,18.20,15006,5046
2024-03-15,18.65,10608,4572
2024-03-14,18.80,7998,4640
2024-03-13,19.05,7207,4420
2024-12-03,18.55,8396,5438
2024-11-03,18.55,11335,5716
2024-08-03,19.00,17154,6663
2024-07-03,19.45,4543,3691
2024-06-03,19.40,7669,4567
2024-05-03,19.75,5844,3557
2024-04-03,19.60,6873,5356
2024-01-03,19.65,6055,5031
2024-02-29,19.90,6756,9224
2024-02-28,19.90,5959,9072
2024-02-27,19.35,7874,3696
2024-02-26,19.25,8821,3068
2024-02-23,19.50,13052,10471
2024-02-22,19.70,6253,4341
2024-02-21,19.75,8457,6963
2024-02-20,19.60,7757,4802
2024-02-19,19.80,5019,4892
2024-02-16,19.85,3822,4372
2024-02-15,19.80,5728,8346
2024-07-02,19.60,3838,5229
2024-06-02,19.30,2849,3845
2024-05-02,19.20,4693,4391
2024-02-02,18.80,9026,3704
2024-01-02,19.15,5182,2553
2024-01-31,19.40,10094,4608
2024-01-30,19.70,3213,4296
2024-01-29,19.75,2543,3205
2024-01-26,19.75,3157,3536
2024-01-25,19.65,2968,3020
2024-01-24,19.65,3680,4361
2024-01-23,19.70,3747,4762
2024-01-22,19.80,4184,9054
2024-01-19,19.70,4590,7242
2024-01-18,19.50,4887,4752
2024-01-17,19.30,5642,4696
2024-01-16,19.45,5502,3489
2024-01-15,19.35,4246,5440
2024-12-01,19.65,12872,7485
2024-11-01,19.65,7579,7938
2024-10-01,19.60,11605,11476
2024-09-01,19.15,4721,3951
2024-08-01,19.25,5148,4598
2024-05-01,19.20,6175,5390
2024-04-01,19.35,9146,12924
2024-03-01,19.10,4851,3527
2024-02-01,18.85,4693,4731
2023-12-29,19.20,5044,6658
2023-12-28,18.80,4951,5545
2023-12-27,18.50,4292,4245
2023-12-26,18.50,5042,4098
2023-12-25,18.50,4145,4775
2023-12-22,18.15,7721,6356
2023-12-21,18.20,6151,3326
2023-12-20,18.25,6427,3385
